name	hl60_120h_u_1	hl60_120h_u_2	hl60_120h_t_1	hl60_120h_t_2	hl60_6h_u_1	hl60_6h_u_2	hl60_6h_t_1	hl60_6h_t_2	hl60_72h_u_1	hl60_72h_u_2	hl60_72h_t_1	hl60_72h_t_2	kg1_t_1	kg1_t_2	kg1_t_3	kg1_u_1	kg1_u_2	kg1_u_3	molm14_t_1	molm14_t_2	molm14_t_3	molm14_u_1	molm14_u_2	molm14_u_3	ociaml2_t_1	ociaml2_t_2	ociaml2_t_3	ociaml2_u_1	ociaml2_u_2	ociaml2_u_3	ociaml3_t_1	ociaml3_t_2	ociaml3_t_3	ociaml3_u_1	ociaml3_u_2	ociaml3_u_3	thp1_t_1	thp1_t_2	thp1_t_3	thp1_u_1	thp1_u_2	thp1_u_3
ENSG00000000419	DPM1	0.0555137544700064	0.408214549571791	0.551507527724817	0.37312329398012	0.150486538377643	0.181694721383842	0.221534486572815	0.358114130546736	0.151220177034999	0.0971223717508332	0.576971977280619	-0.762228043856254	0.311692078435577	-0.535531144698819	-0.506058296983899	0.3726167614312	0.56367551057423	-0.16843508468259	-0.44889071499021	0.167968485212822	0.179884211486292	-1.25170436832116	NA	-2.51632391198619	-0.0714209246622695	0.193086546003011	0.393239598111366	0.30078588445089	0.155414164177923	0.309723460056988	0.347105178614717	0.100547487360476	0.240610081480069	-0.891441265542971	0.29696392573716	-0.383087910452301	-1.90665761669379	-0.551158572922921	-0.697377391219688	-1.37918457465481	-1.05564125101657	-0.202544873324651
ENSG00000000457	SCYL3	0.267590582281088	0.195613475317505	0.089279910033426	0.259228265551988	0.06062714228758	0.206922513502925	0.224997786565021	0.21336399491694	0.129954849609558	0.132703605267844	0.107320339803352	-0.0762336804244883	-0.157116032613272	0.0834064763458614	-0.191893784823299	0.0315537479200855	-0.103204394190421	-0.0872452156980085	0.121749526973176	0.112482263800297	-0.103643238910828	0.12300504691904	0.065188547238402	-0.182064778096041	-0.464762241801752	-0.200443995318766	-0.356185706961055	-0.779788101593195	-0.643297699149856	-0.338405168589402	0.193086546003011	0.0579618170469676	-0.0380569619088255	0.0518763635434591	0.173207438774002	0.10660057451662	-0.0491331654341098	-0.660724268217973	-0.0896872175659211	0.0272504400457437	-0.203994192073444	-0.114903864661106
ENSG00000000460	C1orf112	0.0626465301336772	0.0636267564710279	-0.0137425567212385	-0.103038736895025	0.0580707802846475	0.0691701688077804	0.032984982870088	-0.0153050302664807	0.0459812517453301	0.11927973774451	0.0963985639910828	-0.0537676328443285	-0.11271081587972	-0.84058233758884	0.111491743912015	-0.137596719110477	-0.464445364260113	0.0228780606551375	0.166179841506104	-0.610193800922112	0.0361416159490207	0.0824380212762199	0.189501094162723	0.00674104710069104	0.367856504567292	0.110364825406541	0.133464424150179	0.296999216830031	0.16985548374355	0.216649136184787	-0.200044607319418	-0.364067327230065	-0.0148078298893373	-0.0431577075041959	-0.319159516801449	-0.25438101511233	0.114903061965596	0.197951199384064	0.0163043473972566	0.098926170946488	0.0329511939124474	0.0221020532250254
ENSG00000001167	NFYA	-0.277400367235103	-0.604604363587161	-1.37617805841422	-1.60054418869701	-0.646804000859602	-0.404687710704405	-0.392364894186662	-0.414444780091836	-0.555172935702994	-0.94090135696666	-4.72736881670423	-0.984782291300762	-0.428364870845084	-0.0749562742175371	-0.785134052068671	-0.0892782305210143	-0.0822563625391974	-0.396279409308391	0.157479061212292	0.444912387609812	-0.0931293632596131	0.426250559233837	0.39532486604171	0.236906278667498	0.490727393777033	0.540716012409738	0.507167439943255	0.416640063061719	0.810304385965784	0.50304754565694	0.225134949326562	0.456603598434605	-0.0256232272257722	0.351149765501229	0.438030200843214	0.396605009346376	0.174908869451623	0.238965209329028	-0.0518864037376917	0.173316666268082	0.365156794570814	0.0737329146958905
ENSG00000001629	ANKIB1	0.265418159663329	0.113101964909264	0.308362837807921	0.293722340324275	0.203544135975913	0.200536710446442	0.244628120540816	0.100771026945433	0.246163441653039	0.245173963326261	0.307455451059087	0.0100201211066259	0.0228921631798611	0.0383554462644359	0.0687638347898961	-0.0445104011483798	-0.100146313017681	0.0226510992937486	-0.700616289168332	-0.935686583050801	-0.260895113567482	-0.573850669265735	-0.794034176634002	-0.388425015725317	-0.230606389578865	-0.200044607319418	-0.243786371245336	-0.22358386349931	-0.166804193460409	-0.0517842941268587	0.317687708955597	0.334054435243697	0.490681830746604	0.328805989449362	0.0257990002642839	0.274569014801582	-0.496279170203675	-0.607106520309484	-0.447856024925487	-0.431695092173226	-0.678803841265219	-0.284319639756698
ENSG00000001631	KRIT1	0.140956267992439	0.147920380001494	0.325810116082033	0.307547919112073	0.264448733303614	0.291178397370808	0.0579982706352171	0.159109223518623	0.172505296195907	0.141400796837901	0.298841145565316	0.498546063412914	-0.190687158107431	0.118554368705631	-0.289522883799685	-0.166675950846254	0.00614297448572884	-0.21342513578563	-0.0857421560310414	-0.239242446620567	-0.00285984780659347	-0.0537956112872843	-0.226355902110364	-0.50255088636369	-0.547768497578743	-0.473462045739705	-0.0653475318655318	-0.0772024932465847	-0.636567705982672	-0.323423574541811	-0.00253314310604895	-0.00563500232671886	-0.026130894065836	-0.279359542281453	-0.0120922154544174	-0.206084955000065	-0.0790870237051836	-0.40464752856725	-0.0247863746412012	-0.548737255862324	0.0351823326568774	-0.0774172995745402
ENSG00000002834	LASP1	0.29382188258993	0.0956444398813529	0.276961442853096	0.226649648199049	0.121363706426164	-0.0135493362566033	-0.044635561641451	0.00130475387620148	0.185466067278086	0.162077959783301	0.342886729126743	0.0656419276567379	-0.181702024576699	0.046535916380898	-0.184552879381778	-0.238741721934185	0.025832508844476	-0.140878619369234	0.247950328328771	0.290585105312222	0.263604309231672	0.0690676301179569	0.153785868485162	-0.120157733737653	-0.431214853044807	-0.203902757119292	-0.570656071409282	-0.66599964961557	-0.650291459234847	-0.562553780913525	-0.0354717417332803	-0.0608644658237656	0.0880090034851294	0.0949145744304575	0.0652189972542667	0.0381672672355747	-0.209406693010867	-0.256660859138121	-0.270108899554438	-0.376421698528326	0.00471607322000666	-0.0882457622440781
ENSG00000003056	M6PR	0.00636878231449652	-0.31467428823589	-0.143015976493594	-0.10153457245424	-0.107298494352931	0.00626156992392342	0.0574696097955888	-0.36132340656033	-0.183227800804855	0.0574128567635886	-0.297938338926363	NA	-0.0425415326017843	-0.19878941908783	0.200859934482162	-0.135830730858064	0.180413407776599	0.230080144605347	-0.0499105983071042	0.235630538392034	-0.0130298005133788	-0.120167253094631	0.0367333129150273	0.125025398489912	0.159571391769222	0.0626629261815753	0.256771191696391	0.215613161968801	0.215526072957966	0.404931233389524	-0.15573699513869	0.105472557168039	0.0839206335054366	0.358795702587287	0.283796144270165	0.374859417706874	-0.204829139157071	-0.372321596067138	0.0410451766839608	-0.0103978678563454	-0.207050989083445	0.0280645572274905
ENSG00000003756	RBM5	-0.438447620211496	-0.175028143650545	-0.0871663121246583	-0.0621094522253519	-0.314993425768712	-0.158086439433293	-0.265301790832761	-0.0302182718969698	-0.167322347945765	-0.244675854995934	0.0574636982413064	0.413649835749844	0.109806345398707	0.214065388289124	0.0424680533039538	0.0605819721391447	-0.0240884513878856	-0.232072181173512	0.12878034640432	0.0827800880201114	-0.176263587777382	0.151862903950028	0.361869852043915	0.101919099798687	-0.228767027340153	-0.241722780272221	-0.40601007682201	-0.264670670310156	0.101658095598991	-0.426261569941188	-0.0844617884838869	0.418702207972358	-0.240669794273237	0.119355217636673	0.125065829038074	-0.164228493761623	0.0799981632440751	0.22161043475836	-0.255463140475512	-0.0029883312220302	0.27462390157918	-0.0638067527568148
ENSG00000004399	PLXND1	0.233673863869481	0.190910618471219	-0.0678856933309266	-0.255890691402849	0.132734687942011	0.104242401498366	0.0847500485484143	0.117423298515189	0.257461706600141	0.266328842319711	0.0855850840927282	-0.614695404982863	-0.859950756281657	-1.53130154305612	NA	NA	NA	NA	0.890805799648184	0.890572311649665	0.831660151542621	0.722897648473366	0.677630263340357	0.59912937002732	-1.75769844271676	-1.66217246476602	NA	-2.03966086616362	NA	NA	0.112138776746995	0.562006158839378	0.457847035210784	0.115114550600662	-0.182312305832556	-1.12049762776491	0.696917701784535	0.577592730137897	0.529158520805887	0.620783735521762	0.323325652275187	0.276515062129048
