gene_name	hl60_120h_log2FC	hl60_120h_pvalue	hl60_72h_log2FC	hl60_72h_pvalue	hl60_6h_log2FC	hl60_6h_pvalue	kg1_log2FC	kg1_pvalue	molm13_log2FC	molm13_pvalue	molm14_log2FC	molm14_pvalue	ociaml3_log2FC	ociaml3_pvalue	skm1_log2FC	skm1_pvalue
ENSG00000000419	DPM1	0.278258947961359	0.189818680720667	-0.0770246110290555	0.865414733310344	0.127367238268577	0.334520081021344	-0.596785683169556	0.172515722666861	2.51548639775102	0.00012995346760418	1.35510364282189	0.00960179811037437	0.808549070974328	0.0892083744607749	0.0316409968480951	0.733543906121237
ENSG00000000457	SCYL3	-0.060797698592117	0.658942709355347	-0.14778665698305	0.356659718534561	0.145965427337146	0.305016388388035	-0.102811865380359	0.46844124142959	0.385868794488456	0.0798883272509068	0.056585400055146	0.743068645228497	-0.0390462211843695	0.810558509800727	0.159986574075598	0.0510514011763612
ENSG00000000460	C1orf112	0.136672998379762	0.321289460748547	-0.00953825475331492	0.952266214103562	-0.0133456530576573	0.886731814363201	0.0894055557366242	0.802206733430444	0.134406597832521	0.488834357625218	0.0166522706533679	0.960394593289021	0.413671391812695	0.0858558167800297	0.125259301520822	0.161853316980837
ENSG00000000938	FGR	0.350064997923952	0.123633564169638	-0.248720572823943	0.324703327862106	0.375486679089137	0.0582383954955509	0.0609776273107585	0.792330546544304	-0.028657308273571	0.859181287989067	-0.634165403331029	0.371444517857229	0.0122477904407333	0.929810715978828	0.256760745701449	0.0873323740866751
ENSG00000000971	CFH	NA	NA	-0.367149618011507	0.623364024289674	NA	NA	-0.0405872353409862	0.709283650553283	0.0791167518168676	0.37675051797517	0.434694410851511	0.0868614189973858	-0.548455373234707	0.0626087576373499	0.0280431447842951	0.852308147180317
ENSG00000001036	FUCA2	0.0392286489013982	0.774850085479673	0.0292155168172877	0.923686366827993	-0.244974113585506	0.364376297222771	1.32566365973401	0.0278384669210135	0.090604306231332	0.338410988039235	-0.044457290814752	0.725425632216159	0.253231004674466	0.180648773253554	-0.582868515798904	0.0110063283441541
ENSG00000001084	GCLC	-0.081714321438152	0.553495446501558	-0.299105201019036	0.223319581322278	0.162242751651688	0.283113883436476	-0.0352639775256373	0.798002272662845	-1.44147998464799	0.01877104668898	0.393184378407188	0.0494761883851651	0.0448196770477073	0.847550261829134	-0.0720973447887485	0.373529635102929
ENSG00000001167	NFYA	-1.25170113041308	0.0129819312436413	-0.233564418484246	0.479102152491643	0.150329955949735	0.370282110979494	-0.227793931236248	0.305438464044965	-0.210541043945725	0.0078217830851133	-0.177596211232151	0.270254025265614	-0.144773252482087	0.316307983627371	-0.00485862498601072	0.954178861889794
ENSG00000001460	STPG1	-1.03699739365913	0.00823440263695969	-0.407944681288112	0.14315422743465	-0.0777210961713242	0.66195478087239	0.0809770742298222	0.727749247653499	-0.139244046308961	0.137001188541653	-0.502631939517681	0.0509273389037323	0.0318614074609902	0.869677205729707	-0.034778445959172	0.786637542944728
ENSG00000001461	NIPAL3	0.107906860174328	0.716728923431308	-0.00665539578869567	0.971585515448649	0.473773543433984	0.134718079147674	-0.0474039676982791	0.66219498179662	-0.0519288444598517	0.368833203412888	0.0630969012907654	0.773223953033335	0.118718664085884	0.767136911517469	0.150835605559079	0.0179519028398331
ENSG00000001497	LAS1L	0.0159969548747059	0.872473725149075	0.209584700126126	0.223843250386081	-0.02781180573549	0.832506048972297	-0.794313879012152	0.152224257945503	-0.176275915334708	0.191937674823895	0.104830045407524	0.644378148820139	0.172060976335651	0.237589125774374	-0.101641598663939	0.388283117123818
ENSG00000001617	SEMA3F	NA	NA	NA	NA	-0.432217849607617	0.582012459992899	-0.202832877888372	0.43123936401492	-0.0142496631943054	0.893489470647614	0.487905375483049	0.729752290481674	-0.270445475469821	0.145756646052949	0.420414563728019	0.00666730231461988
ENSG00000001629	ANKIB1	0.0771122132615775	0.501456528469519	-0.0904132865750066	0.557920680400556	-0.0749362466715985	0.499766187317798	0.0527541686672664	0.625497694837606	-0.241213010078729	0.0222864872128763	-0.153619129334609	0.552551348198852	0.0739448577486533	0.597679222225294	-0.0689321738312964	0.299352074479572
ENSG00000001630	CYP51A1	-0.145676761294013	0.282236949426612	0.164402524849199	0.308022693939462	0.00500186809512985	0.967768216559796	-0.139176700027157	0.49074362885487	0.200060696644085	0.161213458245208	0.3075566904581	0.280312105539728	-0.184797756430634	0.230661560124001	-0.0769249453487212	0.470602001657098
ENSG00000001631	KRIT1	0.163113199908464	0.135146939298415	0.261895833773054	0.168005690146676	-0.201154175469447	0.124248737194269	-0.0106264479520481	0.939421409854521	0.123957946044243	0.32220454617498	0.154840795692192	0.338908666713318	0.184854812891694	0.161302257246035	-0.0660121874692208	0.190232525413632
