	[-0.41 -0.33]	[-0.33 -0.22]	[-0.22 -0.15]	[-0.15 -0.10]	[-0.10 -0.04]	[-0.04 0.02]	[0.02 0.07]	[0.07 0.14]	[0.14 0.23]	[0.23 0.39]	[0.39 0.47]
GOBP_POSITIVE_REGULATION_OF_PEPTIDYL_THREONINE_PHOSPHORYLATION	4.893	-0.332	-0.332	0.272	-0.332	-0.332	-0.332	-0.332	-0.332	-0.332	0.275
GOBP_REGULATION_OF_PEPTIDYL_THREONINE_PHOSPHORYLATION	4.45	-0.373	-0.373	0.7120000000000001	-0.373	-0.373	-0.373	-0.373	-0.373	-0.373	0.24100000000000002
GOCC_FICOLIN_1_RICH_GRANULE	3.884	1.122	0.8190000000000001	0.361	-1.046	0.361	-0.674	-2.431	-1.046	-0.248	-1.031
GOCC_FICOLIN_1_RICH_GRANULE_LUMEN	2.597	1.6369999999999998	0.888	-0.242	-0.735	-0.242	-0.735	-1.965	-0.735	-0.242	-0.7240000000000001
GOBP_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM	2.585	1.712	1.34	-0.28800000000000003	0.314	-0.474	-0.28800000000000003	-1.6969999999999998	-0.474	-1.6969999999999998	-1.6780000000000002
GOMF_PROTEIN_FOLDING_CHAPERONE	2.5610000000000004	0.166	0.166	1.7380000000000002	-0.49700000000000005	0.166	-0.49700000000000005	-0.49700000000000005	-0.49700000000000005	-0.49700000000000005	-0.502
GOBP_REGULATION_OF_UBIQUITIN_PROTEIN_TRANSFERASE_ACTIVITY	2.557	0.166	-0.498	0.166	-0.498	-0.498	-0.498	0.524	-0.498	-0.498	1.062
GOMF_UNFOLDED_PROTEIN_BINDING	2.4219999999999997	0.649	-0.45399999999999996	0.992	1.4040000000000001	-0.45399999999999996	-0.833	-0.833	-0.833	-0.45399999999999996	-1.516
GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM	2.105	2.105	1.287	0.257	0.435	-0.583	-0.35	-1.446	-0.35	-2.261	-2.241
GOBP_MUCOPOLYSACCHARIDE_METABOLIC_PROCESS	-0.457	-0.457	0.187	-0.457	-0.457	-0.457	-0.457	0.578	-0.457	1.149	2.7739999999999996
GOBP_AMINOGLYCAN_METABOLIC_PROCESS	-0.581	-0.581	-0.2	0.892	-0.581	-0.581	-0.581	0.433	-0.581	0.892	2.2359999999999998
GOCC_CYCLIN_DEPENDENT_PROTEIN_KINASE_HOLOENZYME_COMPLEX	-0.415	0.21100000000000002	0.64	-0.415	1.258	-0.415	-0.415	-0.415	-0.415	-0.415	2.057
