GO	[-1.00 -0.57]	[-0.57 -0.17]	[-0.17 0.15]	[0.15 0.34]	[0.34 0.50]	[0.50 0.66]	[0.66 0.79]	[0.79 0.91]	[0.91 0.98]	[0.98 1.00]	[1.00 1.00]
ZWANG_EGF_PERSISTENTLY_UP ZWANG_EGF_PERSISTENTLY_UP	-0.870	0.527	1.438	-0.870	-0.378	-0.870	-0.870	1.438	2.040	-0.378	-0.876
DAZARD_UV_RESPONSE_CLUSTER_G6 DAZARD_UV_RESPONSE_CLUSTER_G6	-2.610	-0.870	-0.451	-0.870	0.291	-0.634	0.420	-0.311	0.291	0.982	4.578
TURASHVILI_BREAST_CARCINOMA_DUCTAL_VS_LOBULAR_UP TURASHVILI_BREAST_CARCINOMA_DUCTAL_VS_LOBULAR_UP	-0.538	-0.538	-0.538	-0.176	-0.538	-0.538	4.281	-0.538	-0.176	-0.176	0.962
SCHEIDEREIT_IKK_INTERACTING_PROTEINS SCHEIDEREIT_IKK_INTERACTING_PROTEINS	-1.534	0.359	-1.534	0.615	-0.476	2.886	-0.861	0.615	-0.476	0.359	0.355
DORSAM_HOXA9_TARGETS_DN DORSAM_HOXA9_TARGETS_DN	-0.911	0.217	0.217	-0.405	2.600	-0.911	-0.911	-0.911	0.875	0.875	0.214
ALCALAY_AML_BY_NPM1_LOCALIZATION_DN ALCALAY_AML_BY_NPM1_LOCALIZATION_DN	3.686	2.042	-0.855	-0.606	-0.278	-1.178	-0.418	-1.178	0.325	-0.606	-0.285
YAMASHITA_LIVER_CANCER_STEM_CELL_UP YAMASHITA_LIVER_CANCER_STEM_CELL_UP	1.387	-0.621	0.824	-0.223	-0.621	1.387	-0.621	-0.621	-0.621	-0.621	0.818
BONOME_OVARIAN_CANCER_POOR_SURVIVAL_DN BONOME_OVARIAN_CANCER_POOR_SURVIVAL_DN	-0.538	-0.538	-0.538	-0.538	-0.176	-0.538	-0.176	1.605	1.605	0.968	-0.542
BAUS_TFF2_TARGETS_UP BAUS_TFF2_TARGETS_UP	-0.414	0.212	-0.414	-0.414	2.041	-0.414	2.041	-0.414	0.212	-0.414	-0.417
TSAI_RESPONSE_TO_RADIATION_THERAPY TSAI_RESPONSE_TO_RADIATION_THERAPY	-0.290	-0.290	0.313	-0.290	-0.290	3.959	-0.290	-0.290	-0.290	-0.290	0.311
VICENT_METASTASIS_UP VICENT_METASTASIS_UP	-0.331	-0.331	-0.331	-0.331	0.796	-0.331	-0.331	-0.331	2.454	0.796	-0.333
