GO	[-7.84 -0.62]	[-0.62 -0.29]	[-0.29 -0.13]	[-0.13 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.07]	[0.07 0.23]	[0.23 0.51]	[0.51 1.02]	[1.02 24.36]
GO_HORMONE_ACTIVITY GO_HORMONE_ACTIVITY	2.076	-3.711	-3.711	-2.910	1.479	8.135	-0.791	-1.786	-2.286	-0.417	2.769
KONDO_PROSTATE_CANCER_WITH_H3K27ME3 KONDO_PROSTATE_CANCER_WITH_H3K27ME3	2.694	-0.608	-2.942	-1.745	1.635	4.370	-0.270	-2.942	-1.745	0.334	0.554
GO_CARGO_RECEPTOR_ACTIVITY GO_CARGO_RECEPTOR_ACTIVITY	2.740	0.876	-1.240	-1.818	-1.818	-1.240	-0.834	-2.694	0.627	1.168	3.224
NABA_ECM_GLYCOPROTEINS NABA_ECM_GLYCOPROTEINS	2.372	-1.203	-1.203	-2.970	-0.977	0.325	-0.620	-1.767	-0.483	3.278	3.955
CHIANG_LIVER_CANCER_SUBCLASS_CTNNB1_DN CHIANG_LIVER_CANCER_SUBCLASS_CTNNB1_DN	2.046	-0.261	-1.259	-1.554	-1.554	-1.008	-3.319	-0.797	1.306	1.781	4.005
HOELZEL_NF1_TARGETS_UP HOELZEL_NF1_TARGETS_UP	2.092	-0.341	-0.848	-1.414	-1.103	-2.245	-2.796	-0.341	0.505	4.752	1.521
GNF2_MYL2 GNF2_MYL2	5.075	-0.671	-0.671	-1.284	0.836	-0.341	-1.284	-1.284	-0.671	-0.671	2.266
GNF2_HPX GNF2_HPX	2.536	0.548	-1.042	-3.366	1.353	-0.795	-0.435	-3.366	-0.595	0.902	2.204
GNF2_HPN GNF2_HPN	2.934	0.563	-1.321	-3.330	1.647	-1.022	-0.301	-2.666	-0.580	0.563	1.933
GO_SCAVENGER_RECEPTOR_ACTIVITY GO_SCAVENGER_RECEPTOR_ACTIVITY	4.552	0.226	-0.676	-1.864	-1.123	-0.676	-0.392	-1.864	0.409	-0.392	2.721
GSE27786_NKCELL_VS_ERYTHROBLAST_DN GSE27786_NKCELL_VS_ERYTHROBLAST_DN	2.339	1.584	-0.379	-0.633	-2.540	-1.790	-0.798	-1.485	-0.798	0.416	4.643
GNF2_LCAT GNF2_LCAT	2.676	0.561	-1.097	-2.980	1.164	-1.097	-0.311	-2.348	-0.828	0.736	2.323
KOKKINAKIS_METHIONINE_DEPRIVATION_96HR_DN KOKKINAKIS_METHIONINE_DEPRIVATION_96HR_DN	2.200	-0.314	1.153	0.878	-3.068	-3.068	-0.488	1.466	-0.488	0.289	-0.732
GSE41176_UNSTIM_VS_ANTI_IGM_STIM_TAK1_KO_BCELL_6H_DN GSE41176_UNSTIM_VS_ANTI_IGM_STIM_TAK1_KO_BCELL_6H_DN	2.307	0.797	-1.010	-3.028	-1.239	-0.646	-1.010	-0.505	-0.388	0.519	4.593
GSE46606_UNSTIM_VS_CD40L_IL2_IL5_3DAY_STIMULATED_IRF4_KO_BCELL_UP GSE46606_UNSTIM_VS_CD40L_IL2_IL5_3DAY_STIMULATED_IRF4_KO_BCELL_UP	2.260	-0.828	-2.830	-1.299	0.871	0.327	0.561	-1.299	-0.647	-0.828	4.286
GO_POSITIVE_REGULATION_OF_SYNAPTIC_TRANSMISSION GO_POSITIVE_REGULATION_OF_SYNAPTIC_TRANSMISSION	2.511	-1.142	-1.977	-1.512	-1.977	-0.301	-1.142	0.783	0.433	2.511	1.248
REACTOME_TRANSPORT_OF_INORGANIC_CATIONS_ANIONS_AND_AMINO_ACIDS_OLIGOPEPTIDES REACTOME_TRANSPORT_OF_INORGANIC_CATIONS_ANIONS_AND_AMINO_ACIDS_OLIGOPEPTIDES	4.630	-0.606	-0.279	-0.606	-2.843	-0.606	-0.853	-0.853	0.325	0.325	2.027
GSE34156_NOD2_LIGAND_VS_TLR1_TLR2_LIGAND_24H_TREATED_MONOCYTE_UP GSE34156_NOD2_LIGAND_VS_TLR1_TLR2_LIGAND_24H_TREATED_MONOCYTE_UP	2.209	1.457	1.941	-0.363	-1.506	-3.128	-1.828	0.706	0.335	-0.363	-0.621
CAR_IGFBP1 CAR_IGFBP1	2.016	-0.365	-0.600	-2.279	2.016	0.416	-1.465	-1.465	-0.600	1.232	0.415
NAKAYAMA_SOFT_TISSUE_TUMORS_PCA1_DN NAKAYAMA_SOFT_TISSUE_TUMORS_PCA1_DN	2.806	-1.423	-0.437	-2.034	-0.985	0.328	-0.985	-0.985	0.500	1.260	1.960
GO_CELL_SURFACE_RECEPTOR_SIGNALING_PATHWAY_INVOLVED_IN_CELL_CELL_SIGNALING GO_CELL_SURFACE_RECEPTOR_SIGNALING_PATHWAY_INVOLVED_IN_CELL_CELL_SIGNALING	2.231	-0.359	-2.736	0.250	-1.271	0.604	-1.271	-0.565	0.250	0.250	2.671
GSE21670_STAT3_KO_VS_WT_CD4_TCELL_TGFB_TREATED_DN GSE21670_STAT3_KO_VS_WT_CD4_TCELL_TGFB_TREATED_DN	2.041	0.519	0.797	0.519	-3.028	-1.505	-2.567	-0.388	0.519	-0.293	1.790
GNF2_MYL3 GNF2_MYL3	3.685	-0.640	-0.640	-0.640	0.540	0.283	-0.640	-1.243	-0.320	-1.243	1.795
HELLER_SILENCED_BY_METHYLATION_DN HELLER_SILENCED_BY_METHYLATION_DN	3.595	-1.028	-0.250	0.687	-1.826	-2.397	-1.028	0.359	0.897	0.897	-0.373
GSE28737_FOLLICULAR_VS_MARGINAL_ZONE_BCELL_DN GSE28737_FOLLICULAR_VS_MARGINAL_ZONE_BCELL_DN	2.121	1.416	-1.352	-0.902	-1.630	-1.630	-1.630	-0.447	1.028	1.214	1.212
GO_VOLTAGE_GATED_ION_CHANNEL_ACTIVITY GO_VOLTAGE_GATED_ION_CHANNEL_ACTIVITY	2.290	0.491	-1.345	-2.356	-0.700	0.620	-0.881	-0.700	-0.700	0.379	3.526
