GO	[-22.20 -0.77]	[-0.77 -0.25]	[-0.25 -0.01]	[-0.01 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.10]	[0.10 0.44]	[0.44 0.96]	[0.96 24.36]
GO:0006260 DNA replication	-5.557	8.235	25.201	-3.217	-6.799	-6.799	-6.799	0.492	2.428	-1.485	-3.852
GO:0000775 chromosome, centromeric region	-4.896	2.776	23.283	-4.896	-6.093	-4.896	-6.093	0.582	6.035	-1.130	-3.281
GO:0005681 spliceosomal complex	-3.316	5.053	18.350	-4.037	-6.135	-6.135	-6.135	1.322	5.053	-1.801	-4.035
GO:0003735 structural constituent of ribosome	-4.654	0.944	13.348	-3.248	-6.840	-6.840	-6.840	1.138	10.909	0.944	-3.246
GO:0000086 G2/M transition of mitotic cell cycle	-4.356	2.698	16.099	-3.501	-5.512	-5.512	-5.512	0.362	8.209	-1.435	-1.434
GO:0008168 methyltransferase activity	-2.849	3.771	20.061	-3.956	-6.458	-6.458	-3.956	0.593	3.771	-0.726	-1.673
GO:0060271 cilium assembly	-2.169	6.253	14.426	-6.105	-6.105	-6.105	-5.131	-0.262	3.829	-0.262	-0.971
GO:0006897 endocytosis	-1.823	3.102	3.783	-5.168	-7.422	-7.422	-7.422	0.335	8.580	1.934	0.866
GO:0042254 ribosome biogenesis	-4.143	2.806	14.348	-1.004	-4.143	-4.143	-4.143	2.067	3.215	-3.101	-4.142
GO:0008022 protein C-terminus binding	-1.110	1.735	12.950	-3.332	-7.712	-4.612	-7.712	0.912	6.632	-0.326	-1.109
GO:0016874 ligase activity	-1.463	12.939	7.297	-4.581	-4.581	-6.757	-6.757	0.385	1.895	-0.319	-0.734
GO:0006888 ER to Golgi vesicle-mediated transport	-1.441	0.517	12.423	-2.619	-6.716	-5.479	-5.479	1.926	7.879	-0.419	-1.772
GO:0006417 regulation of translation	-2.953	5.317	15.519	-2.388	-4.510	-4.510	-5.678	-0.717	3.609	-1.206	-0.716
GO:0006457 protein folding	-4.025	2.547	8.873	-2.823	-3.375	-7.006	-4.800	0.870	8.873	0.327	-1.594
GO:0005085 guanyl-nucleotide exchange factor activity	-1.264	4.811	3.349	-5.242	-6.222	-6.222	-5.242	0.538	8.935	-1.023	1.633
GO:0005741 mitochondrial outer membrane	-3.217	5.372	5.812	-3.854	-3.854	-6.799	-4.617	-0.440	7.722	0.276	0.375
GO:0005770 late endosome	-2.038	2.361	7.819	-3.219	-4.049	-5.180	-5.180	0.610	8.987	-0.537	-1.250
GO:0006461 protein complex assembly	-3.325	2.572	9.281	-5.305	-4.164	-4.164	-2.124	-0.423	7.545	0.301	-1.019
GO:1903231 mRNA binding involved in posttranscriptional gene silencing	-0.399	-5.222	-4.087	5.136	4.674	6.636	-0.551	0.594	-4.087	-1.631	-5.220
GO:0006368 transcription elongation from RNA polymerase II promoter	-2.193	1.939	10.569	-1.647	-3.936	-3.936	-3.936	-0.301	4.976	0.301	-2.192
GO:1902036 regulation of hematopoietic stem cell differentiation	-2.951	3.026	10.432	-2.951	-2.951	-3.977	-3.977	-0.461	3.911	0.426	-1.249
GO:0000151 ubiquitin ligase complex	-1.914	0.323	11.477	-1.914	-4.309	-2.495	-3.251	1.591	5.819	-1.095	-1.913
GO:0016311 dephosphorylation	-3.030	1.103	6.383	-2.119	-7.297	-2.541	-3.030	0.751	6.383	1.307	-0.743
GO:0006486 protein glycosylation	-0.674	2.474	9.238	-3.439	-4.093	-4.873	-5.830	1.013	1.915	0.309	0.413
GO:0050790 regulation of catalytic activity	-0.808	1.591	6.367	-4.309	-3.251	-4.309	-4.309	1.591	4.302	-0.411	-0.583
GO:0032981 mitochondrial respiratory chain complex I assembly	-1.781	0.275	5.608	-2.651	-2.651	-2.651	-2.651	0.440	9.992	-0.526	-1.209
GO:0004843 thiol-dependent ubiquitin-specific protease activity	-1.672	-0.382	7.787	-1.672	-1.672	-2.322	-2.322	1.276	7.121	-0.841	-3.271
GO:0035579 specific granule membrane	-2.728	1.198	3.853	-2.728	-3.729	-3.729	-2.028	-0.247	7.161	0.940	-0.376
GO:0007156 homophilic cell adhesion via plasma membrane adhesion molecules	0.475	0.357	-1.027	-3.550	-3.550	-1.980	-2.418	-2.418	1.374	7.410	6.426
GO:0016829 lyase activity	-0.283	4.209	4.623	-2.720	-6.135	-3.316	-3.316	0.724	2.734	-0.391	-0.390
GO:0007346 regulation of mitotic cell cycle	-1.251	-0.266	8.915	-3.355	-3.355	-0.886	-3.355	0.701	4.543	-0.613	-0.613
GO:0034599 cellular response to oxidative stress	-3.770	0.504	5.868	-1.124	-3.770	-2.765	-2.765	-0.257	5.868	0.504	0.350
GO:0006338 chromatin remodeling	-1.897	1.641	8.953	-2.580	-1.897	-1.897	-2.580	0.419	4.145	-1.897	-0.709
GO:0005516 calmodulin binding	-0.619	0.827	1.841	-2.962	-5.613	-2.109	-4.087	-0.483	6.314	2.647	0.997
GO:1990830 cellular response to leukemia inhibitory factor	-1.250	1.285	5.973	-1.676	-3.977	-2.226	-2.226	-0.658	3.456	0.426	0.427
GO:0015992 proton transport	-1.930	2.706	2.706	-1.930	-1.930	-1.417	-2.617	-0.338	6.862	-0.338	-1.026
GO:0001078 transcriptional repressor activity, RNA polymerase II core promoter proximal region sequence-specific binding	-0.639	1.519	3.480	-2.241	-3.466	-3.466	-2.791	0.264	4.298	0.660	0.505
GO:0042571 immunoglobulin complex, circulating	-1.988	-1.988	-1.988	2.482	1.564	0.571	1.999	2.482	-1.988	-1.224	-1.987
GO:0005637 nuclear inner membrane	-1.224	-0.256	7.867	-0.755	-1.988	-1.224	-1.988	0.351	1.999	0.571	-1.987
GO:0051213 dioxygenase activity	-0.933	1.143	4.379	-1.306	-2.469	-3.438	-2.469	0.467	3.392	0.313	-0.289
GO:0005549 odorant binding	-0.956	-0.301	-2.506	4.827	0.451	4.299	0.636	-0.670	-0.670	-2.506	-2.505
GO:0007169 transmembrane receptor protein tyrosine kinase signaling pathway	0.935	0.561	0.291	-2.975	-4.890	-1.839	-0.442	-0.827	1.162	0.935	4.751
GO:0045095 keratin filament	-1.735	-1.735	-2.293	2.155	2.914	0.558	2.155	1.504	-3.026	-1.735	-0.490
GO:0008139 nuclear localization sequence binding	-0.520	2.790	7.022	-0.241	-1.076	-1.076	-0.520	-1.076	-1.076	-0.520	-1.076
GO:0007517 muscle organ development	-1.794	2.067	1.436	-1.794	-1.352	-3.101	-2.360	0.249	3.215	0.524	1.437
GO:0019216 regulation of lipid metabolic process	-0.571	1.167	2.116	-1.531	-3.770	-2.061	-0.811	0.349	4.268	0.914	-1.124
GO:1904115 axon cytoplasm	-1.739	0.476	1.927	-1.023	-1.023	-1.739	-1.739	-0.336	5.671	0.476	-0.335
GO:0009060 aerobic respiration	-0.671	1.719	2.265	-1.284	-1.284	-1.284	-1.284	-0.341	3.549	0.264	-1.283
GO:0045669 positive regulation of osteoblast differentiation	-2.361	2.336	-0.398	-0.398	-1.005	-2.361	-1.534	-0.644	2.816	1.150	1.151
GO:0003950 NAD+ ADP-ribosyltransferase activity	-0.462	3.046	-0.994	-0.462	-0.994	-0.994	-0.462	0.772	3.810	-0.994	-0.993
GO:0050840 extracellular matrix binding	1.502	-0.550	-1.118	-1.118	-1.118	-1.118	-0.550	-1.118	0.347	2.673	2.674
GO:0035580 specific granule lumen	-1.675	1.687	0.728	-1.675	-1.121	-2.526	-1.121	0.316	2.092	0.498	1.688
GO:0008180 COP9 signalosome	-0.764	2.569	3.188	0.216	-1.408	-1.408	-1.408	0.216	1.079	-0.764	-0.764
GO:0003841 1-acylglycerol-3-phosphate O-acyltransferase activity	-0.787	0.279	4.778	-0.787	-0.787	-0.787	-0.787	-0.787	2.268	-0.324	-0.324
GO:0016180 snRNA processing	-0.176	-0.538	6.669	-0.538	-0.538	-0.538	-0.538	-0.538	0.967	-0.538	-0.538
GO:0002377 immunoglobulin production	-1.037	-1.037	-2.104	0.906	1.505	2.251	1.860	0.664	-2.104	-0.471	-1.483
GO:0031305 integral component of mitochondrial inner membrane	-1.035	1.658	0.726	-0.491	-1.035	-1.035	-1.035	-0.222	3.653	0.398	-1.035
GO:1903507 negative regulation of nucleic acid-templated transcription	-0.373	1.369	1.796	-0.650	-1.822	-1.822	-0.650	-0.650	2.804	-1.089	0.684
GO:0032266 phosphatidylinositol-3-phosphate binding	0.427	0.716	1.511	-1.408	-1.408	-1.408	-1.408	-0.407	2.569	0.716	-0.407
GO:0043984 histone H4-K16 acetylation	-0.538	-0.538	3.260	-0.538	-0.538	-0.538	-0.538	-0.176	3.260	-0.538	-0.538
GO:0031334 positive regulation of protein complex assembly	-0.994	1.213	1.743	-0.994	-0.994	-0.462	-0.994	0.772	2.356	-0.994	-0.462
GO:1902476 chloride transmembrane transport	1.108	-0.279	0.651	-0.605	-1.589	-2.127	-2.127	-1.174	1.108	2.025	1.691
GO:0000178 exosome (RNase complex)	-0.272	2.540	3.360	-0.704	-0.704	-0.704	-0.704	0.332	-0.272	-0.704	-0.704
GO:0004177 aminopeptidase activity	-0.702	0.793	4.903	-1.325	-0.702	-0.702	-1.325	-0.702	0.480	0.247	0.480
GO:0001731 formation of translation preinitiation complex	-0.621	0.396	4.779	-0.621	-0.621	-0.621	-0.621	0.823	0.396	-0.621	-0.621
GO:0045746 negative regulation of Notch signaling pathway	-0.279	-0.279	1.431	-1.159	-1.159	-1.159	-0.579	-1.159	0.978	0.607	2.564
GO:0080008 Cul4-RING E3 ubiquitin ligase complex	-0.745	0.655	3.181	-0.745	-0.745	-0.745	-0.745	0.304	1.712	-0.298	-0.745
GO:0050729 positive regulation of inflammatory response	-0.470	0.728	0.316	-1.675	-1.121	-1.675	-0.287	-1.675	1.003	1.687	2.538
GO:0005544 calcium-dependent phospholipid binding	0.370	1.224	-0.242	-1.190	-1.946	-1.190	-1.190	-0.728	1.224	0.597	2.560
GO:0009982 pseudouridine synthase activity	-0.538	2.369	1.602	-0.538	-0.538	-0.538	-0.538	-0.538	1.602	-0.538	-0.538
GO:0007140 male meiotic nuclear division	-0.222	0.726	0.726	-1.035	-1.035	-1.035	-1.035	-1.035	1.149	0.398	2.249
GO:0004553 hydrolase activity, hydrolyzing O-glycosyl compounds	0.247	2.769	-0.363	-1.325	-1.325	-1.325	-0.702	0.480	1.184	-0.363	0.794
GO:0015718 monocarboxylic acid transport	-0.223	2.864	2.068	-0.621	-0.621	-0.621	-0.621	-0.621	-0.223	-0.621	0.396
GO:0010035 response to inorganic substance	-0.621	0.823	2.068	-0.621	-0.621	-0.621	-0.621	-0.621	1.385	0.823	-0.621
GO:0008656 cysteine-type endopeptidase activator activity involved in apoptotic process	-0.662	-0.247	2.695	-0.662	-0.662	-0.662	-0.662	-0.247	2.695	-0.247	-0.247
GO:0016409 palmitoyltransferase activity	-0.298	1.128	2.399	-0.745	-0.745	-0.745	-0.745	-0.298	1.712	-0.298	-0.745
GO:0043395 heparan sulfate proteoglycan binding	-0.324	-0.787	1.613	-0.787	-0.787	-0.787	-0.324	0.279	-0.787	1.057	2.269
GO:0050907 detection of chemical stimulus involved in sensory perception	-0.595	-0.595	-1.223	1.241	2.688	0.965	0.724	0.724	-1.704	-1.223	-1.222
GO:0008146 sulfotransferase activity	0.814	1.136	0.546	-0.270	-1.258	-1.258	-0.471	-2.029	2.408	0.546	-0.781
GO:0005132 type I interferon receptor binding	-0.704	-0.704	-0.704	0.332	0.706	1.206	2.540	0.332	-0.704	-0.704	-0.704
GO:1901687 glutathione derivative biosynthetic process	-0.378	0.527	0.527	-0.869	0.236	-0.869	-0.378	-0.378	4.349	-0.378	-0.869
GO:0000042 protein targeting to Golgi	0.256	0.256	1.521	-0.828	-0.828	-0.828	-0.828	-0.351	2.865	0.256	-0.351
GO:0005496 steroid binding	1.431	-0.279	0.324	-1.159	-0.279	-1.159	-1.159	-0.579	0.978	-0.279	1.962
GO:0005581 collagen trimer	-0.301	1.939	0.301	-0.640	-2.193	-0.301	-0.446	-0.446	-0.640	-0.640	3.522
GO:0003951 NAD+ kinase activity	-0.704	1.821	0.706	-0.704	-0.704	-0.272	-0.704	-0.704	1.821	0.332	-0.272
GO:0070402 NADPH binding	-0.580	2.211	-0.580	-0.199	-0.580	-0.580	-0.580	-0.580	1.488	0.434	0.434
GO:0043101 purine-containing compound salvage	-0.538	-0.538	2.369	-0.538	-0.176	-0.538	-0.538	-0.176	1.602	0.477	-0.538
GO:0016064 immunoglobulin mediated immune response	-0.497	-0.497	0.167	-0.497	-0.497	-0.497	-0.497	0.167	1.730	0.167	2.547
GO:0072546 ER membrane protein complex	-0.414	-0.414	2.976	0.211	-0.414	-0.414	-0.414	-0.414	1.256	-0.414	0.212
GO:0006415 translational termination	-0.455	1.874	1.148	-0.455	-0.455	-0.455	-0.455	-0.455	1.148	0.187	-0.455
GO:0072321 chaperone-mediated protein transport	-0.331	-0.331	3.562	-0.331	-0.331	-0.331	-0.331	-0.331	0.795	-0.331	0.273
GO:0004596 peptide alpha-N-acetyltransferase activity	-0.414	2.976	0.640	-0.414	-0.414	0.211	-0.414	0.640	-0.414	-0.414	-0.414
GO:0016926 protein desumoylation	-0.331	2.451	0.795	-0.331	-0.331	-0.331	-0.331	-0.331	0.795	-0.331	-0.331
GO:0000408 EKC/KEOPS complex	-0.248	-0.248	1.014	-0.248	-0.248	-0.248	-0.248	-0.248	3.055	-0.248	-0.248
GO:0000796 condensin complex	-0.248	1.014	3.055	-0.248	-0.248	-0.248	-0.248	-0.248	-0.248	-0.248	-0.248
GO:0000445 THO complex part of transcription export complex	-0.248	-0.248	1.915	-0.248	-0.248	-0.248	-0.248	-0.248	1.915	-0.248	-0.248
GO:0031123 RNA 3'-end processing	-0.290	-0.290	2.720	-0.290	-0.290	-0.290	-0.290	-0.290	0.894	-0.290	0.313
GO:0060666 dichotomous subdivision of terminal units involved in salivary gland branching	-0.207	-0.207	-0.207	-0.207	-0.207	-0.207	-0.207	-0.207	0.421	-0.207	3.500
GO:0071205 protein localization to juxtaparanode region of axon	-0.207	-0.207	-0.207	-0.207	-0.207	-0.207	-0.207	-0.207	0.421	-0.207	3.500
GO:0021650 vestibulocochlear nerve formation	-0.207	-0.207	-0.207	-0.207	0.421	-0.207	-0.207	-0.207	-0.207	3.500	-0.207
