FIELD	COUNT	DESC
Stranded_Rule_Code	0	Code for the strandedness rule used. 0 if data is unstranded, 1 if data is fr_firstStrand, 2 if data is fr_secondStrand.
READ_PAIR_OK	33200978	Number of reads or read-pairs that pass initial filters and are processed by QoRTs.
TOTAL_READ_PAIRS	41113846	Total number of reads or read-pairs found in the input file.
DROPPED_NOT_PROPER_PAIR	-1	Number of reads or read-pairs dropped because the 'not proper pair' SAM flag is raised.
DROPPED_READ_FAILS_VENDOR_QC	0	Number of reads or read-pairs that have the 'failed vendor QC' SAM flag raised.
DROPPED_MARKED_NOT_VALID	0	Number of reads or read-pairs dropped because marked 'not valid'
DROPPED_CHROMS_MISMATCH	-1	Number of read-pairs dropped because the paired reads align to different chromosomes
DROPPED_PAIR_STRANDS_MISMATCH	-1	Number of read-pairs dropped because the paired reads align to inconsistent strands
DROPPED_IGNORED_CHROMOSOME	0	Number of reads or read-pairs dropped because they align to chromosomes marked for ignoring
DROPPED_NOT_UNIQUE_ALIGNMENT	7912868	Number of reads or read-pairs dropped because they are not uniquely aligned to single genomic locus
DROPPED_NO_ALN_BLOCKS	0	Number of reads or read-pairs dropped because they do not have any alignment blocks (despite being marked as aligned)
DROPPED_NOT_MARKED_RG	-1	Number of reads or read-pairs dropped because they are not in the correct read group (or -1 if read-group filtering is not on)
KEPT_NOT_UNIQUE_ALIGNMENT	0	Number of reads or read-pairs kept despite not being uniquely aligned.
minObservedReadLength	51	The base-pair length of the smallest read
maxObservedReadLength	51	The base-pair length of the largest read
maxLegalPhredScore	41	The largest observed PHRED score.
IS_SINGLE_END	1	0 if data is paired-ended, 1 if data is single-ended
PREALIGNMENT_READ_CT	-1	The number of reads found pre-alignment. Can be set using --seqReadCt or --rawfastq. -1 if unknown.
BENCHMARK_MinutesOnSamIteration	28.63	The number of minutes spent on the SAM iteration step.
BENCHMARK_MinutesPerMillionReads	0.70	The number of minutes per million reads spent on the SAM iteration step
BENCHMARK_MinutesPerMillionGoodReads	0.86	The number of minutes per million reads that passed the initial filtering step.
ReadPairs_AmbigGene	2236671	Number of reads or read-pairs that map to a genomic area that includes regions covered by more than one gene.
ReadPairs_UniqueGene	26430077	Number of reads or read-pairs that map to a genomic area covered by exactly one gene
ReadPairs_UniqueGene_CDS	17607461	Number of reads or read-pairs that map to a genomic area covered by exactly one gene, and intersect at least partially with the coding region of that gene.
ReadPairs_UniqueGene_UTR	8822616	Number of reads or read-pairs that map to a genomic area covered by exactly one gene, but that only cover the UTR (non-coding) regions.
ReadPairs_NoGene	4534230	Number of reads or read-pairs that are not assigned to any gene.
ReadPairs_NoGene_Intron	4111585	Number of reads or read-pairs that are not assigned to any gene, and that occur within an intronic region of one or more genes.
ReadPairs_NoGene_OneKbFromGene	131613	Number of reads or read-pairs that are not assigned to any gene, and that are within 1kb from one or more genes.
ReadPairs_NoGene_TenKbFromGene	184764	Number of reads or read-pairs that are not assigned to any gene, and that are within 10kb from one or more genes.
ReadPairs_NoGene_MiddleOfNowhere	106268	Number of reads or read-pairs that are not assigned to any gene, and that are more than 10kb from the nearest gene
Genes_Total	60669	Number of known genes
Genes_WithZeroCounts	33883	Number of genes with zero observed reads
Genes_WithNonzeroCounts	26786	Number of genes with 1 or more observed reads
AVG_GC	0.4719474097246735	Average GC fraction across all reads
AggregateGenes	48934	Number of aggregate genes
AggregateGenes_NoReads	27301	Number of aggregate genes with 0 observed reads
AggregateGenes_WithReads	21633	Number of aggregate genes with 1 or more observed reads
SpliceLoci	406610	Number of splice loci observed
SpliceLoci_Known	383646	Number of known splice loci
SpliceLoci_Known_NoReads	266690	Number of known splice loci with 0 observed reads
SpliceLoci_Known_FewReads	30435	Number of known splice loci with 1-3 observed reads
SpliceLoci_Known_ManyReads	86521	Number of known splice loci with 4+ observed reads
SpliceLoci_Novel	22964	Number of novel splice loci observed
SpliceLoci_Novel_FewReads	21523	Number of novel splice loci observed with 1-3 observed reads
