GO	[-1.86 -0.20]	[-0.20 -0.14]	[-0.14 -0.10]	[-0.10 -0.07]	[-0.07 -0.04]	[-0.04 -0.01]	[-0.01 0.02]	[0.02 0.05]	[0.05 0.10]	[0.10 0.17]	[0.17 0.62]
MORF_CTBP1 MORF_CTBP1	0.312	-0.290	-3.493	0.312	-0.446	-1.328	1.160	-0.660	1.160	-0.290	2.193
GSE8384_CTRL_VS_B_ABORTUS_4H_MAC_CELL_LINE_UP GSE8384_CTRL_VS_B_ABORTUS_4H_MAC_CELL_LINE_UP	0.818	-0.474	0.547	-2.048	-0.788	-0.271	-0.788	-0.474	0.818	-0.788	3.569
GSE46606_IRF4MID_VS_WT_CD40L_IL2_IL5_DAY3_STIMULATED_BCELL_DN GSE46606_IRF4MID_VS_WT_CD40L_IL2_IL5_DAY3_STIMULATED_BCELL_DN	0.225	-1.880	0.964	0.225	-1.133	0.656	-1.133	-0.394	-0.394	0.225	3.354
GSE19198_CTRL_VS_IL21_TREATED_TCELL_24H_DN GSE19198_CTRL_VS_IL21_TREATED_TCELL_24H_DN	0.528	-0.552	-0.552	-0.964	-1.669	-0.552	2.091	-0.552	0.823	-0.552	2.103
GO_OXIDOREDUCTION_COENZYME_METABOLIC_PROCESS GO_OXIDOREDUCTION_COENZYME_METABOLIC_PROCESS	-1.082	-0.241	-0.241	0.685	-1.082	-0.522	-1.082	0.685	0.685	-0.522	2.827
MORF_MAP2K2 MORF_MAP2K2	-1.133	0.225	-1.880	-0.394	-1.133	0.225	0.656	0.225	1.755	-0.394	2.244
GO_INORGANIC_ANION_TRANSPORT GO_INORGANIC_ANION_TRANSPORT	-0.177	0.969	-0.540	-0.540	-0.540	-0.177	-0.540	-0.540	-0.540	0.476	3.287
GO_NONMOTILE_PRIMARY_CILIUM GO_NONMOTILE_PRIMARY_CILIUM	-0.223	0.396	0.396	-0.623	-0.223	-0.623	0.396	-0.623	-0.623	-0.623	3.805
GSE3039_ALPHAALPHA_VS_ALPHABETA_CD8_TCELL_UP GSE3039_ALPHAALPHA_VS_ALPHABETA_CD8_TCELL_UP	0.773	-0.464	-0.464	0.773	-0.998	-0.204	-0.998	-0.464	0.773	-0.998	2.384
BILANGES_SERUM_RESPONSE_TRANSLATION BILANGES_SERUM_RESPONSE_TRANSLATION	-0.325	-0.790	0.278	0.609	0.278	0.609	-0.790	-0.325	-0.790	-0.790	3.049
GO_REGULATION_OF_STEROID_BIOSYNTHETIC_PROCESS GO_REGULATION_OF_STEROID_BIOSYNTHETIC_PROCESS	0.239	-0.373	-0.373	-0.373	-0.373	0.239	0.239	-0.373	-0.373	-0.373	4.461
LEE_CALORIE_RESTRICTION_MUSCLE_UP LEE_CALORIE_RESTRICTION_MUSCLE_UP	-0.373	0.239	-0.373	-0.373	0.239	-0.373	0.239	-0.373	-0.373	-0.373	4.461
GO_NEGATIVE_REGULATION_OF_LIPID_METABOLIC_PROCESS GO_NEGATIVE_REGULATION_OF_LIPID_METABOLIC_PROCESS	0.166	-0.498	0.166	-0.498	-0.498	0.524	0.524	-0.498	-0.498	-0.498	3.522
