GO	[-1.86 -0.20]	[-0.20 -0.14]	[-0.14 -0.10]	[-0.10 -0.07]	[-0.07 -0.04]	[-0.04 -0.01]	[-0.01 0.02]	[0.02 0.05]	[0.05 0.10]	[0.10 0.17]	[0.17 0.62]
GSE9006_TYPE_1_VS_TYPE_2_DIABETES_PBMC_AT_DX_DN GSE9006_TYPE_1_VS_TYPE_2_DIABETES_PBMC_AT_DX_DN	0.522	0.977	0.977	-0.255	-2.398	-0.255	-3.365	-0.255	0.730	1.583	-0.868
FIGUEROA_AML_METHYLATION_CLUSTER_3_UP FIGUEROA_AML_METHYLATION_CLUSTER_3_UP	1.036	-1.124	0.645	-0.552	-1.124	-1.124	-0.552	-1.124	1.512	1.512	0.649
PID_P53_DOWNSTREAM_PATHWAY PID_P53_DOWNSTREAM_PATHWAY	2.940	-0.222	-0.222	-0.493	-1.040	0.397	-0.493	-1.040	2.265	-1.040	-0.490
PID_E2F_PATHWAY PID_E2F_PATHWAY	0.823	1.288	-0.435	-0.957	2.489	-0.435	-0.435	-0.957	0.823	-0.957	-0.952
GSE11924_TH2_VS_TH17_CD4_TCELL_DN GSE11924_TH2_VS_TH17_CD4_TCELL_DN	-0.761	-1.236	-0.761	1.190	0.351	-0.256	-2.006	1.582	1.190	-1.236	1.198
MORF_CTBP1 MORF_CTBP1	0.312	-0.290	-3.493	0.312	-0.446	-1.328	1.160	-0.660	1.160	-0.290	2.193
GO_GASTRULATION GO_GASTRULATION	-0.873	-0.873	-0.873	0.527	1.442	-0.379	-0.873	0.235	-0.873	1.442	1.449
GSE11924_TH1_VS_TH17_CD4_TCELL_DN GSE11924_TH1_VS_TH17_CD4_TCELL_DN	1.047	0.718	1.881	0.718	-1.795	-0.628	-0.628	0.453	-1.795	-1.065	0.457
IKEDA_MIR1_TARGETS_UP IKEDA_MIR1_TARGETS_UP	-0.915	1.362	-0.407	-0.915	0.875	-0.915	0.875	0.875	-0.915	-0.915	0.880
GSE33292_WT_VS_TCF1_KO_DN3_THYMOCYTE_UP GSE33292_WT_VS_TCF1_KO_DN3_THYMOCYTE_UP	3.645	-0.603	0.477	-0.603	-0.603	-0.337	1.090	-0.603	-1.031	0.752	-1.746
GSE22140_HEALTHY_VS_ARTHRITIC_MOUSE_CD4_TCELL_UP GSE22140_HEALTHY_VS_ARTHRITIC_MOUSE_CD4_TCELL_UP	0.585	-0.898	-1.585	0.338	-1.585	-0.898	-0.503	0.585	0.338	1.736	1.746
REACTOME_DOWNSTREAM_SIGNAL_TRANSDUCTION REACTOME_DOWNSTREAM_SIGNAL_TRANSDUCTION	1.459	-0.432	0.403	-0.432	3.118	-1.459	-0.801	0.403	-1.459	-0.432	-0.217
REACTOME_SIGNALING_BY_PDGF REACTOME_SIGNALING_BY_PDGF	1.459	-0.432	0.403	-0.432	3.118	-1.459	-0.801	0.403	-1.459	-0.432	-0.217
CAMP_UP.V1_UP CAMP_UP.V1_UP	-1.340	-0.516	-0.844	-0.844	-0.844	2.811	0.754	0.499	-0.844	2.302	-0.512
GSE27241_CTRL_VS_DIGOXIN_TREATED_CD4_TCELL_IN_TH17_POLARIZING_CONDITIONS_DN GSE27241_CTRL_VS_DIGOXIN_TREATED_CD4_TCELL_IN_TH17_POLARIZING_CONDITIONS_DN	1.248	-1.291	0.509	-1.291	-0.342	0.263	1.248	-1.291	-0.674	-0.342	1.741
GSE8384_CTRL_VS_B_ABORTUS_4H_MAC_CELL_LINE_UP GSE8384_CTRL_VS_B_ABORTUS_4H_MAC_CELL_LINE_UP	0.818	-0.474	0.547	-2.048	-0.788	-0.271	-0.788	-0.474	0.818	-0.788	3.569
GSE24574_NAIVE_VS_TCONV_CD4_TCELL_DN GSE24574_NAIVE_VS_TCONV_CD4_TCELL_DN	0.606	0.405	-0.869	-1.877	-0.361	-0.571	0.606	-0.571	-1.877	2.271	1.868
HALLMARK_APICAL_JUNCTION HALLMARK_APICAL_JUNCTION	0.477	0.752	-1.031	1.090	-1.031	-1.753	-1.753	1.490	0.477	0.477	0.271
GSE35825_UNTREATED_VS_IFNA_STIM_MACROPHAGE_UP GSE35825_UNTREATED_VS_IFNA_STIM_MACROPHAGE_UP	-0.931	1.234	0.319	-0.284	-1.627	-0.527	0.556	1.671	-0.527	-1.627	1.242
GSE34205_HEALTHY_VS_FLU_INF_INFANT_PBMC_DN GSE34205_HEALTHY_VS_FLU_INF_INFANT_PBMC_DN	0.540	0.540	-0.643	-1.249	0.540	-1.249	1.809	-0.643	1.308	-1.249	0.284
RUIZ_TNC_TARGETS_DN RUIZ_TNC_TARGETS_DN	1.136	-1.375	0.453	0.756	2.110	-1.375	-0.737	-0.386	0.756	-0.737	-0.733
GSE46606_IRF4MID_VS_WT_CD40L_IL2_IL5_DAY3_STIMULATED_BCELL_DN GSE46606_IRF4MID_VS_WT_CD40L_IL2_IL5_DAY3_STIMULATED_BCELL_DN	0.225	-1.880	0.964	0.225	-1.133	0.656	-1.133	-0.394	-0.394	0.225	3.354
CTCTGGA_MIR520A_MIR525 CTCTGGA_MIR520A_MIR525	-0.271	0.547	0.547	0.333	0.547	2.445	-2.048	0.333	-0.271	-0.788	-2.040
GSE41176_WT_VS_TAK1_KO_ANTI_IGM_STIM_BCELL_3H_DN GSE41176_WT_VS_TAK1_KO_ANTI_IGM_STIM_BCELL_3H_DN	-0.413	0.627	0.389	0.925	-0.413	-0.228	-0.413	-1.922	2.677	-1.922	-0.226
