GO	[-5.03 -0.98]	[-0.98 -0.42]	[-0.42 -0.08]	[-0.08 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.08]	[0.08 0.42]	[0.42 0.95]	[0.95 4.42]
MIR4270 MIR4270	-0.259	-0.259	0.347	-1.122	0.347	-1.122	-1.122	-1.122	-0.259	1.515	3.353
MIR374A_3P MIR374A_3P	-0.266	1.740	-0.896	-0.896	-0.501	-1.582	1.291	1.740	-0.896	-0.896	0.880
MIR384 MIR384	-1.247	-0.320	-0.320	-0.320	-1.247	1.813	-1.247	0.542	2.386	-0.320	0.274
YBX3_TARGET_GENES YBX3_TARGET_GENES	1.038	-1.122	-0.550	0.347	0.347	-0.259	0.647	2.703	-0.550	-1.122	-1.141
MIR374C_3P MIR374C_3P	-0.830	0.996	0.568	-0.830	0.256	0.568	-0.830	2.164	-0.830	-0.830	0.249
GCAAGGA_MIR502 GCAAGGA_MIR502	-0.705	1.212	-0.705	2.559	-0.272	0.708	-0.705	-0.705	-0.272	-0.705	0.324
MIR1912_5P MIR1912_5P	-0.298	-0.746	0.304	0.657	-0.746	2.417	-0.746	0.304	-0.746	1.134	-0.759
MIR4667_3P MIR4667_3P	-0.955	0.458	0.458	2.494	-0.434	-0.955	0.458	0.199	-0.955	-0.955	0.806
TMTCGCGANR_UNKNOWN TMTCGCGANR_UNKNOWN	-1.763	-0.509	1.620	-0.509	1.263	-1.763	-0.509	-0.314	-0.509	2.020	0.442
MIR6727_3P MIR6727_3P	-0.462	-0.462	0.427	-0.996	-0.462	0.776	-0.996	-0.996	0.427	0.427	3.031
MIR4735_5P MIR4735_5P	-0.382	0.233	-0.983	-2.339	0.399	0.233	1.206	0.617	0.399	-1.512	1.939
MIR1261 MIR1261	-0.247	1.951	-0.663	1.951	-0.663	-0.663	-0.663	-0.663	-0.247	0.363	0.354
CAGNYGKNAAA_UNKNOWN CAGNYGKNAAA_UNKNOWN	-0.580	0.895	2.224	-0.580	-0.580	-0.580	-0.580	0.895	-0.580	-0.199	0.426
