GO	[-8.57 -0.88]	[-0.88 -0.27]	[-0.27 -0.04]	[-0.04 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.04]	[0.04 0.31]	[0.31 0.84]	[0.84 8.92]
GO:0006413 translational initiation	-4.741	-0.622	66.694	-0.622	-5.927	-5.927	-5.927	-1.051	0.370	-4.741	-4.739
GO:0005681 spliceosomal complex	-6.135	-0.391	36.878	0.568	-6.135	-6.135	-6.135	-0.283	3.075	-2.221	-4.035
GO:0006260 DNA replication	-3.854	3.407	27.725	-0.954	-6.799	-4.617	-6.799	-2.677	7.222	-1.822	-4.615
GO:0000775 chromosome, centromeric region	-6.093	-1.425	15.569	-0.680	-6.093	-4.896	-6.093	-0.514	21.640	-0.514	-4.894
GO:0008168 methyltransferase activity	-2.402	3.429	25.310	-2.849	-4.647	-7.754	-6.458	-2.849	7.490	-1.128	-1.673
GO:0042254 ribosome biogenesis	-4.143	0.524	34.917	-1.004	-4.143	-4.143	-4.143	-1.352	3.215	-3.101	-4.142
GO:0016874 ligase activity	-4.581	1.401	17.651	-0.735	-6.757	-6.757	-5.518	-1.463	5.433	0.983	-0.936
GO:0006457 protein folding	-4.025	0.327	17.544	-1.296	-7.006	-4.800	-4.025	-0.827	8.873	1.053	-2.348
GO:0000086 G2/M transition of mitotic cell cycle	-4.356	-0.352	11.883	-2.270	-4.356	-5.512	-5.512	-1.122	13.926	0.819	-0.863
GO:0005085 guanyl-nucleotide exchange factor activity	-1.545	1.631	7.924	-2.680	-6.222	-7.505	-7.505	-1.023	9.459	1.404	0.420
GO:0006888 ER to Golgi vesicle-mediated transport	-4.544	-1.441	4.249	-0.554	-5.479	-5.479	-4.544	-0.419	19.252	0.821	0.396
GO:0006486 protein glycosylation	-0.394	3.442	2.186	-0.293	-7.089	-5.830	-7.089	-2.404	13.312	0.834	-1.335
GO:0046777 protein autophosphorylation	-3.001	1.554	4.738	-0.569	-7.256	-5.987	-5.987	-0.730	12.276	-0.569	1.332
GO:0070126 mitochondrial translational termination	-3.563	1.051	20.753	0.806	-3.563	-3.563	-3.563	-0.710	0.806	-0.710	-3.561
GO:0006368 transcription elongation from RNA polymerase II promoter	-2.193	0.301	10.569	-1.224	-3.936	-3.936	-2.914	-0.640	13.589	-1.647	-2.192
GO:0043488 regulation of mRNA stability	-4.433	0.291	17.206	0.576	-4.433	-3.364	-3.364	-0.451	5.058	-2.005	-1.536
GO:0006914 autophagy	-3.185	0.804	6.809	-2.189	-6.757	-4.581	-4.581	-0.937	10.522	1.895	0.285
GO:0031966 mitochondrial membrane	-1.726	0.776	15.842	-0.489	-4.819	-4.819	-4.819	-0.651	6.178	-0.849	-1.379
GO:0008022 protein C-terminus binding	-1.361	-0.558	10.104	-0.712	-3.923	-5.427	-6.419	-1.110	11.207	0.912	-0.711
GO:0004721 phosphoprotein phosphatase activity	-3.382	0.301	3.340	0.301	-5.012	-5.012	-3.382	-0.936	13.806	0.410	0.540
GO:0001666 response to hypoxia	-3.030	1.307	2.901	-1.754	-6.026	-3.599	-3.599	-1.754	7.317	1.528	3.228
GO:0016829 lyase activity	-1.150	1.564	7.980	-2.720	-3.316	-6.135	-2.221	-2.720	4.209	2.412	-0.283
GO:0035579 specific granule membrane	-3.729	-0.790	1.198	-0.377	-2.728	-3.729	-3.729	-2.028	7.161	0.714	6.553
GO:0000786 nucleosome	-4.060	16.342	4.247	-1.301	-1.735	-0.960	-1.735	-1.735	-0.336	-1.735	-0.490
GO:0000151 ubiquitin ligase complex	-1.914	1.901	5.291	1.307	-2.495	-3.251	-3.251	-1.095	6.937	-0.584	-4.307
GO:0035578 azurophil granule lumen	-3.729	-0.790	1.810	-0.790	-3.729	-3.729	-1.503	-1.100	9.127	0.363	3.856
GO:0008234 cysteine-type peptidase activity	-2.333	0.284	7.136	-1.231	-2.333	-4.181	-3.449	-0.319	8.718	1.014	-1.229
