GO	[-5.47 -0.83]	[-0.83 -0.26]	[-0.26 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.21]	[0.21 0.74]	[0.74 6.80]
BILANGES_SERUM_AND_RAPAMYCIN_SENSITIVE_GENES BILANGES_SERUM_AND_RAPAMYCIN_SENSITIVE_GENES	1.136	4.050	0.756	0.453	0.230	-1.375	-0.737	-0.737	-1.375	-0.386	-1.369
MORF_NPM1 MORF_NPM1	3.227	1.319	1.319	1.319	-1.443	-1.965	-1.044	-0.340	-0.340	-1.044	-1.432
chr20q11 chr20q11	0.457	-0.435	-0.435	-0.957	-0.957	0.823	-0.957	4.895	-0.435	0.457	-0.952
MORF_ACTG1 MORF_ACTG1	2.048	1.662	1.662	1.008	-0.972	-2.024	-1.411	-0.264	-0.264	-0.972	-1.402
NIKOLSKY_BREAST_CANCER_8Q23_Q24_AMPLICON NIKOLSKY_BREAST_CANCER_8Q23_Q24_AMPLICON	-0.552	0.645	-1.124	4.170	1.036	-0.260	-1.124	-0.552	0.346	-0.552	-1.119
GSE8621_LPS_PRIMED_UNSTIM_VS_LPS_PRIMED_AND_LPS_STIM_MACROPHAGE_UP GSE8621_LPS_PRIMED_UNSTIM_VS_LPS_PRIMED_AND_LPS_STIM_MACROPHAGE_UP	-1.166	-1.166	2.587	-0.582	-1.166	0.982	0.323	0.982	-1.166	0.608	-0.278
GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_18H_UP GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_18H_UP	-2.471	0.345	-0.697	3.238	-0.697	1.428	0.542	-0.697	-0.697	-1.074	0.796
MORF_NME2 MORF_NME2	1.287	1.673	1.673	0.951	-0.929	-1.445	-2.260	-0.350	0.257	-0.582	-0.922
CCCNNNNNNAAGWT_UNKNOWN CCCNNNNNNAAGWT_UNKNOWN	-0.280	-1.166	-0.582	-0.582	-1.166	0.982	-0.582	1.976	-1.166	1.976	0.612
GSE40274_FOXP3_VS_FOXP3_AND_SATB1_TRANSDUCED_ACTIVATED_CD4_TCELL_DN GSE40274_FOXP3_VS_FOXP3_AND_SATB1_TRANSDUCED_ACTIVATED_CD4_TCELL_DN	-0.788	1.146	-0.788	0.333	-2.048	0.818	0.333	0.818	-2.048	-0.474	1.974
GSE6269_FLU_VS_STREP_PNEUMO_INF_PBMC_DN GSE6269_FLU_VS_STREP_PNEUMO_INF_PBMC_DN	1.372	1.891	1.891	-1.207	-0.613	-0.300	-0.300	0.302	-1.207	-1.207	-0.609
GAVIN_FOXP3_TARGETS_CLUSTER_P6 GAVIN_FOXP3_TARGETS_CLUSTER_P6	3.214	-0.435	0.823	-0.957	0.199	-0.957	-0.957	-0.435	0.457	-0.957	0.827
GSE16385_MONOCYTE_VS_12H_IFNG_TNF_TREATED_MACROPHAGE_UP GSE16385_MONOCYTE_VS_12H_IFNG_TNF_TREATED_MACROPHAGE_UP	0.686	-0.654	0.238	1.817	2.306	-1.837	-1.837	0.238	-0.654	0.238	-0.371
chr12p13 chr12p13	-0.581	-0.581	0.434	-0.581	-0.581	-0.581	0.893	-0.581	3.068	-0.581	0.897
MORF_EIF4A2 MORF_EIF4A2	2.757	1.940	0.522	0.730	-1.243	-1.733	-0.400	0.522	-1.243	-0.876	-0.868
MORF_TPT1 MORF_TPT1	1.673	2.584	0.951	0.951	-0.929	-1.445	-1.445	-0.582	-0.350	-0.582	-0.922
GO_NEGATIVE_REGULATION_OF_CHROMOSOME_ORGANIZATION GO_NEGATIVE_REGULATION_OF_CHROMOSOME_ORGANIZATION	0.253	1.047	-1.795	-1.795	0.718	-0.628	1.047	0.718	1.435	-0.628	-1.059
MODULE_43 MODULE_43	0.763	-0.248	-0.664	-0.664	-0.664	0.362	-0.664	1.295	-0.664	2.710	-0.662
