Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
tRNA wobble base modification (GO:0002097)	5/14	6.378393079000706E-8	3.2593588633693604E-5	0	0	69.71870604781998	1155.083106308892	CTU1;KTI12;ELP3;ELP4;ALKBH8
tRNA wobble uridine modification (GO:0002098)	5/14	6.378393079000706E-8	3.2593588633693604E-5	0	0	69.71870604781998	1155.083106308892	CTU1;KTI12;ELP3;ELP4;ALKBH8
histone H2A acetylation (GO:0043968)	5/16	1.37342340789204E-7	4.67879574288555E-5	0	0	57.03682393555811	901.226831081165	MEAF6;EP400;EPC1;BRD8;DMAP1
histone acetylation (GO:0016573)	7/71	1.8014334561912287E-6	4.6026624805685894E-4	0	0	13.86328125	183.36862079481165	MRGBP;MEAF6;PHF20;EP400;EPC1;BRD8;DMAP1
histone H4 acetylation (GO:0043967)	6/48	2.4704801968418725E-6	5.049661522344787E-4	0	0	18.011828935395815	232.5524888060774	MEAF6;PHF20;EP400;EPC1;BRD8;DMAP1
fatty-acyl-CoA biosynthetic process (GO:0046949)	5/30	4.086107368262683E-6	6.960002883940771E-4	0	0	25.078481012658226	311.1717305728873	SLC25A1;ELOVL1;ACLY;HSD17B12;ACACA
mRNA methylation (GO:0080009)	4/15	5.411388394654499E-6	7.900627056195569E-4	0	0	45.34248141795312	549.8684926632384	TRMT10C;METTL3;ZC3H13;CBLL1
mRNA processing (GO:0006397)	12/300	6.7328140779630505E-6	8.601169984597797E-4	0	0	5.394315673289183	64.23830185326983	PNN;ZRSR2;SF3B5;CDK7;SNRNP40;SNW1;CCNH;METTL3;ZCRB1;RPRD2;LSM5;SRSF11
mRNA splicing, via spliceosome (GO:0000398)	11/274	1.591414004792812E-5	0.0018071390143313932	0	0	5.386081648989394	59.507059524130774	PNN;ZRSR2;SF3B5;SNRNP40;SNW1;PRMT7;METTL3;GEMIN4;ZCRB1;LSM5;SRSF11
mRNA modification (GO:0016556)	4/22	2.773700521314117E-5	0.0028347219327830276	0	0	27.699510831586302	290.64385137467633	TRMT10C;METTL3;ZC3H13;CBLL1
RNA methylation (GO:0001510)	5/60	1.2860163130635823E-4	0.011948260654099829	0	0	11.38204833141542	101.9693928487406	TRMT10C;METTL3;ZC3H13;CBLL1;ALKBH8
transcription elongation from RNA polymerase II promoter (GO:0006368)	5/67	2.1722163216958765E-4	0.01722961239057903	0	0	10.09340547162107	85.1337608715099	CDK7;ELL;CCNH;ELP2;ELP4
