,max pipeline,iAnalyzeR
CADM4,-0.0731707471528674,0.372716610598241
ACADS,-0.0870332049492842,0.354772375484738
ROCK2,0.0235672812444233,-0.566861873444416
ZNF485,0.0781743319504691,-2.4575014389967205
DVL3,-0.124186155158379,-1.48855828918633
DRGX,0.011864985182,1.11058890004446
LGALSL,0.0781018911774807,0.460871363288489
TBC1D20,-0.0435576164888883,-2.9881746125590896
PRDX2,-0.106042949006152,0.70950658327873
RNF25,0.191804892470763,-0.9914963363216021
FOXC2,0.0517412309979835,2.23685767965284
PPP2R4,-0.0922772759027002,-1.00401810879922
SP3,0.0867008147997215,-0.7113937370167931
TSFM,0.200032975423164,-1.77225956002543
P2RY1,-0.0780030844626363,0.17271943416783098
LY6H,-0.0992925736484348,-0.459732887813122
FBXO43,0.0843526505113726,-1.07570188905275
CHMP3,-0.0710258435840456,-2.2540320703752403
DLX3,0.0762807468425231,-0.14681765985828502
NFKBIZ,-0.187654622198714,-1.2487163323593
USP26,-0.0393695962571801,1.71899630860983
RBP7,-0.157938753166648,-0.49903304434656004
KCTD19,-0.0881569600168369,-2.24070598405499
PHF7,0.136003250078337,0.420217287519597
GPATCH3,-0.0699041733432202,-1.0849745866581
PQLC2,0.190297550429412,-0.557394738876174
SMS,-0.195164805570708,-1.39384271895622
C7orf43,-0.0697718676757828,-0.530108697324438
SLC7A10,0.0982203525711842,-3.15128792608645
C15orf57,0.0249448790764308,0.0844197804168731
MST1R,0.0110326737047474,-2.9781353751645603
UBFD1,0.0576922078427162,2.0667771743739
EIF4G2,-0.469313133985341,-1.26480793806297
MYH15,0.161446443708991,-2.82687095443673
C6orf47,0.0517115094204943,0.22574352509273202
ARHGAP42,0.0553314369347494,-1.3615407634691
C2,-0.0197310385281522,-1.2625114929893602
C17orf85,-0.137293044526016,2.2632007859472703
GABRE,-0.0474703111220963,-0.357019684128117
ETV6,-0.206517918947573,0.967310450117673
MED26,0.0304841778250977,0.39255206146447397
FPR1,0.2159151024213,-1.42497673203512
SOX17,0.053636650103265,-0.367454437244024
COQ10B,-0.0933138201370671,-1.41627865945848
TSG101,-0.143198852144955,-0.9770433052622428
FKBP1B,-0.122477307840741,-1.39473973344085
KRT85,-0.0249020557539467,-3.04723796229645
KIR3DL1,-0.0610535026630383,-0.11669545283679301
NECAP1,0.0616392123259348,-0.8926787767091461
KIAA0232,-0.035107029662278,-2.11507119804559
PCDHB15,0.0851480933476899,-1.81559341665519
SKIDA1,-0.0983249198566338,-1.2891785912494098
SCYL2,0.0361794361202678,-1.4686010225221597
SPATA9,0.0756042425275342,-1.97263598501315
MECOM,0.0329293983937611,-1.6720888196686101
CDC42,-0.0225797643360864,0.43793018993277505
USHBP1,-0.030176326430532,-0.10611024404696198
NIM1,0.0689042556085801,-1.1098836485736399
ABCG4,0.0224931779993908,0.0949973632379692
ZDHHC19,0.108033218413152,-0.0928195254033015
CCR7,-0.0724107951758048,-0.277288673294561
MEIS3,0.0899246480354786,1.31752987903087
MOGAT2,0.0883704530535851,0.31788820923051303
PPARG,-0.227314485375077,-1.95665223515483
AP3D1,0.0731231433823303,-1.8113669784858302
OTUD7A,-0.0719787171595858,0.0484263606570908
GCH1,0.0255942058428097,-1.01909554415944
DIDO1,0.0464033735068868,-1.30315099549075
MYL6,-0.0585337318636131,0.36488519771932
CSRNP1,0.0465240058440607,-2.77306061232368
IGF2BP1,0.00984594342197214,0.5707082332603871
KIF26B,-0.0372436230137631,-0.10611024404696198
GSDMC,-0.0393433169786376,-2.0546988729093
CLUAP1,0.0572054845990704,-1.66852880000385
ARL13B,-0.0190708812640236,-1.824243208691
HDHD2,0.0114200710391631,-2.05955554185122
HSPA4,-0.110718845878314,0.266037309016592
LRRC58,0.146706578383519,-2.02847988887334
RFC2,-0.0442160664008638,-0.973230722461796
TDRD7,-0.0357150121829223,1.99208836235479
ATL2,0.076244435514868,-2.1280105139584
CCDC84,-0.106821055916979,-1.95633010311751
HOXC4,0.0887756573791959,-1.52646700354898
VEGFC,0.0196409996410558,-0.10611024404696301
HIST4H4,0.0392673979489267,-1.65671636972611
ABCB4,0.0141293640099386,-0.9084731218182559
SOX3,0.127548948034348,-0.25252783573048104
OR5M1,0.0400233980924516,-1.00216496425935
OR5C1,0.314059068368491,-1.2758592880215902
SNX2,-0.169974195709029,0.783752405943265
CMYA5,-0.0929793350158335,-3.4010918349367203
ACPL2,-0.204233918593231,-1.02436087790552
GYG1,-0.0279041780075477,-1.1340198958873702
FANCD2,0.101362478115204,-3.8872314561575
STAG3,0.0997333263851546,-0.5154033478000389
TNNI2,-0.0271923122955361,-0.824135330266383
ANPEP,-0.0923029886545666,0.9553085215512159
SEMA4D,0.082303189378845,0.751044131341535
TNFRSF13C,-0.0466062839361618,-2.32841707089854
PWWP2B,0.11016059055112,1.67763101954613
C2orf70,0.0635908171677693,-2.30226895543634
SLK,-0.0490439485177733,-1.49606911372234
TPST2,0.171499716472404,-2.46891882484579
ARHGAP33,0.0714795166253049,-1.8498138396961998
THSD1,0.085589692736726,-1.51479708298826
UBE2A,-0.101178956517185,-0.49939451037805394
PHLDB3,-0.17973884229158,0.26237255303614004
EMC7,-0.0727383281526553,2.46830863713978
ING4,0.0705790568152068,-0.0404879774078368
FOXN4,-0.126196543390496,-1.64523757710504
MTDH,-0.0594447572124113,1.37395445427355
ZNF614,-0.0079385028820308,0.7542182417685609
DDX31,-0.0234981911385833,-0.852593602367155
GDNF-AS1,0.0773113318799371,-2.8053570158262002
ACVR1B,0.0407650813864362,-3.98555496040745
B3GNTL1,-0.221617382490751,-2.15709737450816
TRANK1,0.0652477162426328,-0.943602429683409
HUS1,0.197346813639758,-1.99231574799611
STARD5,0.188726971439464,-0.8020206002882729
GAPDHS,0.113925073099198,0.7582736047826322
SLC17A6,-0.0359890402075844,-1.9748704291436499
OR8D1,-0.241952322596445,-0.564895638690973
MAP6D1,-0.272313191547937,-0.744846733302725
