gene_name	rho score	Mann-Whitney p-value
A1BG	-0.18442053486406326	0.06526244353437187
A1CF	-0.011055598650452239	0.8503491353441952
A2M	-0.07340646865205917	0.5475048236337106
A2ML1	0.28482248314532255	0.015452704007544145
A3GALT2	-0.013003082112070699	0.9743244483777902
A4GALT	0.20595181012389627	0.2623786672588809
A4GNT	-0.02392623455032362	0.8910643964293594
AAAS	0.07394453267674339	0.44835892582614845
AACS	-9.531660202906818e-05	0.7331065120034903
AADAC	0.02863521536451097	0.5101369508137771
AADACL2	-0.08662996861365269	0.4646285850369588
AADACL3	-0.1525317090450675	0.16375741926265996
AADACL4	-0.06808397873828886	0.38630492825855167
AADAT	0.09942964487742878	0.1803262443436051
AAED1	-0.07439717395078506	0.3314063278354583
AAGAB	0.06020949995629201	0.4142591015763798
AAK1	-0.0638678035414198	0.33977191943126317
AAMDC	0.11416653457709741	0.41039609602492455
AAMP	-0.09316620498942703	0.9021886024234926
AANAT	0.046458189062569155	0.513231174263622
AAR2	0.06768637822673591	0.79122520444796
AARD	-0.1636278334624671	0.4865291782048825
AARS		
AARS2	0.16412736633640881	0.2574339690975487
AARSD1	0.10069630172687292	0.28125110996000935
AASDH	-0.12777944335603342	0.1860210916719346
AASDHPPT	-0.039859183461748354	0.9365367387766746
AASS	0.24410822320193948	0.20699963806762223
AATF	0.16598676004551183	0.2801717503929314
AATK	0.0722094855083336	0.29659659998717725
ABAT	0.0938629267815936	0.49908260769334567
ABCA1	-0.04939970192491407	0.8283010268622755
ABCA10	-0.0012411919335195236	0.9365367387766746
ABCA12	0.040324080006301694	0.734409983967963
ABCA13	-0.0072853577975648025	0.5861785534522232
ABCA2	-0.11409989395878013	0.1828726911074623
ABCA3	0.026685512860050647	0.8181884013900262
ABCA4	0.05390765792506652	0.8939697752637745
ABCA5	0.01838541901090013	0.7978119925323499
ABCA6	-0.17448443303208935	0.20175349038169854
ABCA7	0.16888842818729535	0.04895887827739474
ABCA8	0.17711159549184405	0.05724404289977552
ABCA9	-0.02092654200993661	0.9008180453580779
ABCB1	0.03631869114283051	0.2878726363547075
ABCB10	0.11790475202309902	0.11573114587071584
ABCB11	0.023547140122859255	0.933095534914479
ABCB4	0.04549278951256711	0.4144198225563316
ABCB5	0.056956692879545086	0.3887235187018029
ABCB6	-0.047912403127695326	0.36669168456124424
ABCB7	-0.23723887542173278	0.11345111024041982
ABCB8	-0.08647159388263015	0.10744620321545005
ABCB9	-0.1064730631119082	0.26348573397615305
ABCC1	-0.17900905697858793	0.02595660731075218
ABCC10	0.20644986512578903	0.06326796223980082
ABCC11	-0.10312597087321031	0.286798486276022
ABCC12	0.05455008855549107	0.6340673997914213
ABCC2	-0.2017046795703997	0.21257824494930644
ABCC3	0.03616991698573919	0.8468841435306035
ABCC4	-0.11383600900809798	0.31249230164977515
ABCC5	0.17150063620515807	0.039998355148770384
ABCC6	0.11657571894943508	0.14006213805085302
ABCC8	-0.04521085397798701	0.615769640256278
ABCC9	0.13860069713737744	0.09433555250940623
ABCD1	-0.20214848892077816	0.0033561112133465056
ABCD2	0.10554468213777235	0.21875844354631224
ABCD3	0.14361919671824583	0.4725464060823503
ABCD4	-0.006623853852340845	0.773854431218173
ABCE1	0.08247756177522009	0.12590169453307204
ABCF1	0.05691032755761508	0.38725459396126805
ABCF2	-0.069867415509002	0.6677236263526224
ABCF3	0.0017181074859910841	0.9675532377913432
ABCG1	-0.007905824419025057	0.8979539710792258
ABCG2	-0.05401163432685486	0.3783505001947267
ABCG4	0.003615157570715597	0.9296242897843816
ABCG5	0.057591261090092875	0.3445813493113913
ABCG8	-0.000565040527476246	0.8428939317186658
ABHD1	0.007941604120048138	0.986880197720704
ABHD10	-0.07427247761359787	0.5331924635361208
ABHD11	0.08451063465641713	0.4060564176275002
ABHD12	0.08638357345495247	0.5068072544682244
ABHD12B	-0.01110854790438786	0.8612168171407313
ABHD13	0.1516001341805064	0.293801813571574
