GO	[-6.06 -0.65]	[-0.65 -0.15]	[-0.15 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.33]	[0.33 0.97]	[0.97 4.64]
MIR4782_5P MIR4782_5P	-0.896	0.587	-0.501	-0.896	0.905	0.905	4.119	-0.501	-0.896	-0.501	-1.609
CATRRAGC_UNKNOWN CATRRAGC_UNKNOWN	-0.406	-0.406	1.365	-0.913	-0.913	-0.913	0.217	0.877	3.370	-0.913	-0.416
MIR5706 MIR5706	-0.863	0.360	-0.477	-0.863	0.947	0.947	4.248	-0.477	-0.863	-0.477	-1.566
PRDM5_TARGET_GENES PRDM5_TARGET_GENES	-0.913	-0.406	-0.913	1.947	0.217	1.947	-0.406	1.365	-0.406	-0.913	-0.929
MIR216B_3P MIR216B_3P	-1.540	-0.863	-0.249	0.947	-1.540	-0.477	2.333	-0.863	1.345	0.617	-0.259
MIR3613_5P MIR3613_5P	-0.955	-0.955	1.291	0.199	-0.955	0.199	0.458	3.219	-0.434	-0.955	0.193
ATACTGT_MIR144 ATACTGT_MIR144	-2.932	-1.407	1.319	0.343	-0.422	-0.968	0.523	0.343	-0.262	1.667	0.717
YRTCANNRCGC_UNKNOWN YRTCANNRCGC_UNKNOWN	0.217	1.947	-0.406	0.877	-0.913	1.365	-0.913	-0.913	0.492	-0.406	-0.929
GGCNNMSMYNTTG_UNKNOWN GGCNNMSMYNTTG_UNKNOWN	0.347	-0.550	0.647	-0.550	-1.122	-0.259	0.347	-1.122	2.071	1.515	-1.141
MIR647 MIR647	0.647	-1.122	-1.122	-1.122	1.515	-0.550	-0.550	0.647	-0.550	1.038	1.015
MIR6131 MIR6131	-0.462	-0.996	-0.462	-0.462	-0.996	4.703	-0.203	-0.203	-0.203	0.427	-0.210
MIR3189_5P MIR3189_5P	-0.663	-0.663	2.714	1.298	-0.663	-0.663	-0.663	-0.247	0.363	-0.247	0.354
