GO	[-1.00 -0.98]	[-0.98 -0.88]	[-0.88 -0.77]	[-0.77 -0.63]	[-0.63 -0.47]	[-0.47 -0.17]	[-0.17 0.39]	[0.39 0.71]	[0.71 0.94]	[0.94 1.00]	[1.00 1.00]
HOXC13_TARGET_GENES HOXC13_TARGET_GENES	1.686	1.686	1.686	-0.628	-0.628	-1.968	-0.252	-2.869	1.031	-1.968	0.362
MIR4273 MIR4273	-0.669	-0.669	-1.037	1.849	0.564	-1.575	1.114	-2.410	-0.417	0.362	2.299
MIR6719_3P MIR6719_3P	-0.822	0.381	2.398	-1.648	0.381	-0.560	-2.296	0.773	-1.648	0.773	1.658
CAGCCTC_MIR4855P CAGCCTC_MIR4855P	-0.844	1.281	-0.383	-0.383	0.366	-3.286	-0.844	-1.202	0.996	0.749	2.363
MIR505_3P MIR505_3P	0.519	0.519	0.756	-0.453	-2.493	-2.493	1.040	0.519	1.743	-0.716	-0.447
MIR3925_3P MIR3925_3P	2.525	0.432	-1.148	0.300	-1.148	-0.852	-1.987	-0.439	-0.852	1.004	2.548
MIR562 MIR562	0.359	2.882	-0.477	-1.535	-0.862	-0.862	-0.250	0.359	-1.535	0.940	0.948
MIR4318 MIR4318	0.238	0.238	1.419	-1.305	1.419	0.818	-0.587	-2.785	0.581	0.581	-1.295
MIR222_5P MIR222_5P	0.665	-0.370	-0.524	0.665	-0.723	-0.370	-2.173	0.665	-2.173	0.665	3.016
ATGTCAC_MIR489 ATGTCAC_MIR489	1.801	0.684	-1.827	-1.092	0.239	-1.092	-0.373	-0.373	-0.651	0.684	1.814
MIR323A_5P MIR323A_5P	-0.351	-0.829	0.566	-0.829	0.256	-0.829	-0.351	2.150	0.256	-0.829	1.530
