[AATGGAG_MIR136,AATGGAG_MIR136] was killed by [MIR505_3P,MIR505_3P]
[MIR3064_3P,MIR3064_3P] was killed by [MIR3925_3P,MIR3925_3P]
[MIR1236_3P,MIR1236_3P] was killed by [MIR4273,MIR4273]
[MIR936,MIR936] was killed by [MIR562,MIR562]
[AR_03,AR_03] was killed by [ATGTCAC_MIR489,ATGTCAC_MIR489]
[YRTCANNRCGC_UNKNOWN,YRTCANNRCGC_UNKNOWN] was killed by [MIR6719_3P,MIR6719_3P]
[MIR513C_5P,MIR513C_5P] was killed by [MIR3925_3P,MIR3925_3P]
[MIR4662A_3P,MIR4662A_3P] was killed by [MIR4318,MIR4318]
[MIR183_3P,MIR183_3P] was killed by [MIR6719_3P,MIR6719_3P]
[MIR514B_5P,MIR514B_5P] was killed by [MIR3925_3P,MIR3925_3P]
[MIR4693_5P,MIR4693_5P] was killed by [MIR4318,MIR4318]
[MIR4288,MIR4288] was killed by [ATGTCAC_MIR489,ATGTCAC_MIR489]
[MIR6765_3P,MIR6765_3P] was killed by [MIR4318,MIR4318]
[MIR379_5P,MIR379_5P] was killed by [CAGCCTC_MIR4855P,CAGCCTC_MIR4855P]
[MIR6824_5P,MIR6824_5P] was killed by [MIR4273,MIR4273]
[MIR501_5P,MIR501_5P] was killed by [MIR4273,MIR4273]
[MIR7156_5P,MIR7156_5P] was killed by [MIR4273,MIR4273]
[MXD1_TARGET_GENES,MXD1_TARGET_GENES] was killed by [MIR222_5P,MIR222_5P]
