[GTCTTCC_MIR7,GTCTTCC_MIR7] was killed by [MIR6861_5P,MIR6861_5P]
[MIR3064_3P,MIR3064_3P] was killed by [MIR6730_3P,MIR6730_3P]
[MIR4666B,MIR4666B] was killed by [MIR6730_3P,MIR6730_3P]
[MIR3617_3P,MIR3617_3P] was killed by [MIR4777_5P,MIR4777_5P]
[HIVEP1_TARGET_GENES,HIVEP1_TARGET_GENES] was killed by [MIR671_5P,MIR671_5P]
[MIR3945,MIR3945] was killed by [MIR4777_5P,MIR4777_5P]
[MIR6073,MIR6073] was killed by [FOXD3_01,FOXD3_01]
[MIR335_5P,MIR335_5P] was killed by [MIR4691_3P,MIR4691_3P]
[MIR892B,MIR892B] was killed by [MIR4777_5P,MIR4777_5P]
[MIR6501_3P,MIR6501_3P] was killed by [MIR4777_5P,MIR4777_5P]
[GGTAACC_MIR4095P,GGTAACC_MIR4095P] was killed by [MIR4691_3P,MIR4691_3P]
[MIR1202,MIR1202] was killed by [MIR4691_3P,MIR4691_3P]
[MIR5583_3P,MIR5583_3P] was killed by [MIR4691_3P,MIR4691_3P]
