GO	[-4.56 -0.39]	[-0.39 -0.12]	[-0.12 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.02]	[0.02 0.30]	[0.30 7.02]
MIR4738_3P MIR4738_3P	-0.234	-2.382	-1.012	-0.399	0.854	5.250	-1.548	0.381	-0.399	-0.234	-0.246
WELCSH_BRCA1_TARGETS_UP WELCSH_BRCA1_TARGETS_UP	1.810	0.586	0.586	-0.588	-2.805	-1.313	1.441	-0.588	-1.313	1.810	-0.611
GSE3720_LPS_VS_PMA_STIM_VD1_GAMMADELTA_TCELL_DN GSE3720_LPS_VS_PMA_STIM_VD1_GAMMADELTA_TCELL_DN	-0.501	-1.582	-0.266	-0.266	0.905	4.120	-0.896	-0.896	0.587	0.587	-1.609
GSE11057_CD4_CENT_MEM_VS_PBMC_UP GSE11057_CD4_CENT_MEM_VS_PBMC_UP	0.684	-1.456	-0.218	0.684	0.684	0.684	1.955	-1.456	0.404	-1.456	-1.481
GSE3920_IFNA_VS_IFNG_TREATED_FIBROBLAST_UP GSE3920_IFNA_VS_IFNG_TREATED_FIBROBLAST_UP	-0.929	-1.624	-0.526	0.320	-0.929	-0.283	-1.624	3.335	0.864	0.320	1.207
GSE32901_TH1_VS_TH17_ENRICHED_CD4_TCELL_DN GSE32901_TH1_VS_TH17_ENRICHED_CD4_TCELL_DN	-0.351	0.996	-0.351	-0.830	-0.351	-0.830	-0.830	-0.830	0.568	-0.351	4.546
GSE5542_IFNA_VS_IFNA_AND_IFNG_TREATED_EPITHELIAL_CELLS_6H_UP GSE5542_IFNA_VS_IFNA_AND_IFNG_TREATED_EPITHELIAL_CELLS_6H_UP	-1.302	3.464	0.318	1.481	0.525	-2.086	-0.813	0.525	-0.493	-0.813	-0.511
GSE16450_IMMATURE_VS_MATURE_NEURON_CELL_LINE_UP GSE16450_IMMATURE_VS_MATURE_NEURON_CELL_LINE_UP	-1.232	-0.759	-1.232	-0.452	1.194	-0.255	1.586	3.657	-1.232	-0.255	-0.781
GSE15930_NAIVE_VS_48H_IN_VITRO_STIM_CD8_TCELL_UP GSE15930_NAIVE_VS_48H_IN_VITRO_STIM_CD8_TCELL_UP	0.217	-0.913	-0.913	-0.913	-0.913	2.617	-0.406	0.877	0.877	-0.913	0.858
ACAWNRNSRCGG_UNKNOWN ACAWNRNSRCGG_UNKNOWN	-1.080	0.687	-0.521	2.168	-0.521	-1.080	2.821	-0.240	-0.240	-0.521	-1.098
GSE22601_IMMATURE_CD4_SINGLE_POSITIVE_VS_CD4_SINGLE_POSITIVE_THYMOCYTE_DN GSE22601_IMMATURE_CD4_SINGLE_POSITIVE_VS_CD4_SINGLE_POSITIVE_THYMOCYTE_DN	-1.331	-0.363	-1.331	-0.363	0.798	1.663	-0.704	-0.363	-0.363	3.472	-0.721
