GO	[-1.86 -0.20]	[-0.20 -0.14]	[-0.14 -0.10]	[-0.10 -0.07]	[-0.07 -0.04]	[-0.04 -0.01]	[-0.01 0.02]	[0.02 0.05]	[0.05 0.10]	[0.10 0.17]	[0.17 0.62]
PID_P53_DOWNSTREAM_PATHWAY PID_P53_DOWNSTREAM_PATHWAY	2.943	0.398	-0.492	-0.492	-1.039	0.398	-0.492	-1.039	2.267	-1.039	-0.495
FIGUEROA_AML_METHYLATION_CLUSTER_3_UP FIGUEROA_AML_METHYLATION_CLUSTER_3_UP	1.441	-1.165	0.324	-0.280	-1.165	-1.165	-0.581	-1.165	1.441	1.441	0.604
REACTOME_ER_TO_GOLGI_ANTEROGRADE_TRANSPORT REACTOME_ER_TO_GOLGI_ANTEROGRADE_TRANSPORT	-0.551	-1.668	-0.551	-0.301	-0.963	1.610	-0.963	1.186	0.301	2.633	-0.556
GARGALOVIC_RESPONSE_TO_OXIDIZED_PHOSPHOLIPIDS_BLUE_UP GARGALOVIC_RESPONSE_TO_OXIDIZED_PHOSPHOLIPIDS_BLUE_UP	1.589	-1.081	-1.081	1.589	1.094	-0.241	-1.081	-0.241	-0.241	0.371	-1.086
REACTOME_TRANSPORT_TO_THE_GOLGI_AND_SUBSEQUENT_MODIFICATION REACTOME_TRANSPORT_TO_THE_GOLGI_AND_SUBSEQUENT_MODIFICATION	-0.680	-1.878	-0.680	-0.393	-0.680	1.757	-0.680	1.333	0.225	2.234	-0.397
SASSON_RESPONSE_TO_GONADOTROPHINS_UP SASSON_RESPONSE_TO_GONADOTROPHINS_UP	-0.872	0.933	-0.872	-0.872	0.527	-0.872	0.235	0.933	-0.872	0.527	1.436
BEGUM_TARGETS_OF_PAX3_FOXO1_FUSION_UP BEGUM_TARGETS_OF_PAX3_FOXO1_FUSION_UP	0.211	-0.414	4.089	-0.414	-0.414	-0.414	0.641	0.211	-0.414	-0.414	-0.416
REACTOME_G1_S_SPECIFIC_TRANSCRIPTION REACTOME_G1_S_SPECIFIC_TRANSCRIPTION	0.187	0.579	-0.456	-0.456	2.760	-0.456	1.150	-0.456	-0.456	-0.456	-0.458
FAELT_B_CLL_WITH_VH_REARRANGEMENTS_UP FAELT_B_CLL_WITH_VH_REARRANGEMENTS_UP	0.969	0.969	-0.539	2.381	-0.539	-0.176	-0.539	-0.176	-0.539	-0.539	-0.541
NAGASHIMA_NRG1_SIGNALING_DN NAGASHIMA_NRG1_SIGNALING_DN	-0.456	-0.456	0.579	3.781	-0.456	-0.456	0.187	0.187	-0.456	-0.456	0.186
HOLLEMAN_ASPARAGINASE_RESISTANCE_ALL_UP HOLLEMAN_ASPARAGINASE_RESISTANCE_ALL_UP	-0.249	-0.249	-0.249	-0.249	-0.249	-0.249	0.361	-0.249	-0.249	-0.249	4.471
LEE_CALORIE_RESTRICTION_MUSCLE_UP LEE_CALORIE_RESTRICTION_MUSCLE_UP	-0.290	0.312	-0.290	-0.290	0.312	-0.290	-0.290	-0.290	-0.290	-0.290	3.960
