GO	[-5.47 -0.81]	[-0.81 -0.26]	[-0.26 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.20]	[0.20 0.73]	[0.73 6.80]
BILANGES_SERUM_AND_RAPAMYCIN_SENSITIVE_GENES BILANGES_SERUM_AND_RAPAMYCIN_SENSITIVE_GENES	0.990	4.380	0.649	0.381	0.381	-1.499	-0.832	-0.832	-0.832	-0.454	-1.512
NIKOLSKY_BREAST_CANCER_8Q23_Q24_AMPLICON NIKOLSKY_BREAST_CANCER_8Q23_Q24_AMPLICON	-1.039	0.729	-1.039	4.515	1.155	-0.492	-0.492	-0.492	-0.222	-0.492	-1.048
GAVIN_FOXP3_TARGETS_CLUSTER_P6 GAVIN_FOXP3_TARGETS_CLUSTER_P6	3.076	-0.463	1.220	-0.997	-0.204	-0.997	-0.997	-0.463	0.427	-0.997	0.766
REACTOME_INTERLEUKIN_1_FAMILY_SIGNALING REACTOME_INTERLEUKIN_1_FAMILY_SIGNALING	-0.800	-0.800	-0.800	2.507	-0.431	0.683	0.683	0.683	-1.457	1.037	-1.470
BROWN_MYELOID_CELL_DEVELOPMENT_DN BROWN_MYELOID_CELL_DEVELOPMENT_DN	-0.478	-1.541	-0.250	1.807	0.359	-0.250	2.914	0.359	-0.478	-0.864	-1.554
WATANABE_RECTAL_CANCER_RADIOTHERAPY_RESPONSIVE_UP WATANABE_RECTAL_CANCER_RADIOTHERAPY_RESPONSIVE_UP	3.121	-0.431	-0.218	-0.431	-0.800	-1.457	0.683	-1.457	-0.431	1.462	-0.223
REACTOME_FOXO_MEDIATED_TRANSCRIPTION_OF_OXIDATIVE_STRESS_METABOLIC_AND_NEURONAL_GENES REACTOME_FOXO_MEDIATED_TRANSCRIPTION_OF_OXIDATIVE_STRESS_METABOLIC_AND_NEURONAL_GENES	-0.331	0.796	-0.331	-0.331	-0.331	-0.331	-0.331	-0.331	-0.331	4.896	-0.334
REACTOME_SEMAPHORIN_INTERACTIONS REACTOME_SEMAPHORIN_INTERACTIONS	-0.747	-0.747	-0.298	-0.747	0.657	0.657	-0.747	3.206	-0.298	0.304	-0.302
ODONNELL_METASTASIS_UP ODONNELL_METASTASIS_UP	2.990	1.260	-0.414	-0.414	0.211	-0.414	-0.414	0.211	-0.414	-0.414	-0.418
REACTOME_DEPOSITION_OF_NEW_CENPA_CONTAINING_NUCLEOSOMES_AT_THE_CENTROMERE REACTOME_DEPOSITION_OF_NEW_CENPA_CONTAINING_NUCLEOSOMES_AT_THE_CENTROMERE	-0.373	-0.373	-0.373	0.239	3.258	0.239	-0.373	-0.373	0.713	-0.373	-0.376
