sample	mean	sd	phase	cumulative_mean
dmso	0.9	0.08	sub_g1	0.9
dmso	57.53	1.14	g1	58.43
dmso	24.72	0.44	s	83.15
dmso	16.85	1.14	g2	100
dac_50	3.43	0.18	sub_g1	3.43
dac_50	58.26	0.93	g1	61.69
dac_50	20.35	0.5	s	82.04
dac_50	17.96	0.32	g2	100
dac_100	5.77	0.27	sub_g1	5.77
dac_100	57.69	1.73	g1	63.46
dac_100	18.05	0.88	s	81.51
dac_100	18.5	1.02	g2	100.01
dac_200	9.68	0.6	sub_g1	9.68
dac_200	56.71	2.09	g1	66.39
dac_200	16.14	0.44	s	82.53
dac_200	17.48	1.06	g2	100.01
dmso_rg	5.57	0.61	sub_g1	5.57
dmso_rg	54.75	1.32	g1	60.32
dmso_rg	21.2	0.64	s	81.52
dmso_rg	18.49	1.23	g2	100.01
dac_50_rg	11.99	1.22	sub_g1	11.99
dac_50_rg	60.52	1.73	g1	72.51
dac_50_rg	12.83	0.51	s	85.34
dac_50_rg	14.66	0.6	g2	100
dac_100_rg	16.03	1.81	sub_g1	16.03
dac_100_rg	59.1	1.64	g1	75.13
dac_100_rg	11.12	0.26	s	86.25
dac_100_rg	13.75	0.6	g2	100
dac_200_rg	25.01	1.83	sub_g1	25.01
dac_200_rg	53.67	2.49	g1	78.68
dac_200_rg	10.35	0.52	s	89.03
dac_200_rg	10.97	1.16	g2	100
