Plate,Experiment,Group,Filename,Sample,Workspace,Compensation Source,Plot Title,Gate,X Parameter,Y Parameter,Count,Volume,Concentration,%Total,%Gated,X Mean,Y Mean,X Median,Y Median,X Peak,Y Peak,X SD,Y SD,X %CV,Y %CV,X rSD,Y rSD,X %rCV,Y %rCV
190430 D5 DEC RG3039 FxCycle,Experiment,Group,Sample(1).fcs,1a 25 ul min,Experiment,None,N/A,All Events,N/A,N/A,79103,100,791.030,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
190430 D5 DEC RG3039 FxCycle,Experiment,Group,Sample(1).fcs,1a 25 ul min,Experiment,None,,R4,FSC-A,SSC-A,68895,100,688.950,87.095,87.095,286765,332291,275038,313009,244729,273406,71190.96,120172.83,24.83,36.16,53979.98,105242.36,19.63,33.62
190430 D5 DEC RG3039 FxCycle,Experiment,Group,Sample(1).fcs,1a 25 ul min,Experiment,None,,R5,SSC-A,SSC-H,60812,100,608.120,76.877,88.268,317160,244106,305747,238217,291854,211966,93949.40,62623.12,29.62,25.65,92637.29,61897.07,30.30,25.98
190430 D5 DEC RG3039 FxCycle,Experiment,Group,Sample(1).fcs,1a 25 ul min,Experiment,None,,R4,SSC-A,SSC-H,68895,100,688.950,87.095,87.095,332291,246077,313009,239839,273406,211966,120172.83,71069.13,36.16,28.88,105242.36,66103.20,33.62,27.56
190430 D5 DEC RG3039 FxCycle,Experiment,Group,Sample(1).fcs,1a 25 ul min,Experiment,None,,R1,VL1-H,,60335,100,603.350,76.274,99.216,23478,N/A,20019,N/A,19037,N/A,6129.00,N/A,26.11,N/A,2689.44,N/A,13.43,N/A
190430 D5 DEC RG3039 FxCycle,Experiment,Group,Sample(1).fcs,1a 25 ul min,Experiment,None,,R5,VL1-H,,60812,100,608.120,76.877,76.877,23395,N/A,19986,N/A,19037,N/A,6433.11,N/A,27.50,N/A,2682.02,N/A,13.42,N/A
190430 D5 DEC RG3039 FxCycle,Experiment,Group,Sample(1).fcs,1a 25 ul min,Experiment,None,,R2,VL1-H,,519,100,5.190,0.656,0.860,12176,N/A,12253,N/A,11330,N/A,3003.35,N/A,24.67,N/A,3712.43,N/A,30.30,N/A
190430 D5 DEC RG3039 FxCycle,Experiment,Group,Sample(1).fcs,1a 25 ul min,Experiment,None,,R3,VL1-H,,35051,100,350.510,44.311,58.094,18980,N/A,18911,N/A,19037,N/A,1274.11,N/A,6.71,N/A,719.06,N/A,3.80,N/A
190430 D5 DEC RG3039 FxCycle,Experiment,Group,Sample(1).fcs,1a 25 ul min,Experiment,None,,R6,VL1-H,,50351,100,503.510,63.652,83.452,21323,N/A,19371,N/A,19037,N/A,4049.12,N/A,18.99,N/A,1535.97,N/A,7.93,N/A
190430 D5 DEC RG3039 FxCycle,Experiment,Group,Sample(1).fcs,1a 25 ul min,Experiment,None,,R7,VL1-H,,60335,100,603.350,76.274,100.000,23478,N/A,20019,N/A,19037,N/A,6129.00,N/A,26.11,N/A,2689.44,N/A,13.43,N/A
190430 D5 DEC RG3039 FxCycle,Experiment,Group,Sample(1).fcs,1a 25 ul min,Experiment,None,,R1,VL1-H,,60335,100,603.350,76.274,76.274,23478,N/A,20019,N/A,19037,N/A,6129.00,N/A,26.11,N/A,2689.44,N/A,13.43,N/A
190430 D5 DEC RG3039 FxCycle,Experiment,Group,Sample.fcs,1a 100 ul min,Experiment,None,N/A,All Events,N/A,N/A,103501,100,1035.010,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
