GO	[-4.65 -0.84]	[-0.84 -0.28]	[-0.28 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.20]	[0.20 0.74]	[0.74 5.95]
GSE17812_WT_VS_THPOK_KO_MEMORY_CD8_TCELL_DN GSE17812_WT_VS_THPOK_KO_MEMORY_CD8_TCELL_DN	1.125	1.125	0.821	-0.247	0.363	-0.247	-2.427	-0.418	1.476	-2.427	-1.051
GSE17721_POLYIC_VS_GARDIQUIMOD_6H_BMDC_DN GSE17721_POLYIC_VS_GARDIQUIMOD_6H_BMDC_DN	-0.473	-1.133	-1.133	2.588	0.734	-2.554	1.015	1.015	-0.744	-0.473	0.495
GSE40274_CTRL_VS_FOXP3_AND_PBX1_TRANSDUCED_ACTIVATED_CD4_TCELL_DN GSE40274_CTRL_VS_FOXP3_AND_PBX1_TRANSDUCED_ACTIVATED_CD4_TCELL_DN	-0.342	-0.342	-0.342	0.840	0.840	-0.674	2.910	0.840	-1.290	-1.290	-1.296
GSE19888_ADENOSINE_A3R_INH_VS_INH_PRETREAT_AND_ACT_WITH_TCELL_MEMBRANES_MAST_CELL_UP GSE19888_ADENOSINE_A3R_INH_VS_INH_PRETREAT_AND_ACT_WITH_TCELL_MEMBRANES_MAST_CELL_UP	0.757	0.453	-1.374	-1.374	3.347	-0.386	-0.386	0.230	-1.374	0.757	-0.389
GSE33425_CD8_ALPHAALPHA_VS_ALPHABETA_CD161_HIGH_TCELL_UP GSE33425_CD8_ALPHAALPHA_VS_ALPHABETA_CD161_HIGH_TCELL_UP	-2.343	0.884	1.572	0.232	-0.626	0.884	-1.515	0.232	0.232	-1.515	1.561
GSE7548_NAIVE_VS_DAY7_PCC_IMMUNIZATION_CD4_TCELL_DN GSE7548_NAIVE_VS_DAY7_PCC_IMMUNIZATION_CD4_TCELL_DN	-0.516	-2.131	-1.339	-0.843	0.500	0.500	2.305	2.305	-0.516	-0.516	0.298
GSE17721_CTRL_VS_PAM3CSK4_24H_BMDC_UP GSE17721_CTRL_VS_PAM3CSK4_24H_BMDC_UP	1.757	0.410	0.965	-1.878	-0.680	0.410	0.225	-1.132	-1.878	0.225	1.324
GSE2770_TGFB_AND_IL4_ACT_VS_ACT_CD4_TCELL_48H_UP GSE2770_TGFB_AND_IL4_ACT_VS_ACT_CD4_TCELL_48H_UP	-1.444	0.258	0.436	0.436	-0.928	0.258	0.953	2.587	-0.928	0.668	-2.268
GSE34156_TLR1_TLR2_LIGAND_VS_NOD2_AND_TLR1_TLR2_LIGAND_6H_TREATED_MONOCYTE_UP GSE34156_TLR1_TLR2_LIGAND_VS_NOD2_AND_TLR1_TLR2_LIGAND_6H_TREATED_MONOCYTE_UP	-0.250	-0.250	-0.478	0.359	0.616	-1.542	-0.478	-0.865	1.806	-1.542	2.319
GSE12198_CTRL_VS_LOW_IL2_STIM_NK_CELL_DN GSE12198_CTRL_VS_LOW_IL2_STIM_NK_CELL_DN	-1.584	-0.502	2.816	0.903	-0.266	-0.266	-0.266	0.903	-0.897	0.339	-1.591
GSE339_CD4POS_VS_CD4CD8DN_DC_IN_CULTURE_UP GSE339_CD4POS_VS_CD4CD8DN_DC_IN_CULTURE_UP	0.389	-1.920	0.389	-1.920	2.163	0.389	-1.166	-0.413	0.628	0.389	0.622
GSE6269_HEALTHY_VS_FLU_INF_PBMC_DN GSE6269_HEALTHY_VS_FLU_INF_PBMC_DN	0.510	1.249	-0.674	0.264	-0.674	-1.290	-1.290	2.910	-0.342	-0.674	0.506
GSE21670_UNTREATED_VS_TGFB_IL6_TREATED_CD4_TCELL_DN GSE21670_UNTREATED_VS_TGFB_IL6_TREATED_CD4_TCELL_DN	3.649	0.477	-0.602	-0.602	0.477	1.092	-1.030	-0.336	-1.752	-0.336	-0.606
GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_18H_UP GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_18H_UP	-2.512	0.521	-1.658	0.330	-0.274	0.521	2.190	0.521	-0.274	-1.103	0.755
GSE28726_ACT_CD4_TCELL_VS_ACT_NKTCELL_DN GSE28726_ACT_CD4_TCELL_VS_ACT_NKTCELL_DN	-1.073	-0.260	-2.470	0.346	2.727	-0.696	-0.436	0.346	-0.696	0.791	1.078
GSE24142_ADULT_VS_FETAL_EARLY_THYMIC_PROGENITOR_UP GSE24142_ADULT_VS_FETAL_EARLY_THYMIC_PROGENITOR_UP	-1.542	-0.478	-0.478	1.343	0.359	-0.250	-1.542	-0.250	0.359	2.913	-0.482
GSE12198_LOW_IL2_STIM_NK_CELL_VS_HIGH_IL2_STIM_NK_CELL_UP GSE12198_LOW_IL2_STIM_NK_CELL_VS_HIGH_IL2_STIM_NK_CELL_UP	3.086	-0.473	-0.287	1.015	0.500	-0.287	-1.133	-1.694	0.500	-1.694	0.312
GSE5679_RARA_AGONIST_AM580_VS_AM580_AND_ROSIGLITAZONE_TREATED_DC_UP GSE5679_RARA_AGONIST_AM580_VS_AM580_AND_ROSIGLITAZONE_TREATED_DC_UP	-1.165	-0.582	0.324	-0.582	0.608	-1.165	-0.582	2.589	-0.582	0.983	0.604
GSE10325_BCELL_VS_LUPUS_BCELL_UP GSE10325_BCELL_VS_LUPUS_BCELL_UP	1.949	0.362	-0.247	-0.664	1.949	-0.664	-0.664	-0.664	-0.247	-0.664	0.360
