GO	[-4.65 -0.85]	[-0.85 -0.28]	[-0.28 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.21]	[0.21 0.72]	[0.72 5.95]
MORF_ACTG1 MORF_ACTG1	1.854	2.251	1.494	-2.167	0.890	-1.533	-0.313	-0.737	0.289	-1.074	-1.573
MIR548U MIR548U	4.198	-1.792	-0.354	-0.354	0.721	-0.626	-0.626	0.721	-1.792	0.455	-0.367
WP_THERMOGENESIS WP_THERMOGENESIS	-0.454	1.880	-1.498	0.381	0.650	1.880	-1.498	-1.498	0.650	-0.233	-0.851
GSE14308_TH17_VS_NATURAL_TREG_DN GSE14308_TH17_VS_NATURAL_TREG_DN	-0.514	0.302	-0.841	-2.129	-0.300	2.818	0.302	1.068	-2.129	0.757	0.289
GSE42021_TREG_PLN_VS_TREG_PRECURSORS_THYMUS_DN GSE42021_TREG_PLN_VS_TREG_PRECURSORS_THYMUS_DN	-0.320	0.283	1.312	-1.247	-0.641	-1.247	0.283	-0.320	-1.247	0.283	3.673
GSE19888_ADENOSINE_A3R_INH_VS_INH_PRETREAT_AND_ACT_WITH_TCELL_MEMBRANES_MAST_CELL_UP GSE19888_ADENOSINE_A3R_INH_VS_INH_PRETREAT_AND_ACT_WITH_TCELL_MEMBRANES_MAST_CELL_UP	0.758	0.454	-1.372	-1.372	3.350	-0.735	-0.385	0.454	-1.372	0.454	0.222
GSE7568_CTRL_VS_24H_TGFB_TREATED_MACROPHAGES_WITH_IL4_AND_DEXAMETHASONE_UP GSE7568_CTRL_VS_24H_TGFB_TREATED_MACROPHAGES_WITH_IL4_AND_DEXAMETHASONE_UP	-0.493	-0.493	1.481	0.525	-0.813	-0.285	-0.813	1.905	-1.302	1.905	-2.122
HP_DOWNTURNED_CORNERS_OF_MOUTH HP_DOWNTURNED_CORNERS_OF_MOUTH	-0.799	-0.799	-1.456	2.509	0.404	-0.430	-0.430	-1.456	1.955	-0.218	0.664
WOOD_EBV_EBNA1_TARGETS_UP WOOD_EBV_EBNA1_TARGETS_UP	-1.205	-0.299	-1.205	-1.205	0.574	-0.299	-1.205	1.376	0.934	0.934	0.911
ALCALAY_AML_BY_NPM1_LOCALIZATION_DN ALCALAY_AML_BY_NPM1_LOCALIZATION_DN	0.302	1.612	-0.300	0.826	-0.550	-1.666	-1.666	1.612	-0.962	0.826	-0.567
HP_RELATIVE_MACROCEPHALY HP_RELATIVE_MACROCEPHALY	0.776	0.427	0.427	-0.996	0.427	-0.203	-0.996	-0.996	-0.996	3.078	-0.474
GSE17812_WT_VS_THPOK_KO_MEMORY_CD8_TCELL_DN GSE17812_WT_VS_THPOK_KO_MEMORY_CD8_TCELL_DN	1.127	1.127	0.568	0.364	-0.417	-0.246	-1.583	-0.417	1.876	-2.424	-1.070
GSE41176_WT_VS_TAK1_KO_ANTI_IGM_STIM_BCELL_1H_UP GSE41176_WT_VS_TAK1_KO_ANTI_IGM_STIM_BCELL_1H_UP	-1.582	-0.896	-0.266	-0.501	0.340	1.740	0.340	-0.501	3.443	-0.896	-0.517
HP_OPTIC_NERVE_HYPOPLASIA HP_OPTIC_NERVE_HYPOPLASIA	-0.223	1.392	-0.622	-0.622	2.081	-0.622	-0.622	-0.622	-0.622	-0.223	1.369
GSE7460_CTRL_VS_TGFB_TREATED_ACT_TCONV_UP GSE7460_CTRL_VS_TGFB_TREATED_ACT_TCONV_UP	0.618	0.360	-0.477	-1.540	-0.863	-1.540	-0.249	-0.863	0.947	1.345	1.769
MIR4540 MIR4540	0.236	-0.871	0.934	0.528	2.052	0.236	-0.871	-0.871	-0.871	0.934	-0.886
AKT_UP_MTOR_DN.V1_UP AKT_UP_MTOR_DN.V1_UP	-0.830	-0.830	0.256	-0.830	0.256	-0.830	0.568	2.164	-0.830	1.531	0.249
MIR6505_3P MIR6505_3P	-0.581	0.324	0.610	1.443	-1.163	-1.163	-0.279	-0.279	2.592	-1.163	-0.288
GSE5589_LPS_VS_LPS_AND_IL10_STIM_MACROPHAGE_180MIN_UP GSE5589_LPS_VS_LPS_AND_IL10_STIM_MACROPHAGE_180MIN_UP	-0.363	0.482	-0.704	-1.331	-0.363	-0.363	-0.363	0.247	1.194	3.472	-1.353
GSE17721_CTRL_VS_LPS_8H_BMDC_UP GSE17721_CTRL_VS_LPS_8H_BMDC_UP	1.439	0.455	0.455	-1.792	-1.062	0.721	2.388	-0.626	-0.354	-1.062	-0.645
MORF_HEAB MORF_HEAB	-0.434	0.199	-0.955	-0.955	0.458	-0.955	1.291	2.494	0.458	-0.955	0.193
REACTOME_MAPK6_MAPK4_SIGNALING REACTOME_MAPK6_MAPK4_SIGNALING	-1.289	-0.672	0.264	-1.289	2.291	1.251	-0.672	0.264	-0.672	1.251	-0.352
BLALOCK_ALZHEIMERS_DISEASE_INCIPIENT_DN BLALOCK_ALZHEIMERS_DISEASE_INCIPIENT_DN	-0.490	-0.490	0.708	-0.490	-1.161	-2.593	1.668	2.076	-0.300	-0.490	0.682
GSE26488_CTRL_VS_PEPTIDE_INJECTION_HDAC7_DELTAP_TG_OT2_THYMOCYTE_DN GSE26488_CTRL_VS_PEPTIDE_INJECTION_HDAC7_DELTAP_TG_OT2_THYMOCYTE_DN	0.558	-0.283	-0.283	-1.624	0.558	-0.526	1.675	2.172	-0.526	-1.624	-0.542
REACTOME_SUMOYLATION_OF_CHROMATIN_ORGANIZATION_PROTEINS REACTOME_SUMOYLATION_OF_CHROMATIN_ORGANIZATION_PROTEINS	-0.454	-0.233	-0.454	-0.831	-0.831	-1.498	1.880	0.650	-0.454	3.018	-0.468
HALLMARK_INFLAMMATORY_RESPONSE HALLMARK_INFLAMMATORY_RESPONSE	-0.746	0.657	-0.746	-0.746	-0.298	0.304	-0.298	-0.298	0.304	4.094	-0.759
HP_MOTOR_NEURON_ATROPHY HP_MOTOR_NEURON_ATROPHY	-0.830	0.256	-0.830	-0.830	-0.351	-0.830	-0.351	0.996	1.531	2.164	-0.360
GSE36476_CTRL_VS_TSST_ACT_40H_MEMORY_CD4_TCELL_OLD_UP GSE36476_CTRL_VS_TSST_ACT_40H_MEMORY_CD4_TCELL_OLD_UP	-0.863	-0.249	-0.863	-1.540	1.809	-1.540	1.345	-0.249	0.360	0.618	0.599
chr15q13 chr15q13	-0.455	0.187	0.187	-0.455	-0.455	-0.455	-0.455	-0.455	0.187	4.950	0.183
MIR6882_3P MIR6882_3P	2.291	0.511	0.841	-0.341	-1.289	0.264	-1.289	-1.289	-0.341	-0.341	0.820
