GO	[-1.86 -0.20]	[-0.20 -0.14]	[-0.14 -0.10]	[-0.10 -0.07]	[-0.07 -0.04]	[-0.04 -0.01]	[-0.01 0.02]	[0.02 0.05]	[0.05 0.10]	[0.10 0.17]	[0.17 0.62]
GO_NUCLEAR_RECEPTOR_BINDING GO_NUCLEAR_RECEPTOR_BINDING	2.508	-0.800	-1.458	-0.431	-1.458	-0.431	-0.800	-0.218	1.462	-0.431	1.932
GO_NUCLEAR_HORMONE_RECEPTOR_BINDING GO_NUCLEAR_HORMONE_RECEPTOR_BINDING	2.602	-0.733	-1.199	-0.733	-0.733	-0.733	-1.199	-0.241	1.238	-0.432	2.573
GO_HISTONE_UBIQUITINATION GO_HISTONE_UBIQUITINATION	-0.324	-0.789	2.285	1.622	-0.324	1.061	-0.789	-0.789	-0.789	-0.789	0.275
GO_REGULATION_OF_ALCOHOL_BIOSYNTHETIC_PROCESS GO_REGULATION_OF_ALCOHOL_BIOSYNTHETIC_PROCESS	-0.747	-0.747	-0.298	-0.747	0.304	0.304	-0.298	-0.747	-0.298	0.304	5.040
GO_GASTRULATION GO_GASTRULATION	-1.039	-1.039	-1.039	1.155	0.729	-0.492	-0.222	-0.222	-1.039	1.671	1.143
GO_MITOCHONDRIAL_TRANSLATION GO_MITOCHONDRIAL_TRANSLATION	-0.204	-0.204	-0.997	-0.997	0.427	2.377	1.220	-0.997	0.775	-0.997	-0.469
GO_REPRESSING_TRANSCRIPTION_FACTOR_BINDING GO_REPRESSING_TRANSCRIPTION_FACTOR_BINDING	1.095	-0.521	0.371	-1.081	0.371	1.095	-1.081	-1.081	0.371	-1.081	1.574
GO_REGULATION_OF_LIPID_BIOSYNTHETIC_PROCESS GO_REGULATION_OF_LIPID_BIOSYNTHETIC_PROCESS	0.215	-1.416	0.215	-1.416	0.719	-0.408	-0.768	-0.408	0.428	0.215	3.889
GO_PROTEIN_PHOSPHATASE_2A_BINDING GO_PROTEIN_PHOSPHATASE_2A_BINDING	3.782	-0.456	-0.456	-0.456	0.187	-0.456	0.187	1.151	-0.456	-0.456	-0.460
GO_HORMONE_RECEPTOR_BINDING GO_HORMONE_RECEPTOR_BINDING	2.816	-0.842	-0.842	-0.842	-0.842	-0.515	-0.842	-0.301	1.066	-0.515	2.279
GO_HISTONE_MONOUBIQUITINATION GO_HISTONE_MONOUBIQUITINATION	-0.456	-0.456	1.882	2.761	0.187	0.187	-0.456	-0.456	-0.456	-0.456	-0.460
GO_PRI_MIRNA_TRANSCRIPTION_BY_RNA_POLYMERASE_II GO_PRI_MIRNA_TRANSCRIPTION_BY_RNA_POLYMERASE_II	0.187	-0.456	-0.456	-0.456	2.761	-0.456	-0.456	-0.456	0.187	-0.456	1.869
GO_STEROL_BIOSYNTHETIC_PROCESS GO_STEROL_BIOSYNTHETIC_PROCESS	-0.789	-0.789	-0.789	-0.324	0.610	-0.324	0.279	-0.789	-0.324	1.061	3.020
GO_REGULATION_OF_STEROID_METABOLIC_PROCESS GO_REGULATION_OF_STEROID_METABOLIC_PROCESS	0.216	-0.914	-0.914	-0.914	0.216	0.216	-0.406	-0.406	0.491	0.216	4.173
GO_REGULATION_OF_STEROID_BIOSYNTHETIC_PROCESS GO_REGULATION_OF_STEROID_BIOSYNTHETIC_PROCESS	-0.351	-0.830	-0.830	-0.830	0.256	0.256	-0.351	-0.351	0.256	0.256	4.573
GO_MIRNA_METABOLIC_PROCESS GO_MIRNA_METABOLIC_PROCESS	-0.539	-0.539	-0.539	1.609	0.970	0.970	-0.539	0.970	-0.539	-0.539	-0.544
GO_REGULATION_OF_CHOLESTEROL_BIOSYNTHETIC_PROCESS GO_REGULATION_OF_CHOLESTEROL_BIOSYNTHETIC_PROCESS	-0.581	-0.581	-0.581	-0.581	0.434	-0.199	-0.199	-0.581	-0.199	0.434	4.012
GO_PHOSPHATIDYLINOSITOL_3_KINASE_BINDING GO_PHOSPHATIDYLINOSITOL_3_KINASE_BINDING	2.237	-0.373	-0.373	-0.373	-0.373	-0.373	-0.373	-0.373	0.713	-0.373	1.376
GO_POSTSYNAPTIC_SPECIALIZATION_INTRACELLULAR_COMPONENT GO_POSTSYNAPTIC_SPECIALIZATION_INTRACELLULAR_COMPONENT	0.273	-0.331	-0.331	-0.331	-0.331	-0.331	-0.331	-0.331	2.460	-0.331	1.522
GO_COLLAGEN_METABOLIC_PROCESS GO_COLLAGEN_METABOLIC_PROCESS	-0.373	-0.373	0.713	0.239	3.259	-0.373	-0.373	-0.373	0.239	-0.373	-0.376
GO_POSITIVE_REGULATION_OF_PROTEIN_CONTAINING_COMPLEX_DISASSEMBLY GO_POSITIVE_REGULATION_OF_PROTEIN_CONTAINING_COMPLEX_DISASSEMBLY	0.796	-0.331	0.796	2.460	-0.331	-0.331	-0.331	-0.331	-0.331	-0.331	-0.334
