GO	[-20.08 -4.10]	[-4.10 -3.16]	[-3.16 -2.49]	[-2.49 -1.98]	[-1.98 -1.40]	[-1.40 -0.53]	[-0.53 1.05]	[1.05 1.91]	[1.91 2.77]	[2.77 4.07]	[4.07 20.81]
GSE27241_WT_VS_RORGT_KO_TH17_POLARIZED_CD4_TCELL_TREATED_WITH_DIGOXIN_UP GSE27241_WT_VS_RORGT_KO_TH17_POLARIZED_CD4_TCELL_TREATED_WITH_DIGOXIN_UP	3.546	1.331	-0.302	-0.981	1.331	-2.467	-3.742	-1.590	0.415	-0.302	0.901
HOSHIDA_LIVER_CANCER_SUBCLASS_S2 HOSHIDA_LIVER_CANCER_SUBCLASS_S2	6.377	0.764	-0.627	-0.627	-1.967	0.357	-1.366	1.339	-0.406	-1.967	-0.624
GSE2405_0H_VS_24H_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_UP GSE2405_0H_VS_24H_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_UP	-0.669	-2.039	-0.276	0.328	-1.427	0.968	4.914	1.262	-0.276	-0.669	-2.033
GSE17974_0.5H_VS_72H_IL4_AND_ANTI_IL12_ACT_CD4_TCELL_UP GSE17974_0.5H_VS_72H_IL4_AND_ANTI_IL12_ACT_CD4_TCELL_UP	1.464	1.030	-1.432	-0.302	-3.151	-0.710	-2.613	-0.710	1.030	1.237	2.277
GSE17721_0.5H_VS_24H_POLYIC_BMDC_UP GSE17721_0.5H_VS_24H_POLYIC_BMDC_UP	-0.462	0.426	-0.661	1.908	-0.921	-0.462	1.908	2.641	-0.313	-2.966	-2.230
GSE9988_ANTI_TREM1_AND_LPS_VS_VEHICLE_TREATED_MONOCYTES_DN GSE9988_ANTI_TREM1_AND_LPS_VS_VEHICLE_TREATED_MONOCYTES_DN	1.688	-1.944	3.240	0.501	0.501	-2.898	-1.944	-0.997	0.377	0.999	-0.326
PYEON_CANCER_HEAD_AND_NECK_VS_CERVICAL_UP PYEON_CANCER_HEAD_AND_NECK_VS_CERVICAL_UP	0.523	1.055	-0.787	0.523	4.674	-3.108	-1.301	-1.640	-0.596	0.391	0.528
chr19p12 chr19p12	1.185	-0.703	-0.703	-1.327	-1.327	-1.327	0.247	0.247	-0.363	0.794	4.158
GSE2405_S_AUREUS_VS_A_PHAGOCYTOPHILUM_NEUTROPHIL_UP GSE2405_S_AUREUS_VS_A_PHAGOCYTOPHILUM_NEUTROPHIL_UP	1.281	3.216	-1.201	0.367	-3.285	-0.578	-0.383	0.367	-1.679	0.749	0.369
GSE45365_WT_VS_IFNAR_KO_CD11B_DC_MCMV_INFECTION_UP GSE45365_WT_VS_IFNAR_KO_CD11B_DC_MCMV_INFECTION_UP	2.300	1.170	-0.763	1.170	-0.292	-3.312	-2.110	-1.305	0.310	-0.292	1.425
GSE15139_GMCSF_TREATED_VS_UNTREATED_NEUTROPHILS_DN GSE15139_GMCSF_TREATED_VS_UNTREATED_NEUTROPHILS_DN	1.995	0.464	-1.172	-0.265	-1.880	-1.493	-0.906	4.171	-0.514	0.980	-0.900
GSE3982_DC_VS_CENT_MEMORY_CD4_TCELL_DN GSE3982_DC_VS_CENT_MEMORY_CD4_TCELL_DN	2.754	-0.334	-1.600	0.270	-2.681	-0.912	-0.480	0.392	0.270	3.567	-0.665
GSE2770_TGFB_AND_IL4_VS_IL12_TREATED_ACT_CD4_TCELL_2H_DN GSE2770_TGFB_AND_IL4_VS_IL12_TREATED_ACT_CD4_TCELL_2H_DN	0.459	2.382	0.331	-0.273	-0.966	-0.729	-5.211	-0.273	0.790	0.994	-0.270
GOMF_EXONUCLEASE_ACTIVITY GOMF_EXONUCLEASE_ACTIVITY	-0.434	-2.451	1.077	0.346	-0.434	-1.066	-1.609	-0.692	1.077	3.188	0.544
MORF_PPP1CA MORF_PPP1CA	-1.647	-0.821	-0.821	0.242	0.774	3.772	-0.369	2.398	-0.369	-1.647	-0.817
MIR4641 MIR4641	0.680	-0.797	0.403	-1.452	3.749	-0.219	-1.452	-1.452	0.680	-0.219	-0.217
BROWNE_HCMV_INFECTION_30MIN_DN BROWNE_HCMV_INFECTION_30MIN_DN	2.357	-0.528	1.208	-0.330	-2.659	0.440	-0.812	-0.812	-1.787	1.208	0.655
MIR1260A_MIR1260B MIR1260A_MIR1260B	-0.359	4.228	-0.359	1.831	-0.861	-0.567	-0.567	-2.742	0.250	-0.359	-0.357
GSE40655_FOXO1_KO_VS_WT_NTREG_DN GSE40655_FOXO1_KO_VS_WT_NTREG_DN	-0.835	-0.835	0.673	0.673	-1.568	0.336	0.891	3.746	-1.568	-1.568	0.492
GSE18281_MEDULLARY_THYMOCYTE_VS_WHOLE_MEDULLA_THYMUS_UP GSE18281_MEDULLARY_THYMOCYTE_VS_WHOLE_MEDULLA_THYMUS_UP	-1.242	-0.346	1.400	-0.933	1.687	-0.494	-0.494	-3.498	0.380	2.001	0.383
BLANCO_MELO_HUMAN_PARAINFLUENZA_VIRUS_3_INFECTION_A594_CELLS_DN BLANCO_MELO_HUMAN_PARAINFLUENZA_VIRUS_3_INFECTION_A594_CELLS_DN	-0.222	-1.036	-0.491	-1.036	1.660	2.252	-0.491	1.660	-0.491	-0.491	-1.034
GAZDA_DIAMOND_BLACKFAN_ANEMIA_ERYTHROID_UP GAZDA_DIAMOND_BLACKFAN_ANEMIA_ERYTHROID_UP	-0.870	0.527	0.527	-0.378	-0.870	-0.870	2.038	0.235	2.038	-0.870	-0.868
DAVIES_MULTIPLE_MYELOMA_VS_MGUS_DN DAVIES_MULTIPLE_MYELOMA_VS_MGUS_DN	0.476	-0.539	-0.176	-0.539	-0.539	5.415	-0.539	-0.539	-0.539	-0.176	-0.176
GOCC_OXIDOREDUCTASE_COMPLEX GOCC_OXIDOREDUCTASE_COMPLEX	-0.283	-1.618	0.320	-0.926	0.858	-0.283	2.694	0.320	1.227	-1.618	-0.923
MIR6719_3P MIR6719_3P	1.027	1.643	-0.560	-1.174	-0.560	-0.560	-1.647	1.317	-2.295	0.381	1.650
GOMF_SIGNAL_SEQUENCE_BINDING GOMF_SIGNAL_SEQUENCE_BINDING	2.464	1.366	-1.203	-1.203	-0.300	-1.203	-0.610	0.928	0.572	-0.300	-0.608
CTCAAGA_MIR526B CTCAAGA_MIR526B	-0.959	-0.550	1.178	-1.660	-0.300	0.302	0.302	1.596	2.073	-1.660	-0.547
MIR7157_3P MIR7157_3P	0.270	3.567	0.723	-0.912	-1.218	-1.600	-2.078	0.270	-0.334	0.723	0.937
GSE39820_TGFBETA1_IL6_VS_TGFBETA1_IL6_IL23A_TREATED_CD4_TCELL_UP GSE39820_TGFBETA1_IL6_VS_TGFBETA1_IL6_IL23A_TREATED_CD4_TCELL_UP	2.259	0.301	0.564	-0.425	-2.139	-3.347	-0.425	0.301	0.420	1.655	-0.299
MIR4680_5P MIR4680_5P	0.546	-2.034	1.139	-0.783	-0.472	0.546	-0.271	-2.034	-0.472	1.942	0.818
