GO	[-20.08 -4.10]	[-4.10 -3.16]	[-3.16 -2.49]	[-2.49 -1.98]	[-1.98 -1.40]	[-1.40 -0.53]	[-0.53 1.05]	[1.05 1.91]	[1.91 2.77]	[2.77 4.07]	[4.07 20.81]
GSE27241_WT_VS_RORGT_KO_TH17_POLARIZED_CD4_TCELL_TREATED_WITH_DIGOXIN_UP GSE27241_WT_VS_RORGT_KO_TH17_POLARIZED_CD4_TCELL_TREATED_WITH_DIGOXIN_UP	3.546	1.331	-0.302	-0.981	1.331	-2.467	-3.742	-1.590	0.415	-0.302	0.901
HOSHIDA_LIVER_CANCER_SUBCLASS_S2 HOSHIDA_LIVER_CANCER_SUBCLASS_S2	6.377	0.764	-0.627	-0.627	-1.967	0.357	-1.366	1.339	-0.406	-1.967	-0.624
GSE45365_WT_VS_IFNAR_KO_CD11B_DC_MCMV_INFECTION_UP GSE45365_WT_VS_IFNAR_KO_CD11B_DC_MCMV_INFECTION_UP	2.300	1.170	-0.763	1.170	-0.292	-3.312	-2.110	-1.305	0.310	-0.292	1.425
GSE3982_DC_VS_CENT_MEMORY_CD4_TCELL_DN GSE3982_DC_VS_CENT_MEMORY_CD4_TCELL_DN	2.754	-0.334	-1.600	0.270	-2.681	-0.912	-0.480	0.392	0.270	3.567	-0.665
BROWNE_HCMV_INFECTION_30MIN_DN BROWNE_HCMV_INFECTION_30MIN_DN	2.357	-0.528	1.208	-0.330	-2.659	0.440	-0.812	-0.812	-1.787	1.208	0.655
GOMF_SIGNAL_SEQUENCE_BINDING GOMF_SIGNAL_SEQUENCE_BINDING	2.464	1.366	-1.203	-1.203	-0.300	-1.203	-0.610	0.928	0.572	-0.300	-0.608
GSE39820_TGFBETA1_IL6_VS_TGFBETA1_IL6_IL23A_TREATED_CD4_TCELL_UP GSE39820_TGFBETA1_IL6_VS_TGFBETA1_IL6_IL23A_TREATED_CD4_TCELL_UP	2.259	0.301	0.564	-0.425	-2.139	-3.347	-0.425	0.301	0.420	1.655	-0.299
HP_BIPARIETAL_NARROWING HP_BIPARIETAL_NARROWING	2.694	-0.525	-1.618	-0.926	0.320	0.320	0.858	-0.525	1.658	-0.926	-0.923
THAKAR_PBMC_INACTIVATED_INFLUENZA_AGE_21_30YO_NONRESPONDER_7DY_DN THAKAR_PBMC_INACTIVATED_INFLUENZA_AGE_21_30YO_NONRESPONDER_7DY_DN	2.647	-1.159	-0.228	-1.159	-0.412	-0.703	-0.703	-1.159	2.647	-0.228	0.628
GSE31082_DN_VS_DP_THYMOCYTE_DN GSE31082_DN_VS_DP_THYMOCYTE_DN	3.027	0.509	0.380	-1.039	-0.330	-1.039	-2.072	-1.039	-0.610	0.509	2.056
ATAACCT_MIR154 ATAACCT_MIR154	3.189	0.820	-0.550	-0.300	-0.959	-0.550	-1.660	-0.959	0.527	-0.300	0.824
