[CHIANG_LIVER_CANCER_SUBCLASS_UNANNOTATED_DN,CHIANG_LIVER_CANCER_SUBCLASS_UNANNOTATED_DN] was killed by [REACTOME_MITOCHONDRIAL_TRANSLATION,REACTOME_MITOCHONDRIAL_TRANSLATION]
[EGUCHI_CELL_CYCLE_RB1_TARGETS,EGUCHI_CELL_CYCLE_RB1_TARGETS] was killed by [BURTON_ADIPOGENESIS_3,BURTON_ADIPOGENESIS_3]
[PUJANA_XPRSS_INT_NETWORK,PUJANA_XPRSS_INT_NETWORK] was killed by [BURTON_ADIPOGENESIS_3,BURTON_ADIPOGENESIS_3]
[REACTOME_RNA_POLYMERASE_III_TRANSCRIPTION,REACTOME_RNA_POLYMERASE_III_TRANSCRIPTION] was killed by [REACTOME_MRNA_SPLICING,REACTOME_MRNA_SPLICING]
[REACTOME_S_PHASE,REACTOME_S_PHASE] was killed by [BURTON_ADIPOGENESIS_3,BURTON_ADIPOGENESIS_3]
[REACTOME_GLOBAL_GENOME_NUCLEOTIDE_EXCISION_REPAIR_GG_NER,REACTOME_GLOBAL_GENOME_NUCLEOTIDE_EXCISION_REPAIR_GG_NER] was killed by [REACTOME_HATS_ACETYLATE_HISTONES,REACTOME_HATS_ACETYLATE_HISTONES]
[SARRIO_EPITHELIAL_MESENCHYMAL_TRANSITION_UP,SARRIO_EPITHELIAL_MESENCHYMAL_TRANSITION_UP] was killed by [BURTON_ADIPOGENESIS_3,BURTON_ADIPOGENESIS_3]
[PUJANA_BRCA_CENTERED_NETWORK,PUJANA_BRCA_CENTERED_NETWORK] was killed by [BURTON_ADIPOGENESIS_3,BURTON_ADIPOGENESIS_3]
[LE_EGR2_TARGETS_UP,LE_EGR2_TARGETS_UP] was killed by [BURTON_ADIPOGENESIS_3,BURTON_ADIPOGENESIS_3]
[ODONNELL_TARGETS_OF_MYC_AND_TFRC_DN,ODONNELL_TARGETS_OF_MYC_AND_TFRC_DN] was killed by [BURTON_ADIPOGENESIS_3,BURTON_ADIPOGENESIS_3]
[CHEN_ETV5_TARGETS_TESTIS,CHEN_ETV5_TARGETS_TESTIS] was killed by [BURTON_ADIPOGENESIS_3,BURTON_ADIPOGENESIS_3]
[REACTOME_SEPARATION_OF_SISTER_CHROMATIDS,REACTOME_SEPARATION_OF_SISTER_CHROMATIDS] was killed by [BURTON_ADIPOGENESIS_3,BURTON_ADIPOGENESIS_3]
[KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS,KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS] was killed by [REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1,REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1]
[WU_APOPTOSIS_BY_CDKN1A_VIA_TP53,WU_APOPTOSIS_BY_CDKN1A_VIA_TP53] was killed by [BURTON_ADIPOGENESIS_3,BURTON_ADIPOGENESIS_3]
[HOFFMANN_LARGE_TO_SMALL_PRE_BII_LYMPHOCYTE_UP,HOFFMANN_LARGE_TO_SMALL_PRE_BII_LYMPHOCYTE_UP] was killed by [BURTON_ADIPOGENESIS_3,BURTON_ADIPOGENESIS_3]
[REACTOME_DNA_REPLICATION,REACTOME_DNA_REPLICATION] was killed by [BURTON_ADIPOGENESIS_3,BURTON_ADIPOGENESIS_3]
