GO	[-31.63 -1.02]	[-1.02 -0.52]	[-0.52 -0.15]	[-0.15 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.02]	[0.02 0.35]	[0.35 0.97]	[0.97 23.45]
GSE41087_WT_VS_FOXP3_MUT_ANTI_CD3_CD28_STIM_CD4_TCELL_DN GSE41087_WT_VS_FOXP3_MUT_ANTI_CD3_CD28_STIM_CD4_TCELL_DN	2.085	1.390	4.988	0.558	-8.302	-8.302	-8.302	-5.955	6.207	1.390	-0.349
GSE21774_CD62L_POS_CD56_DIM_VS_CD62L_NEG_CD56_DIM_NK_CELL_UP GSE21774_CD62L_POS_CD56_DIM_VS_CD62L_NEG_CD56_DIM_NK_CELL_UP	2.381	2.662	1.413	-0.342	-6.938	-5.917	-8.260	-5.917	2.115	3.269	1.871
GSE21678_WT_VS_FOXO1_FOXO3_KO_TREG_DN GSE21678_WT_VS_FOXO1_FOXO3_KO_TREG_DN	2.432	3.687	5.182	1.225	-6.543	-7.844	-5.544	-5.544	1.899	0.567	-0.592
MIR5009_3P MIR5009_3P	2.783	0.309	2.783	-1.338	-4.878	-3.442	-7.095	-4.097	5.819	2.477	0.537
HP_MULTICYSTIC_KIDNEY_DYSPLASIA HP_MULTICYSTIC_KIDNEY_DYSPLASIA	2.028	-0.334	4.432	0.270	-4.519	-3.442	-3.442	-4.519	5.415	0.721	-0.665
GSE21927_SPLEEN_VS_TUMOR_MONOCYTE_C57BL6_UP GSE21927_SPLEEN_VS_TUMOR_MONOCYTE_C57BL6_UP	3.309	0.691	0.844	-2.937	-0.960	-1.443	-4.757	-4.757	1.203	2.686	1.876
DESCARTES_FETAL_PANCREAS_ISLET_ENDOCRINE_CELLS DESCARTES_FETAL_PANCREAS_ISLET_ENDOCRINE_CELLS	3.676	-0.463	-3.926	-1.872	0.260	0.468	-1.530	0.925	-1.530	-0.990	5.704
CCCACAT_MIR2993P CCCACAT_MIR2993P	2.074	-1.430	1.274	0.435	-2.237	-2.237	-1.430	-2.237	3.050	1.274	-0.347
HP_PRENATAL_MATERNAL_ABNORMALITY HP_PRENATAL_MATERNAL_ABNORMALITY	2.370	1.778	-0.593	-0.593	-3.087	-3.087	-3.087	-0.783	0.391	2.696	1.783
DESCARTES_FETAL_EYE_STROMAL_CELLS DESCARTES_FETAL_EYE_STROMAL_CELLS	2.954	-1.503	-0.791	-1.101	-1.503	-2.029	-0.247	0.521	-2.029	2.954	2.550
GSE40493_BCL6_KO_VS_WT_TREG_DN GSE40493_BCL6_KO_VS_WT_TREG_DN	3.977	-0.791	-1.380	-1.380	-1.380	0.774	0.593	-1.784	-0.581	2.408	0.313
DESCARTES_FETAL_ADRENAL_SCHWANN_CELLS DESCARTES_FETAL_ADRENAL_SCHWANN_CELLS	2.164	-0.321	-1.366	-1.061	1.324	-1.736	-1.366	-0.609	-0.321	-0.609	4.433
GSE38697_LIGHT_ZONE_VS_DARK_ZONE_BCELL_DN GSE38697_LIGHT_ZONE_VS_DARK_ZONE_BCELL_DN	4.424	0.880	0.396	-1.736	-0.448	-2.184	-1.736	-1.061	-0.321	0.694	1.093
