GO	[-1.00 -0.98]	[-0.98 -0.88]	[-0.88 -0.78]	[-0.78 -0.64]	[-0.64 -0.48]	[-0.48 -0.20]	[-0.20 0.38]	[0.38 0.71]	[0.71 0.93]	[0.93 1.00]	[1.00 1.00]
TCGA_GLIOBLASTOMA_COPY_NUMBER_UP TCGA_GLIOBLASTOMA_COPY_NUMBER_UP	0.431	-0.373	2.818	-0.373	-1.825	-1.091	0.240	0.431	1.374	-1.825	0.236
MAGRANGEAS_MULTIPLE_MYELOMA_IGLL_VS_IGLK_UP MAGRANGEAS_MULTIPLE_MYELOMA_IGLL_VS_IGLK_UP	-0.745	-0.298	3.189	-0.298	-0.745	0.656	-0.745	-0.745	1.130	0.304	-0.749
KAN_RESPONSE_TO_ARSENIC_TRIOXIDE KAN_RESPONSE_TO_ARSENIC_TRIOXIDE	-0.599	0.477	-0.336	0.269	1.482	-0.599	-1.742	1.934	-0.599	-1.742	1.077
LEE_AGING_CEREBELLUM_DN LEE_AGING_CEREBELLUM_DN	0.573	-1.202	-1.202	1.881	-0.299	-0.610	1.881	0.573	-0.299	-1.202	-0.302
YU_MYC_TARGETS_DN YU_MYC_TARGETS_DN	0.837	0.509	-0.671	-0.341	-1.285	2.272	0.837	0.264	-1.285	-1.285	0.261
PANGAS_TUMOR_SUPPRESSION_BY_SMAD1_AND_SMAD5_UP PANGAS_TUMOR_SUPPRESSION_BY_SMAD1_AND_SMAD5_UP	0.850	-0.451	0.572	1.183	0.850	-1.992	-0.256	-0.756	1.183	-0.451	-2.002
ZHANG_RESPONSE_TO_CANTHARIDIN_DN ZHANG_RESPONSE_TO_CANTHARIDIN_DN	-0.893	0.339	0.585	-0.893	0.585	-1.576	0.900	1.725	0.900	-0.500	-1.584
UEDA_PERIFERAL_CLOCK UEDA_PERIFERAL_CLOCK	0.473	-0.855	1.114	-0.418	-0.607	1.114	-0.278	2.808	-0.607	-2.852	-0.615
DELASERNA_MYOD_TARGETS_DN DELASERNA_MYOD_TARGETS_DN	2.571	-1.160	0.608	-0.279	0.608	-0.580	-0.580	-0.580	-1.160	-0.580	1.425
TAKEDA_TARGETS_OF_NUP98_HOXA9_FUSION_8D_UP TAKEDA_TARGETS_OF_NUP98_HOXA9_FUSION_8D_UP	-1.742	2.998	0.477	0.269	0.477	-0.599	0.477	-0.336	-1.742	0.269	-0.339
