GO	[-6.60 -0.70]	[-0.70 -0.20]	[-0.20 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.09]	[0.09 0.52]	[0.52 6.33]
GSE17721_12H_VS_24H_LPS_BMDC_DN GSE17721_12H_VS_24H_LPS_BMDC_DN	0.339	-0.266	1.738	-0.897	-1.584	1.738	-1.584	-0.897	-0.266	-0.897	2.236
GSE21033_CTRL_VS_POLYIC_STIM_DC_1H_DN GSE21033_CTRL_VS_POLYIC_STIM_DC_1H_DN	0.253	0.253	2.385	-0.355	-1.064	-0.355	1.437	1.437	-1.794	-1.794	-0.632
GSE17721_CTRL_VS_PAM3CSK4_6H_BMDC_UP GSE17721_CTRL_VS_PAM3CSK4_6H_BMDC_UP	1.374	-1.207	1.892	-0.300	-0.300	-1.207	-1.207	0.302	0.932	0.573	-1.212
GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_14H_UP GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_14H_UP	-0.374	0.239	0.687	-1.098	0.431	-0.374	-0.374	4.763	0.239	-1.098	-1.844
GSE40274_HELIOS_VS_FOXP3_AND_HELIOS_TRANSDUCED_ACTIVATED_CD4_TCELL_DN GSE40274_HELIOS_VS_FOXP3_AND_HELIOS_TRANSDUCED_ACTIVATED_CD4_TCELL_DN	0.380	2.417	0.990	-0.454	-1.500	-1.500	-0.454	1.401	0.380	-0.832	-0.837
GSE19401_UNSTIM_VS_RETINOIC_ACID_AND_PAM2CSK4_STIM_FOLLICULAR_DC_DN GSE19401_UNSTIM_VS_RETINOIC_ACID_AND_PAM2CSK4_STIM_FOLLICULAR_DC_DN	-1.668	0.529	0.301	-0.963	-0.301	-0.551	-0.963	2.633	-0.963	0.301	2.082
GSE45365_NK_CELL_VS_CD8A_DC_UP GSE45365_NK_CELL_VS_CD8A_DC_UP	-0.930	-1.626	1.673	0.863	-0.930	1.236	0.320	0.320	-1.626	0.863	-0.531
GSE3982_MAST_CELL_VS_CENT_MEMORY_CD4_TCELL_UP GSE3982_MAST_CELL_VS_CENT_MEMORY_CD4_TCELL_UP	-0.581	1.289	-2.258	0.953	0.258	0.436	-0.349	-1.444	0.668	-1.444	1.664
GSE25087_TREG_VS_TCONV_ADULT_UP GSE25087_TREG_VS_TCONV_ADULT_UP	-2.089	0.787	-0.494	-0.494	-1.304	-0.286	0.523	-0.494	-0.286	4.069	0.314
GSE19923_WT_VS_HEB_AND_E2A_KO_DP_THYMOCYTE_DN GSE19923_WT_VS_HEB_AND_E2A_KO_DP_THYMOCYTE_DN	-1.290	0.264	-1.290	-0.674	0.510	0.510	-0.342	3.595	0.840	-0.674	-0.678
GSE15930_NAIVE_VS_48H_IN_VITRO_STIM_CD8_TCELL_DN GSE15930_NAIVE_VS_48H_IN_VITRO_STIM_CD8_TCELL_DN	2.051	3.435	-0.652	-0.971	-0.971	-0.971	0.342	0.342	-1.410	0.521	-0.658
