[GO:0005763,28S ribosomal protein S12, mitochondrial] was killed by [GO:0005762,39S ribosomal protein L33, mitochondrial]
[GO:0005761,28S ribosomal protein S12, mitochondrial] was killed by [GO:0005762,39S ribosomal protein L33, mitochondrial]
[GO:0016592,Mediator of RNA polymerase II transcription subunit 14] was killed by [GO:0070847,Mediator of RNA polymerase II transcription subunit 8]
[GO:0005657,Serine/threonine-protein kinase Chk1] was killed by [GO:0035267,YEATS domain-containing protein 4]
[GO:0000812,Histone acetyltransferase KAT5] was killed by [GO:0000124,Transcriptional adapter 2-alpha]
[GO:0033276,Transcription initiation factor TFIID subunit 4] was killed by [GO:0000124,Transcriptional adapter 2-alpha]
[GO:0016442,Eukaryotic translation initiation factor 4E] was killed by [GO:0099524,Protein kinase C gamma type]
[GO:0031258,Adenomatous polyposis coli protein 2] was killed by [GO:0033010,Neurofascin]
[GO:0044615,Centrin-3] was killed by [GO:0000124,Transcriptional adapter 2-alpha]
[GO:0030175,Shootin-1] was killed by [GO:0099524,Protein kinase C gamma type]
[GO:0043195,Protein unc-13 homolog B] was killed by [GO:0099524,Protein kinase C gamma type]
[GO:0035145,Protein CASC3] was killed by [GO:0099524,Protein kinase C gamma type]
[GO:0030863,Band 3 anion transport protein] was killed by [GO:0035267,YEATS domain-containing protein 4]
[GO:0015630,Chromosomal passenger complex] was killed by [GO:1990498,HAUS augmin-like complex subunit 5]
