GO	[-1.00 -0.56]	[-0.56 -0.15]	[-0.15 0.16]	[0.16 0.35]	[0.35 0.51]	[0.51 0.66]	[0.66 0.79]	[0.79 0.92]	[0.92 0.98]	[0.98 1.00]	[1.00 1.00]
GOMF_TRANSMEMBRANE_RECEPTOR_PROTEIN_KINASE_ACTIVITY GOMF_TRANSMEMBRANE_RECEPTOR_PROTEIN_KINASE_ACTIVITY	-0.204	1.215	-0.995	1.215	1.215	0.426	-0.995	-0.995	-0.995	0.772	-0.992
GOBP_TRNA_METABOLIC_PROCESS GOBP_TRNA_METABOLIC_PROCESS	-0.889	-0.257	0.350	1.003	2.036	0.629	-0.257	1.003	-0.674	-0.674	-4.417
GOBP_SEGMENTATION GOBP_SEGMENTATION	1.131	0.501	-1.702	-0.992	0.784	0.501	0.285	-0.575	-1.702	-0.575	2.010
GOMF_EXONUCLEASE_ACTIVITY_ACTIVE_WITH_EITHER_RIBO_OR_DEOXYRIBONUCLEIC_ACIDS_AND_PRODUCING_5_PHOSPHOMONOESTERS GOMF_EXONUCLEASE_ACTIVITY_ACTIVE_WITH_EITHER_RIBO_OR_DEOXYRIBONUCLEIC_ACIDS_AND_PRODUCING_5_PHOSPHOMONOESTERS	-0.336	-1.744	-0.600	-1.026	-0.336	3.604	0.269	0.269	-1.026	0.476	1.090
GOBP_DNA_REPLICATION_INITIATION GOBP_DNA_REPLICATION_INITIATION	-0.280	0.607	-0.580	-1.161	2.570	-1.161	0.979	0.607	-1.161	0.324	-0.578
GOMF_PHOSPHOPROTEIN_BINDING GOMF_PHOSPHOPROTEIN_BINDING	-2.077	-0.493	0.782	-0.811	0.782	-0.811	1.882	1.098	0.782	-0.493	-1.291
GOCC_RIBOSOMAL_SUBUNIT GOCC_RIBOSOMAL_SUBUNIT	1.734	0.451	-0.459	-0.459	2.092	0.301	-0.301	-0.301	0.301	-3.497	-0.955
GOMF_TRANSLATION_REGULATOR_ACTIVITY GOMF_TRANSLATION_REGULATOR_ACTIVITY	1.471	-1.522	-1.068	0.880	3.088	-0.489	0.643	-1.068	-1.068	-0.314	-0.486
GOCC_GABA_ERGIC_SYNAPSE GOCC_GABA_ERGIC_SYNAPSE	3.056	-0.580	0.892	-0.580	-0.199	0.892	-0.580	-0.580	-0.580	-0.580	-0.198
GOMF_TRANSLATION_INITIATION_FACTOR_ACTIVITY GOMF_TRANSLATION_INITIATION_FACTOR_ACTIVITY	0.979	-1.161	-1.161	0.607	1.966	-0.280	-1.161	-0.580	-0.580	0.979	0.325
GOBP_CELLULAR_DEFENSE_RESPONSE GOBP_CELLULAR_DEFENSE_RESPONSE	-0.829	1.523	0.991	0.566	-0.351	-0.829	-0.829	0.566	0.991	-0.829	-0.827
GOMF_TRANSCRIPTION_COREPRESSOR_ACTIVITY GOMF_TRANSCRIPTION_COREPRESSOR_ACTIVITY	-0.777	-0.569	-1.769	-0.569	-0.777	0.321	-0.406	-1.039	2.843	1.011	2.144
GOBP_RESPONSE_TO_MONOSACCHARIDE GOBP_RESPONSE_TO_MONOSACCHARIDE	0.367	-0.845	0.367	0.749	-0.845	0.367	-2.334	2.768	1.282	-0.845	-0.840
GOBP_REGULATION_OF_T_CELL_DIFFERENTIATION GOBP_REGULATION_OF_T_CELL_DIFFERENTIATION	-0.628	1.032	-0.628	-0.406	0.765	1.032	1.688	-2.870	-0.628	0.539	-0.933
