GO	[-1.00 -0.56]	[-0.56 -0.16]	[-0.16 0.15]	[0.15 0.35]	[0.35 0.51]	[0.51 0.66]	[0.66 0.79]	[0.79 0.92]	[0.92 0.98]	[0.98 1.00]	[1.00 1.00]
GSE1740_MCSF_VS_MCSF_AND_IFNG_DAY2_DERIVED_MACROPHAGE_DN GSE1740_MCSF_VS_MCSF_AND_IFNG_DAY2_DERIVED_MACROPHAGE_DN	-0.624	-3.174	-2.588	0.819	0.266	-1.057	1.231	0.497	2.320	0.266	0.998
GSE3982_CENT_MEMORY_CD4_TCELL_VS_TH1_UP GSE3982_CENT_MEMORY_CD4_TCELL_VS_TH1_UP	-2.542	-1.954	0.312	-0.424	0.808	0.312	2.578	1.878	-0.831	-1.122	0.604
GSE27786_CD8_TCELL_VS_NEUTROPHIL_UP GSE27786_CD8_TCELL_VS_NEUTROPHIL_UP	-0.762	1.420	-1.303	0.434	2.305	0.311	0.753	-2.109	-2.647	1.173	-0.419
GSE15139_GMCSF_TREATED_VS_UNTREATED_NEUTROPHILS_DN GSE15139_GMCSF_TREATED_VS_UNTREATED_NEUTROPHILS_DN	-0.513	-1.879	-2.345	-1.492	2.000	-0.264	2.311	0.466	0.786	0.786	-0.699
GSE27241_WT_VS_RORGT_KO_TH17_POLARIZED_CD4_TCELL_TREATED_WITH_DIGOXIN_UP GSE27241_WT_VS_RORGT_KO_TH17_POLARIZED_CD4_TCELL_TREATED_WITH_DIGOXIN_UP	-3.041	-1.589	-0.567	0.301	0.897	-0.418	0.553	-1.257	0.416	3.176	1.088
GSE31082_DN_VS_DP_THYMOCYTE_DN GSE31082_DN_VS_DP_THYMOCYTE_DN	-1.322	-1.038	-1.322	-0.802	-1.038	-0.453	0.511	0.838	-0.453	1.764	4.160
GSE17974_0.5H_VS_72H_IL4_AND_ANTI_IL12_ACT_CD4_TCELL_UP GSE17974_0.5H_VS_72H_IL4_AND_ANTI_IL12_ACT_CD4_TCELL_UP	-0.909	-1.764	-0.709	-0.409	-0.709	-1.147	-0.409	-0.544	1.716	1.468	3.941
GSE20754_WT_VS_TCF1_KO_MEMORY_CD8_TCELL_UP GSE20754_WT_VS_TCF1_KO_MEMORY_CD8_TCELL_UP	-0.609	-1.038	-0.802	-1.322	1.499	-2.557	-0.453	3.404	0.511	0.511	0.824
GSE13485_DAY3_VS_DAY21_YF17D_VACCINE_PBMC_UP GSE13485_DAY3_VS_DAY21_YF17D_VACCINE_PBMC_UP	-0.668	-3.996	-0.503	-0.503	0.459	0.459	1.914	0.339	1.914	-1.412	0.751
GSE24634_TREG_VS_TCONV_POST_DAY7_IL4_CONVERSION_UP GSE24634_TREG_VS_TCONV_POST_DAY7_IL4_CONVERSION_UP	0.842	2.567	1.587	-0.261	-0.537	-1.313	1.063	-2.201	-0.261	-0.994	-1.327
GSE14699_NAIVE_VS_ACT_CD8_TCELL_DN GSE14699_NAIVE_VS_ACT_CD8_TCELL_DN	-2.645	-0.465	-0.465	0.281	-0.652	-1.193	0.406	-0.322	1.467	4.082	-0.329
GSE24972_MARGINAL_ZONE_BCELL_VS_FOLLICULAR_BCELL_IRF8_KO_UP GSE24972_MARGINAL_ZONE_BCELL_VS_FOLLICULAR_BCELL_IRF8_KO_UP	-0.259	2.000	0.877	0.347	2.729	-1.411	0.347	-1.411	-0.553	-0.772	-1.879
GSE42021_CD24HI_VS_CD24INT_TCONV_THYMUS_DN GSE42021_CD24HI_VS_CD24INT_TCONV_THYMUS_DN	1.270	3.554	-1.970	-0.351	1.270	-0.522	-0.351	-1.055	0.257	-1.055	-0.761
GSE21927_GMCSF_IL6_VS_GMCSF_GCSF_TREATED_BONE_MARROW_UP GSE21927_GMCSF_IL6_VS_GMCSF_GCSF_TREATED_BONE_MARROW_UP	-1.538	-0.572	-0.390	-0.572	-2.777	2.512	1.463	0.918	0.350	0.506	-0.580
GSE24634_IL4_VS_CTRL_TREATED_NAIVE_CD4_TCELL_DAY7_UP GSE24634_IL4_VS_CTRL_TREATED_NAIVE_CD4_TCELL_DAY7_UP	1.446	1.751	0.249	-1.358	0.372	0.710	0.710	-1.358	0.372	-0.521	-3.136
GSE2706_R848_VS_R848_AND_LPS_2H_STIM_DC_DN GSE2706_R848_VS_R848_AND_LPS_2H_STIM_DC_DN	-0.340	0.265	-1.583	1.394	0.600	1.733	-3.159	-0.340	0.600	-0.776	0.407
GSE43955_TGFB_IL6_VS_TGFB_IL6_IL23_TH17_ACT_CD4_TCELL_52H_UP GSE43955_TGFB_IL6_VS_TGFB_IL6_IL23_TH17_ACT_CD4_TCELL_52H_UP	1.085	0.634	-1.204	3.173	-0.289	-0.624	-1.204	-0.432	1.359	-0.877	-1.639
GSE43955_10H_VS_30H_ACT_CD4_TCELL_WITH_TGFB_IL6_UP GSE43955_10H_VS_30H_ACT_CD4_TCELL_WITH_TGFB_IL6_UP	-1.596	0.654	-0.278	0.325	-0.607	-2.136	0.325	-1.596	2.411	0.654	1.377
GSE45739_NRAS_KO_VS_WT_ACD3_ACD28_STIM_CD4_TCELL_DN GSE45739_NRAS_KO_VS_WT_ACD3_ACD28_STIM_CD4_TCELL_DN	-0.430	-1.821	3.961	-0.430	-0.598	-0.301	-1.079	0.579	0.965	0.758	-1.427
GSE17974_0H_VS_48H_IN_VITRO_ACT_CD4_TCELL_UP GSE17974_0H_VS_48H_IN_VITRO_ACT_CD4_TCELL_UP	-1.599	-0.911	0.271	-1.599	0.724	-0.479	-0.334	-1.217	1.170	0.933	3.127
GSE24142_DN2_VS_DN3_THYMOCYTE_ADULT_UP GSE24142_DN2_VS_DN3_THYMOCYTE_ADULT_UP	-0.471	2.266	1.514	0.302	-2.111	-0.710	0.667	-0.301	-0.471	-2.111	0.658
GSE25088_WT_VS_STAT6_KO_MACROPHAGE_ROSIGLITAZONE_STIM_DN GSE25088_WT_VS_STAT6_KO_MACROPHAGE_ROSIGLITAZONE_STIM_DN	1.864	1.864	0.502	-0.678	0.502	-2.486	0.254	-0.906	-1.538	1.068	-0.688
GSE5503_LIVER_DC_VS_PLN_DC_ACTIVATED_ALLOGENIC_TCELL_DN GSE5503_LIVER_DC_VS_PLN_DC_ACTIVATED_ALLOGENIC_TCELL_DN	0.525	-3.107	-0.595	-2.043	-0.441	0.283	0.679	0.283	1.528	0.283	2.061
GSE33162_UNTREATED_VS_4H_LPS_STIM_HDAC3_HET_MACROPHAGE_DN GSE33162_UNTREATED_VS_4H_LPS_STIM_HDAC3_HET_MACROPHAGE_DN	-1.437	-0.614	-2.993	-0.830	0.414	0.563	0.291	2.013	-0.311	0.414	1.991
GSE36078_UNTREATED_VS_AD5_INF_IL1R_KO_MOUSE_LUNG_DC_UP GSE36078_UNTREATED_VS_AD5_INF_IL1R_KO_MOUSE_LUNG_DC_UP	-2.201	-0.261	1.063	0.345	0.483	0.648	3.344	-0.537	-1.709	-0.537	-0.749
GSE10239_NAIVE_VS_MEMORY_CD8_TCELL_UP GSE10239_NAIVE_VS_MEMORY_CD8_TCELL_UP	-0.624	-2.588	-1.688	2.015	0.266	0.647	-0.624	0.371	-0.624	2.015	0.635
GSE17721_LPS_VS_PAM3CSK4_8H_BMDC_DN GSE17721_LPS_VS_PAM3CSK4_8H_BMDC_DN	3.688	0.409	-0.436	-1.719	-1.719	-0.797	0.716	0.409	0.409	-1.046	0.704
GSE36476_CTRL_VS_TSST_ACT_40H_MEMORY_CD4_TCELL_YOUNG_DN GSE36476_CTRL_VS_TSST_ACT_40H_MEMORY_CD4_TCELL_YOUNG_DN	2.062	0.332	0.460	-2.050	-0.965	-0.728	2.062	-0.538	-0.538	1.226	-1.272
GSE17721_POLYIC_VS_PAM3CSK4_1H_BMDC_UP GSE17721_POLYIC_VS_PAM3CSK4_1H_BMDC_UP	0.373	0.663	-0.473	-0.641	-0.850	-0.473	-2.810	3.527	-0.641	0.373	1.035
GSE2585_THYMIC_MACROPHAGE_VS_MTEC_UP GSE2585_THYMIC_MACROPHAGE_VS_MTEC_UP	-0.642	4.022	1.057	-1.229	-0.898	1.325	-0.898	-0.447	-0.642	-0.447	-0.454
GSE25846_IL10_POS_VS_NEG_CD8_TCELL_DAY7_POST_CORONAVIRUS_BRAIN_UP GSE25846_IL10_POS_VS_NEG_CD8_TCELL_DAY7_POST_CORONAVIRUS_BRAIN_UP	-0.427	5.625	-0.633	-0.633	0.485	-0.277	-0.427	-1.282	0.326	-0.912	-0.282
GSE22601_IMMATURE_CD4_SINGLE_POSITIVE_VS_CD8_SINGLE_POSITIVE_THYMOCYTE_DN GSE22601_IMMATURE_CD4_SINGLE_POSITIVE_VS_CD8_SINGLE_POSITIVE_THYMOCYTE_DN	-1.739	-1.389	-0.257	0.782	-0.257	-0.490	-1.097	-0.360	4.032	0.971	-0.367
