GO	[-8.26 -0.85]	[-0.85 -0.27]	[-0.27 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.04]	[0.04 0.37]	[0.37 1.02]	[1.02 10.22]
GO:0005681 spliceosomal complex	-2.720	9.652	37.891	-6.135	-6.135	-6.135	-6.135	-4.037	2.109	-3.316	-4.932
GO:0006413 translational initiation	-5.927	1.992	19.913	-5.927	-5.927	-5.927	-5.927	-0.815	20.710	-3.150	-5.925
GO:0006260 DNA replication	-1.485	33.066	9.303	-5.557	-6.799	-6.799	-5.557	-4.617	1.160	-1.197	-2.214
GO:0000775 chromosome, centromeric region	-1.425	25.839	14.868	-4.896	-6.093	-6.093	-6.093	-2.690	1.124	-2.690	-3.999
GO:0008168 methyltransferase activity	-1.128	11.681	16.621	-7.754	-6.458	-6.458	-6.458	-1.128	5.699	-1.128	-3.360
GO:0042254 ribosome biogenesis	-4.143	23.189	11.313	-4.143	-4.143	-4.143	-4.143	-1.352	0.707	-2.360	-4.142
GO:0000086 G2/M transition of mitotic cell cycle	-2.270	13.926	9.975	-4.356	-5.512	-5.512	-4.356	-1.814	4.238	-0.654	-2.269
GO:0070126 mitochondrial translational termination	-2.580	9.659	16.972	-3.563	-3.563	-3.563	-3.563	-1.003	1.330	-2.580	-3.561
GO:0005085 guanyl-nucleotide exchange factor activity	-0.645	3.349	2.137	-7.505	-7.505	-5.242	-7.505	-2.680	9.996	3.349	1.633
GO:0006897 endocytosis	-3.696	1.453	10.727	-6.144	-3.696	-7.422	-5.168	-1.226	10.171	0.865	0.706
GO:0006457 protein folding	-1.595	5.074	15.486	-4.800	-4.800	-4.800	-4.800	-1.595	6.860	-0.375	-2.348
GO:0008022 protein C-terminus binding	-0.895	3.816	13.554	-7.712	-5.427	-5.427	-6.419	-0.895	3.816	0.750	0.278
GO:0043123 positive regulation of I-kappaB kinase/NF-kappaB signaling	-3.248	0.480	4.889	-5.596	-3.888	-6.840	-3.888	-2.706	8.678	3.719	3.024
GO:0016874 ligase activity	0.983	6.809	11.107	-3.820	-4.581	-4.581	-6.757	-3.185	2.465	0.385	-1.461
GO:0006368 transcription elongation from RNA polymerase II promoter	-3.936	5.509	8.512	-1.224	-3.936	-3.936	-3.936	-0.301	6.065	-0.895	-3.934
GO:0006486 protein glycosylation	-0.520	4.557	4.960	-4.093	-4.873	-5.830	-5.830	-2.404	8.190	2.474	-1.077
GO:0006888 ER to Golgi vesicle-mediated transport	-1.773	0.517	7.373	-4.544	-4.544	-3.786	-4.544	-1.159	13.691	1.926	-1.158
GO:0043488 regulation of mRNA stability	-2.005	2.109	11.074	-3.364	-3.364	-4.433	-4.433	0.576	7.229	-0.633	-3.363
GO:0046777 protein autophosphorylation	-0.569	1.554	9.433	-5.020	-3.001	-7.256	-5.020	-2.093	5.999	1.330	0.486
GO:0005770 late endosome	-1.605	1.467	2.040	-3.219	-4.049	-5.180	-5.180	-0.961	12.197	3.457	-0.725
