GO	[-1.00 -0.58]	[-0.58 -0.17]	[-0.17 0.14]	[0.14 0.34]	[0.34 0.50]	[0.50 0.66]	[0.66 0.79]	[0.79 0.91]	[0.91 0.98]	[0.98 1.00]	[1.00 1.00]
GOBP_NEGATIVE_REGULATION_OF_MITOCHONDRION_ORGANIZATION GOBP_NEGATIVE_REGULATION_OF_MITOCHONDRION_ORGANIZATION	0.822	-0.434	-0.953	0.200	-0.434	0.458	-0.953	2.478	1.285	-0.953	-0.958
GOBP_SEGMENTATION GOBP_SEGMENTATION	1.132	0.502	-1.701	-0.992	0.502	0.502	0.502	-0.574	-1.701	-0.574	1.992
GOBP_CELLULAR_DEFENSE_RESPONSE GOBP_CELLULAR_DEFENSE_RESPONSE	-0.829	1.524	0.992	0.567	-0.351	-0.829	-0.829	0.567	0.992	-0.829	-0.833
GOBP_DNA_REPLICATION_INITIATION GOBP_DNA_REPLICATION_INITIATION	-0.279	0.324	-0.279	-1.161	2.573	-1.161	0.608	0.980	-1.161	0.324	-0.584
GOBP_REGULATION_OF_DNA_REPAIR GOBP_REGULATION_OF_DNA_REPAIR	-1.032	-0.732	-1.032	-0.338	0.405	-2.631	1.305	0.267	0.786	2.330	0.399
GOBP_HISTONE_H4_K16_ACETYLATION GOBP_HISTONE_H4_K16_ACETYLATION	-0.272	-0.704	1.824	-0.704	0.332	-0.704	0.332	-0.704	0.332	1.824	-0.708
GOBP_POSITIVE_REGULATION_OF_TRANSCRIPTION_OF_NOTCH_RECEPTOR_TARGET GOBP_POSITIVE_REGULATION_OF_TRANSCRIPTION_OF_NOTCH_RECEPTOR_TARGET	1.877	-0.455	-0.455	0.187	-0.455	-0.455	-0.455	-0.455	-0.455	0.579	1.870
GOBP_HISTONE_H3_K36_METHYLATION GOBP_HISTONE_H3_K36_METHYLATION	-0.497	0.167	-0.497	-0.497	-0.497	0.525	-0.497	-0.497	0.525	0.167	3.490
GOBP_CELL_DEATH_IN_RESPONSE_TO_HYDROGEN_PEROXIDE GOBP_CELL_DEATH_IN_RESPONSE_TO_HYDROGEN_PEROXIDE	2.752	-0.455	-0.455	-0.455	-0.455	-0.455	-0.455	0.579	0.579	-0.455	0.576
GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_OXIDATIVE_STRESS GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_OXIDATIVE_STRESS	2.231	-0.373	-0.373	-0.373	-0.373	-0.373	-0.373	-0.373	1.383	-0.373	0.709
GOBP_SPLICEOSOMAL_TRI_SNRNP_COMPLEX_ASSEMBLY GOBP_SPLICEOSOMAL_TRI_SNRNP_COMPLEX_ASSEMBLY	-0.414	-0.414	0.211	-0.414	-0.414	4.076	0.211	0.211	-0.414	-0.414	0.210
GOBP_PERICARDIUM_DEVELOPMENT GOBP_PERICARDIUM_DEVELOPMENT	0.187	0.187	-0.455	-0.455	-0.455	-0.455	0.187	1.149	-0.455	-0.455	2.743
GOBP_REGULATION_OF_VASCULAR_ENDOTHELIAL_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY GOBP_REGULATION_OF_VASCULAR_ENDOTHELIAL_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY	3.249	0.712	-0.373	-0.373	0.240	-0.373	-0.373	0.240	-0.373	-0.373	-0.374
GOBP_NEGATIVE_REGULATION_OF_RELEASE_OF_CYTOCHROME_C_FROM_MITOCHONDRIA GOBP_NEGATIVE_REGULATION_OF_RELEASE_OF_CYTOCHROME_C_FROM_MITOCHONDRIA	0.313	-0.290	-0.290	-0.290	-0.290	0.313	-0.290	3.960	-0.290	-0.290	-0.291
