GO	[-6.67 -4.13]	[-4.13 -3.19]	[-3.19 -2.55]	[-2.55 -2.02]	[-2.02 -1.47]	[-1.47 -0.62]	[-0.62 1.12]	[1.12 1.90]	[1.90 2.76]	[2.76 4.08]	[4.08 6.64]
REACTOME_CELLULAR_RESPONSE_TO_STARVATION REACTOME_CELLULAR_RESPONSE_TO_STARVATION	-1.038	-0.669	-1.576	-0.417	-2.413	0.817	1.118	1.465	1.857	1.118	-1.584
WP_APOPTOSISRELATED_NETWORK_DUE_TO_ALTERED_NOTCH3_IN_OVARIAN_CANCER WP_APOPTOSISRELATED_NETWORK_DUE_TO_ALTERED_NOTCH3_IN_OVARIAN_CANCER	-1.411	0.717	2.019	-0.407	2.584	-0.766	0.427	-0.407	-0.407	-0.766	-1.417
REACTOME_PRC2_METHYLATES_HISTONES_AND_DNA REACTOME_PRC2_METHYLATES_HISTONES_AND_DNA	-0.871	-0.871	-0.378	-0.871	-0.378	2.042	2.042	0.236	0.931	-0.378	-0.874
WP_PATHWAYS_AFFECTED_IN_ADENOID_CYSTIC_CARCINOMA WP_PATHWAYS_AFFECTED_IN_ADENOID_CYSTIC_CARCINOMA	2.500	-0.451	-0.256	-0.757	0.352	-1.228	-0.757	-1.228	-0.757	0.352	3.020
REACTOME_ASSEMBLY_OF_THE_PRE_REPLICATIVE_COMPLEX REACTOME_ASSEMBLY_OF_THE_PRE_REPLICATIVE_COMPLEX	-1.370	-0.385	0.755	-0.385	0.453	2.101	0.231	0.231	1.133	-1.370	-1.375
REACTOME_TRNA_AMINOACYLATION REACTOME_TRNA_AMINOACYLATION	-1.120	0.347	-0.260	-0.550	0.347	-0.260	0.645	4.146	-1.120	-0.550	-0.553
PID_GLYPICAN_1PATHWAY PID_GLYPICAN_1PATHWAY	-0.414	0.211	0.211	-0.414	-0.414	-0.414	-0.414	4.078	0.641	-0.414	-0.416
WP_GLYCEROLIPIDS_AND_GLYCEROPHOSPHOLIPIDS WP_GLYCEROLIPIDS_AND_GLYCEROPHOSPHOLIPIDS	0.362	-0.663	-0.247	1.943	1.943	-0.663	0.362	-0.663	-0.663	-0.247	-0.666
REACTOME_INHIBITION_OF_REPLICATION_INITIATION_OF_DAMAGED_DNA_BY_RB1_E2F1 REACTOME_INHIBITION_OF_REPLICATION_INITIATION_OF_DAMAGED_DNA_BY_RB1_E2F1	-0.373	-0.373	-0.373	-0.373	2.232	1.383	-0.373	0.712	-0.373	-0.373	-0.374
REACTOME_IRAK1_RECRUITS_IKK_COMPLEX REACTOME_IRAK1_RECRUITS_IKK_COMPLEX	-0.414	-0.414	-0.414	2.983	-0.414	0.641	-0.414	-0.414	0.211	0.641	-0.416
KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM	-0.290	-0.290	-0.290	-0.290	-0.290	0.313	-0.290	3.961	0.313	-0.290	-0.291
