GO	[-6.33 -1.16]	[-1.16 -0.29]	[-0.29 0.45]	[0.45 0.90]	[0.90 1.28]	[1.28 1.62]	[1.62 1.99]	[1.99 2.40]	[2.40 3.14]	[3.14 4.22]	[4.22 6.75]
MIR3925_3P MIR3925_3P	-1.521	-1.989	-0.439	-1.149	-0.620	-1.521	-0.439	0.300	0.594	2.913	5.230
MIR3064_3P MIR3064_3P	-0.793	-0.793	-1.440	-0.570	-1.079	-0.570	-1.897	0.476	1.956	0.476	6.014
MIR4529_5P MIR4529_5P	0.881	-0.321	0.282	-1.245	-0.641	-1.245	-1.245	0.881	-0.321	-0.321	3.709
MIR4691_3P MIR4691_3P	0.330	0.756	-1.096	-1.096	0.330	-0.716	0.519	-1.096	-1.096	-0.274	4.844
MIR6885_5P MIR6885_5P	-1.120	-0.550	-0.260	-0.260	1.505	-0.550	-1.120	1.505	2.056	-0.260	-1.115
MIR6081 MIR6081	-1.505	-0.382	-2.327	0.397	0.397	1.555	-0.980	0.878	0.878	1.193	-0.973
MIR3175 MIR3175	0.326	0.326	-1.285	-1.778	3.981	0.680	-0.278	-1.285	-0.428	-0.635	0.921
MIR3945 MIR3945	-0.434	0.821	-0.954	-0.434	2.476	1.837	0.199	-0.434	-0.954	-0.434	-0.950
MIR6730_3P MIR6730_3P	-0.677	-0.677	-0.677	1.740	-1.126	2.211	0.654	-0.392	1.322	-1.126	-1.120
MIR500A_5P MIR500A_5P	-1.628	-0.626	1.083	-0.626	1.661	0.312	-0.626	-1.628	0.456	-0.879	2.772
MIR6823_5P MIR6823_5P	-0.703	0.247	-1.328	-1.328	-1.328	0.480	1.649	0.480	0.794	-0.363	1.193
MIR10395_3P MIR10395_3P	0.246	-1.082	-1.082	1.534	-2.706	0.246	1.236	-0.774	-0.365	1.865	0.546
AGGTGCA_MIR500 AGGTGCA_MIR500	-2.119	0.498	-0.514	-1.331	-0.514	0.301	1.057	-0.839	-0.301	1.057	2.291
MIR296_3P MIR296_3P	-0.705	-0.705	-0.705	0.706	-0.273	-0.273	-0.705	0.706	-0.705	2.544	0.710
MIR12121 MIR12121	-0.705	-0.273	-0.273	-0.705	-0.705	-0.273	-0.273	-0.705	0.331	2.544	1.830
MIR548AL MIR548AL	-0.290	-0.290	-0.290	-0.290	-0.290	-0.290	-0.290	-0.290	-0.290	2.722	1.708
