GO	[-6.80 -4.16]	[-4.16 -3.22]	[-3.22 -2.56]	[-2.56 -2.04]	[-2.04 -1.48]	[-1.48 -0.59]	[-0.59 1.16]	[1.16 1.97]	[1.97 2.84]	[2.84 4.11]	[4.11 6.75]
MIR671_5P MIR671_5P	-0.628	1.686	-0.938	-1.970	-1.368	-0.628	1.031	0.539	-1.368	-0.252	4.008
MIR3925_3P MIR3925_3P	3.321	-0.302	-0.853	0.300	-1.522	-1.522	-0.620	-2.582	0.432	1.004	2.200
MIR4473 MIR4473	3.064	-0.923	0.664	-1.435	1.656	-1.435	0.258	-0.923	-0.923	-0.349	0.674
MIR4288 MIR4288	1.268	0.256	-1.975	0.256	-1.455	3.551	-0.754	-1.455	-0.352	0.389	0.774
MIR3162_5P MIR3162_5P	-0.336	2.996	0.749	0.476	-1.744	0.749	-0.600	0.268	-0.600	-0.336	-1.732
MIR421 MIR421	2.726	-0.386	-2.445	0.346	-0.775	-1.868	0.346	0.668	0.874	0.874	-0.761
MIR6719_3P MIR6719_3P	1.027	0.773	0.381	-1.176	-0.823	-0.369	-1.650	1.317	-2.299	0.381	1.666
MIR7158_3P MIR7158_3P	-1.536	-0.862	-0.250	1.334	0.614	0.940	-1.536	-0.862	0.614	-0.478	1.348
MIR208B_3P MIR208B_3P	-0.521	2.797	-0.241	-0.241	1.089	0.371	-0.521	-1.079	0.684	-1.079	-1.071
MIR12129 MIR12129	1.212	2.240	-1.258	1.212	-0.616	-1.258	-2.409	-0.267	-0.267	0.501	-0.260
MIR767_3P MIR767_3P	1.226	0.688	-0.691	0.688	1.226	-2.079	-2.079	-0.691	0.688	-0.691	0.700
MIR542_3P MIR542_3P	-0.428	0.325	0.484	-0.635	-2.447	0.484	-1.286	-0.428	0.679	-0.278	3.525
MIR520F_5P MIR520F_5P	-0.620	-0.620	-0.439	-0.302	-0.439	1.836	-2.582	2.528	-0.853	0.784	0.308
