ensembl_id	gene_name	logFC	AveExpr	P.Value	adj.P.Val
ENSG00000278311	GGNBP2	0.206796457438005	-0.303796593407957	0.260520112004038	0.50611779704637
ENSG00000278259	MYO19	-0.23512245493089	0.0231425337066503	0.10918408201091	0.322902872285729
ENSG00000277149	TYW1B	-0.601981684879608	0.0858153147330313	0.00250136884436909	0.0585454917983549
ENSG00000276234	TADA2A	-0.0305864874134655	-0.140814331883139	0.837141720883077	0.919019808086298
ENSG00000276043	UHRF1	-0.204375285690825	0.0559902003663715	0.175788035168856	0.415548123455559
ENSG00000275895	U2AF1L5	0.038120777196028	-0.380998078383274	0.787812404585414	0.895197394649655
ENSG00000275700	AATF	-0.260028908210118	-0.440731314820745	0.141431433478449	0.369344928820483
ENSG00000275066	SYNRG	-0.0498321976724096	0.312166211582256	0.688094166675743	0.836514227100099
ENSG00000275052	PPP4R3B	-0.0963924024409092	-0.0648354129211652	0.470243392071075	0.68723208191556
ENSG00000273749	CYFIP1	-0.0933205517610457	-0.032406432497842	0.37721162096052	0.610761843734194
ENSG00000272886	DCP1A	-0.21613510297424	0.407881238010757	0.0996108199063096	0.309884541638784
ENSG00000272391	POM121C	1.02490022744128	0.349062335064368	0.000171640104278164	0.0411936654390993
ENSG00000270872	SRGAP2D	0.33632085421214	-0.169031869186389	0.0294776077127377	0.17635741166069
ENSG00000270800	RPS10-NUDT3	-0.0635190524204057	-0.124423766870754	0.733553174025972	0.863223234886011
ENSG00000270647	TAF15	0.203724389680993	0.128948099789422	0.191047856908703	0.432150874941705
ENSG00000269343	ZNF587B	-0.221193950967855	0.0756476130538261	0.101171838599305	0.312753924222351
ENSG00000266412	NCOA4	0.046542994832838	-0.0538017732232706	0.741459981320205	0.868111728445757
ENSG00000266028	SRGAP2	0.327570407589999	-0.12617646836717	0.0076828660979237	0.0957647496774199
ENSG00000265491	RNF115	-0.0808355544193914	-0.243878344776857	0.479251745046517	0.692197109390807
ENSG00000265354	TIMM23	0.154551460735852	-0.409017422984245	0.386166623941172	0.620728748153267
ENSG00000264343	NOTCH2NL	0.157655499658566	-0.053607337300069	0.183037489997131	0.4252566631696
ENSG00000263956	NBPF11	0.117751204285941	-0.0863128574545964	0.326816632038855	0.569145419668527
ENSG00000263513	FAM72C	0.115403991350133	-0.122911660914176	0.280905487090417	0.525467407117924
ENSG00000263001	GTF2I	0.0112062777778367	-0.114886291552078	0.921263369740167	0.960399716934772
ENSG00000261794	GOLGA8H	0.0700410711842406	-0.455567742131995	0.542643192778889	0.730187834781481
ENSG00000260916	CCPG1	0.351579483835192	0.00594044214489965	0.0430971376030964	0.206810095953277
ENSG00000260097	SPDYE6	-0.169170592800572	0.155586953975332	0.191167606062109	0.432150874941705
ENSG00000258890	CEP95	0.0584438184709986	-0.088539642224643	0.676633145921788	0.828920394121307
ENSG00000257923	CUX1	-0.664315166894619	0.162427394960773	0.00175027403779527	0.0495791911114252
ENSG00000257529	RPL36A-HNRNPH2	-0.35099989182213	0.531201173532547	0.0469050969042193	0.216002654837143
ENSG00000257103	LSM14A	0.0801535277283515	-0.551827729184914	0.427993228381471	0.654605620929456
ENSG00000256525	POLG2	-0.423903897799451	-0.0762628621856331	0.00214219331613773	0.0561012136377201
ENSG00000255152	MSH5-SAPCD1	-0.116675069777265	0.0775647453438833	0.280127777004375	0.524365953448512
ENSG00000254772	EEF1G	-0.0946167988553694	0.0163613783598194	0.423103166683336	0.650431203656011
ENSG00000254087	LYN	0.260978142243929	-0.45293320164055	0.0486874597670866	0.219766485062492
ENSG00000253729	PRKDC	-0.101782639191267	0.0792506498491576	0.327422635162334	0.569145419668527
ENSG00000251201	TMED7-TICAM2	-0.202343875469005	0.202312524820098	0.166074736518039	0.401891405486111
ENSG00000250312	ZNF718	-0.155089727114674	-0.531993343069657	0.177512535665798	0.417959965231768
ENSG00000249931	GOLGA8K	0.20024198152702	-0.60695084259255	0.29878237662591	0.544596111302382
ENSG00000249437	NAIP	0.0874115136898524	0.262435845197397	0.409852929947562	0.639905361942876
ENSG00000248643	RBM14-RBM4	-0.0395934878259896	0.249211867215433	0.730509660557689	0.861980205095405
ENSG00000248333	CDK11B	-0.229280532092523	0.0834499826757985	0.117917040493256	0.338158785546775
ENSG00000244687	UBE2V1	-0.319977706575496	-0.169222606830244	0.0621926004832934	0.247699654148669
ENSG00000243943	ZNF512	0.135642872103946	-0.39520064272557	0.268709812076393	0.513564293504225
ENSG00000243927	MRPS6	-6.72648824486462e-05	-0.234344726688088	0.999464831793562	0.999824999300514
ENSG00000243753	HLA-L	0.703062198266377	0.873038633803358	0.00306092690116479	0.0620228691798063
ENSG00000241973	PI4KA	0.0477299129350522	0.0811810759953376	0.675668338992653	0.828175294043795
ENSG00000241878	PISD	-0.015734743296999	-0.381020197946765	0.892154071110346	0.949260138521395
ENSG00000241553	ARPC4	-0.126734874177386	0.243820704880914	0.30981787335143	0.556334089775769
ENSG00000241343	RPL36A	-0.224469033060245	0.253744882477088	0.335210969934413	0.575476594024694
ENSG00000239900	ADSL	-0.137146471172823	-0.101329905382412	0.360978585323191	0.599358621270878
ENSG00000239264	TXNDC5	-0.153008624207373	-0.0915972350266216	0.298232064893981	0.54454164939583
ENSG00000237649	KIFC1	-0.0202537132466661	0.210834566861773	0.909781476352763	0.957370081341473
ENSG00000237296	SMG1P1	-0.297506895556557	0.40576881815897	0.0178791414977228	0.135607914747755
ENSG00000231500	RPS18	-0.308935493887459	-0.0166766315864766	0.135541813896046	0.362207883705545
ENSG00000230124	ACBD6	-0.411764816228414	-0.261460802880624	0.0224875726072176	0.151886865103738
ENSG00000228716	DHFR	0.0589213774731143	-0.471753680996406	0.600131558526051	0.770566700494134
ENSG00000227345	PARG	0.438369031923549	-0.119752696080049	0.00249428725339236	0.0585454917983549
ENSG00000226259	GTF2H2B	-0.159555641584356	0.0282908374613767	0.156734192831886	0.388979439435484
ENSG00000225190	PLEKHM1	-0.044304665939732	0.0487901181124662	0.678926877628207	0.830603196334966
ENSG00000221983	UBA52	-0.183771047601688	-0.139845209026767	0.194650200895325	0.436116995710592
ENSG00000221914	PPP2R2A	0.30331219812729	-0.00946849875781317	0.038242244792615	0.196593465822776
ENSG00000221823	PPP3R1	0.423684282134267	-0.0882395552781592	0.00532291600829783	0.0785979512714616
ENSG00000217128	FNIP1	0.529577316376285	0.00282663393989837	0.00302245896344949	0.0620228691798063
ENSG00000215784	FAM72D	0.0633383074211841	-0.0620182796973893	0.531491985412507	0.722187933764023
ENSG00000215472	RPL17-C18orf32	-0.0750675520436589	-0.0351130110203478	0.747914614555816	0.870646950309908
ENSG00000215421	ZNF407	0.302712754479481	-0.320000622487896	0.0657567527136138	0.25523814867296
ENSG00000215301	DDX3X	-0.205957875235034	0.273569711502985	0.0909059265666406	0.300704515109558
ENSG00000215126	CBWD7	0.321717269492661	-0.450859984045708	0.0462333062741294	0.215646733620506
ENSG00000215114	UBXN2B	0.0910701322250562	-0.160583404963585	0.558855301659632	0.743711561556635
ENSG00000214078	CPNE1	0.204421695035068	-0.210835204427582	0.0654997120443657	0.25523814867296
ENSG00000214013	GANC	0.0283243742913421	0.331877989262217	0.808753370286808	0.905857213223229
ENSG00000213719	CLIC1	-0.239247766014694	-0.0758069345880041	0.100262436917519	0.310634514378385
ENSG00000213639	PPP1CB	0.0738928458072734	-0.054071134378616	0.61893027980269	0.783629181084081
ENSG00000213593	TMX2	-0.0507701573504017	0.00178662252850671	0.663336942878398	0.820233119568122
ENSG00000213079	SCAF8	0.20535003836631	-0.0115041141756278	0.103727084032528	0.316353732288025
ENSG00000213066	FGFR1OP	0.0937255434650445	0.0268201819171801	0.566259288367142	0.75004186439022
ENSG00000213047	DENND1B	0.236087455805163	-0.113416462421321	0.0758587128352648	0.270673247854364
ENSG00000211456	SACM1L	-0.0789144874396235	-0.062329068372945	0.471204588407379	0.68723208191556
ENSG00000206560	ANKRD28	-0.238238667082026	-0.128307121565993	0.193571317178915	0.435457031190168
ENSG00000206190	ATP10A	0.37083233260131	-0.207050703846537	0.00540505947973759	0.0789707637671135
ENSG00000206127	GOLGA8O	0.14773655240743	-0.519290733827289	0.291227946754898	0.53765326406943
ENSG00000205937	RNPS1	-0.0886137029939057	0.182989145144024	0.538778126623752	0.728163621960826
ENSG00000205726	ITSN1	0.291758876581106	-0.161353664963313	0.0575081870978468	0.240788427426279
ENSG00000205581	HMGN1	-0.475642756230335	0.171089475074654	0.0515503012288372	0.228965817938003
ENSG00000205542	TMSB4X	-0.484810286048852	0.182814782878919	0.0169574803465592	0.131859847176606
ENSG00000205531	NAP1L4	0.0734924889193687	-0.0258441943581049	0.709403807008166	0.852144079729411
ENSG00000205339	IPO7	-0.1049017575823	-0.113577036284806	0.337002125947356	0.576918555539715
ENSG00000205323	SARNP	-0.104352340313285	-0.160315716077149	0.453378084165021	0.673771437896359
ENSG00000205302	SNX2	0.190501377738449	-0.0724167907167562	0.211250818591038	0.455496210396691
ENSG00000205269	TMEM170B	0.375297663622916	-0.391770421222029	0.0268698661101653	0.169407990941114
ENSG00000205268	PDE7A	0.152353055902075	-0.352434437376334	0.182336892175516	0.424993461527482
ENSG00000205221	VIT	0.270102776916948	0.0202572096735273	0.0298805017306321	0.177835552443826
ENSG00000205213	LGR4	0.434033511381479	-0.466685756930272	0.0335640264522933	0.18785027707977
ENSG00000204842	ATXN2	0.531059975679836	-0.258353659882068	0.0109550841784111	0.1122188696652
ENSG00000204713	TRIM27	0.0373244142428735	0.0125549174167919	0.737167450106544	0.866741567766101
ENSG00000204634	TBC1D8	0.161704154984847	-0.347422810283161	0.157383907742288	0.389391914342773
