kg1_t_1	kg1_t_2	kg1_t_3	kg1_u_1	kg1_u_2	kg1_u_3	molm14_t_1	molm14_t_2	molm14_t_3	molm14_u_1	molm14_u_2	molm14_u_3	ociaml2_t_1	ociaml2_t_2	ociaml2_t_3	ociaml2_u_1	ociaml2_u_2	ociaml2_u_3	ociaml3_t_1	ociaml3_t_2	ociaml3_t_3	ociaml3_u_1	ociaml3_u_2	ociaml3_u_3	thp1_t_1	thp1_t_2	thp1_t_3	thp1_u_1	thp1_u_2	thp1_u_3
ENSG00000000419	-1.23971286211667	0	0	-0.922014730233716	-0.3968412947444	0	0	-1.90426438606586	-1.79881280691969	0	0	0	0	-1.78232019280686	-0.870443468530628	-1.18896676893265	-1.93964292395433	-1.16963921151078	-1.02789747748298	-2.89494126906551	-1.61666556505243	0	-1.3239002998867	0	0	0	0	0	0	0
ENSG00000000457	0	-2.98916570411083	0	-3.55018589696699	0	0	-2.14544513902094	-2.37674105868338	0	-2.12615664716348	-2.71831816432987	0	0	0	0	0	0	0	-1.71889997282235	-4.47076687205186	0	0	-2.10930810570227	-3.41898459037315	0	0	0	0	0	0
ENSG00000000460	0	0	-2.71920606788187	0	0	-4.38181403604373	-1.82516360661103	0	-3.74543212263747	-2.50423862323886	-1.67621398512892	-5.48284910263511	-0.955540991384365	-2.52896648307992	-2.13295432612148	-1.20791974833668	-1.83902166927901	-1.59616226356361	0	0	0	0	0	0	-3.25270404117474	-1.81746395565917	0	-3.95066006117886	0	0
ENSG00000001167	0	0	0	0	0	0	-1.88242245549664	-0.727144956699193	0	-0.751287603893343	-0.844189681240252	-1.46501919820587	-0.596193682641888	-0.475826118985605	-0.545584188287105	-0.79554319680938	0.149980218421666	-0.567764655751709	-1.54730850476066	-0.726217001237824	0	-1.13714547559311	-0.803848309289955	-0.958360725438906	-2.2271504799279	-1.56874293555092	0	-2.2624907620979	-1.01337810428118	0
ENSG00000001629	0	-5.08385100453613	-3.84505313477221	0	0	-4.40133554766448	0	0	0	0	0	0	0	0	0	0	0	0	-1.13761338622354	-1.13576212605375	-0.647038778821121	-1.22823169466484	0	-1.47731282664367	0	0	0	0	0	0
ENSG00000001631	0	-2.45413276899099	0	0	-5.5359221925639	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000002834	0	-4.25214074208467	0	0	-3.87557697437893	0	-1.39224477518666	-1.2500293198811	-1.35679801955476	-2.66636394293417	-1.9013627596568	0	0	0	0	0	0	0	0	0	-3.57240502723338	-4.11503070384248	-5.42555110294139	0	0	0	0	0	0	0
ENSG00000003056	0	0	-1.81142686968187	0	-1.76690774171696	-1.51618159941408	0	-1.50284643212567	0	0	-3.22143054084122	-2.17721916884539	-1.95222194501205	-3.43967494546732	-1.38355120327844	-1.5790605159656	-1.57117891246415	-0.840108301983645	0	-2.80993939362243	-3.74749329414952	-1.10658101970422	-1.38532946593227	-1.03849963540427	0	0	0	0	0	0
ENSG00000003756	-2.81578023099262	-1.67178576434094	0	-2.89802603353843	0	0	-2.08657228908294	-2.74503855957367	0	-1.91382134210174	-0.947962203418521	-2.39225474772741	0	0	0	0	-2.40223604723391	0	0	-0.837493783856794	0	-3.15382234508197	-2.69492194713007	0	-7.61075332729108	-1.66900077164084	0	0	-1.37920592058348	0
ENSG00000004399	0	0	0	0	0	0	0.466346639569741	0.317903661458274	0.197599292574637	-0.0207717623798251	-0.117521006329426	-0.306197956239004	0	0	0	0	0	0	-2.35677264649703	-0.442859752001149	-0.741612718572021	-3.27705436578652	0	0	-0.141607035731797	-0.399429909892522	-0.541674792348809	-0.323615247150021	-1.1678180111216	-1.46619415364304
ENSG00000004455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-2.09353311259772	0	0	0	0	0	0	0	0
ENSG00000004468	-0.863510681120372	-1.97269360929503	-1.48793559983983	-1.51028040970319	-3.35286186991445	-2.20000016221589	0	0	0	0	0	0	-0.879423659037103	-2.442676322204	-2.15853346964386	-2.6534024566988	0	0	0	0	0	0	0	0	0	0	0	-2.83711738652329	0	0
ENSG00000004487	0	0	0	-4.83701793801392	0	-2.95544352854856	-2.43128353384466	0	-2.72256791097019	-3.40914096528406	-3.07066423104109	-2.6080514131512	-2.09396554006883	0	-2.10174732557238	-2.64178949034929	-2.09426949511538	-1.52908940300936	0	0	-2.31497016432625	0	0	-2.30603599550007	0	0	0	0	0	0
ENSG00000004534	0	-1.58946195873869	0	-1.61879974565045	-1.07996969508031	-1.32733864684094	0	0	0	0	-0.639111307115762	0	0	0	0	0	-1.04003162239221	0	0	0	0	0	-2.21378437309668	0	0	0	0	0	0	0
ENSG00000004700	0	-4.94322216192867	-3.55302641867138	0	-1.73060939477407	-1.86098178305336	-4.95817011765006	0	-1.54479482810824	0	0	0	0	0	0	0	0	0	0	-1.57404959690512	-1.28819113768061	-0.894879179041256	-1.02057924393521	-1.44109477429639	0	0	-3.07054109071176	-3.14308177039675	0	0
ENSG00000004766	0	0	0	0	0	0	-3.74882681169871	0	0	0	0	0	-2.26197099888694	0	-4.09692726143645	-2.52128706526689	0	-2.48506694693657	-3.08731128872997	0	0	0	0	0	0	0	-1.75075541334198	0	0	0
ENSG00000004897	-1.91353501048283	-2.57406105300511	-1.83345632182152	0	0	-1.83959811194262	0	0	0	0	0	0	0	0	0	-2.40711314279807	0	0	0	-2.177414186202	-2.42670575504826	-0.935462653112241	-1.49896152544268	-1.15828970383268	-2.3714026577963	-2.12708898699247	-1.35566963151752	-1.66633419858042	0	0
