[GSE14699_NAIVE_VS_DELETIONAL_TOLERANCE_CD8_TCELL_DN,GSE14699_NAIVE_VS_DELETIONAL_TOLERANCE_CD8_TCELL_DN] was killed by [GSE21033_1H_VS_12H_POLYIC_STIM_DC_UP,GSE21033_1H_VS_12H_POLYIC_STIM_DC_UP]
[GSE43863_TH1_VS_LY6C_INT_CXCR5POS_EFFECTOR_CD4_TCELL_UP,GSE43863_TH1_VS_LY6C_INT_CXCR5POS_EFFECTOR_CD4_TCELL_UP] was killed by [GSE37532_WT_VS_PPARG_KO_LN_TCONV_DN,GSE37532_WT_VS_PPARG_KO_LN_TCONV_DN]
[GSE41978_KLRG1_HIGH_VS_LOW_EFFECTOR_CD8_TCELL_DN,GSE41978_KLRG1_HIGH_VS_LOW_EFFECTOR_CD8_TCELL_DN] was killed by [GSE42088_UNINF_VS_LEISHMANIA_INF_DC_2H_DN,GSE42088_UNINF_VS_LEISHMANIA_INF_DC_2H_DN]
[GSE46606_IRF4MID_VS_WT_CD40L_IL2_IL5_DAY1_STIMULATED_BCELL_DN,GSE46606_IRF4MID_VS_WT_CD40L_IL2_IL5_DAY1_STIMULATED_BCELL_DN] was killed by [GSE5542_UNTREATED_VS_IFNA_TREATED_EPITHELIAL_CELLS_24H_UP,GSE5542_UNTREATED_VS_IFNA_TREATED_EPITHELIAL_CELLS_24H_UP]
[GSE29615_CTRL_VS_LAIV_FLU_VACCINE_PBMC_UP,GSE29615_CTRL_VS_LAIV_FLU_VACCINE_PBMC_UP] was killed by [GSE29617_CTRL_VS_TIV_FLU_VACCINE_PBMC_2008_UP,GSE29617_CTRL_VS_TIV_FLU_VACCINE_PBMC_2008_UP]
[GSE2405_0H_VS_24H_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_UP,GSE2405_0H_VS_24H_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_UP] was killed by [GSE42088_UNINF_VS_LEISHMANIA_INF_DC_2H_DN,GSE42088_UNINF_VS_LEISHMANIA_INF_DC_2H_DN]
[GSE27241_CTRL_VS_DIGOXIN_TREATED_RORGT_KO_CD4_TCELL_IN_TH17_POLARIZING_CONDITIONS_UP,GSE27241_CTRL_VS_DIGOXIN_TREATED_RORGT_KO_CD4_TCELL_IN_TH17_POLARIZING_CONDITIONS_UP] was killed by [GSE37532_WT_VS_PPARG_KO_LN_TCONV_DN,GSE37532_WT_VS_PPARG_KO_LN_TCONV_DN]
[GSE3982_BCELL_VS_NKCELL_DN,GSE3982_BCELL_VS_NKCELL_DN] was killed by [GSE5542_UNTREATED_VS_IFNA_TREATED_EPITHELIAL_CELLS_24H_UP,GSE5542_UNTREATED_VS_IFNA_TREATED_EPITHELIAL_CELLS_24H_UP]
[GSE13485_DAY3_VS_DAY21_YF17D_VACCINE_PBMC_UP,GSE13485_DAY3_VS_DAY21_YF17D_VACCINE_PBMC_UP] was killed by [GSE29617_CTRL_VS_TIV_FLU_VACCINE_PBMC_2008_UP,GSE29617_CTRL_VS_TIV_FLU_VACCINE_PBMC_2008_UP]
[GSE15930_STIM_VS_STIM_AND_TRICHOSTATINA_72H_CD8_T_CELL_UP,GSE15930_STIM_VS_STIM_AND_TRICHOSTATINA_72H_CD8_T_CELL_UP] was killed by [GSE29617_CTRL_VS_TIV_FLU_VACCINE_PBMC_2008_UP,GSE29617_CTRL_VS_TIV_FLU_VACCINE_PBMC_2008_UP]
[GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_10H_DN,GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_10H_DN] was killed by [GSE40666_UNTREATED_VS_IFNA_STIM_STAT1_KO_CD8_TCELL_90MIN_UP,GSE40666_UNTREATED_VS_IFNA_STIM_STAT1_KO_CD8_TCELL_90MIN_UP]
[GSE4984_GALECTIN1_VS_LPS_STIM_DC_UP,GSE4984_GALECTIN1_VS_LPS_STIM_DC_UP] was killed by [GSE6092_IFNG_VS_IFNG_AND_B_BURGDORFERI_INF_ENDOTHELIAL_CELL_UP,GSE6092_IFNG_VS_IFNG_AND_B_BURGDORFERI_INF_ENDOTHELIAL_CELL_UP]
[GSE13547_WT_VS_ZFX_KO_BCELL_DN,GSE13547_WT_VS_ZFX_KO_BCELL_DN] was killed by [GSE37532_WT_VS_PPARG_KO_LN_TCONV_DN,GSE37532_WT_VS_PPARG_KO_LN_TCONV_DN]
[GSE23505_UNTREATED_VS_4DAY_IL6_IL1_IL23_TREATED_CD4_TCELL_DN,GSE23505_UNTREATED_VS_4DAY_IL6_IL1_IL23_TREATED_CD4_TCELL_DN] was killed by [GSE6092_IFNG_VS_IFNG_AND_B_BURGDORFERI_INF_ENDOTHELIAL_CELL_UP,GSE6092_IFNG_VS_IFNG_AND_B_BURGDORFERI_INF_ENDOTHELIAL_CELL_UP]
[GSE34205_HEALTHY_VS_FLU_INF_INFANT_PBMC_DN,GSE34205_HEALTHY_VS_FLU_INF_INFANT_PBMC_DN] was killed by [GSE29617_CTRL_VS_TIV_FLU_VACCINE_PBMC_2008_UP,GSE29617_CTRL_VS_TIV_FLU_VACCINE_PBMC_2008_UP]
[GSE22886_NAIVE_TCELL_VS_NEUTROPHIL_UP,GSE22886_NAIVE_TCELL_VS_NEUTROPHIL_UP] was killed by [GSE42088_UNINF_VS_LEISHMANIA_INF_DC_2H_DN,GSE42088_UNINF_VS_LEISHMANIA_INF_DC_2H_DN]
[GSE42724_NAIVE_VS_B1_BCELL_DN,GSE42724_NAIVE_VS_B1_BCELL_DN] was killed by [GSE42088_UNINF_VS_LEISHMANIA_INF_DC_2H_DN,GSE42088_UNINF_VS_LEISHMANIA_INF_DC_2H_DN]
[GSE11057_NAIVE_VS_EFF_MEMORY_CD4_TCELL_UP,GSE11057_NAIVE_VS_EFF_MEMORY_CD4_TCELL_UP] was killed by [GSE11057_NAIVE_VS_MEMORY_CD4_TCELL_UP,GSE11057_NAIVE_VS_MEMORY_CD4_TCELL_UP]
