	T0	GSK_Rep1	GSK_Rep2	DMSO_Rep1	DMSO_Rep2
A1BG_-_58858617.23-P1	0	0	0	1	0
A1BG_-_58858788.23-P1	0	1	1	5	2
A1BG_-_58864354.23-P2	3	0	0	0	4
A1BG_-_58864360.23-P2	5	0	7	0	1
A1BG_-_58864840.23-P2	1	0	0	0	0
A1BG_+_58858964.23-P1	1	0	0	0	0
A1CF_-_52645011.23-P1P2	0	1	0	0	0
A1CF_+_52645000.23-P1P2	0	0	0	1	1
A1CF_+_52645339.23-P1P2	9	9	5	5	16
A2M_-_9268273.23-P1P2	23	34	49	44	68
A2M_+_9268141.23-P1P2	4	8	2	0	1
A2M_+_9268487.23-P1P2	0	0	0	0	1
A2ML1_-_8975664.23-P1P2	0	1	1	2	0
A2ML1_+_8975278.23-P1P2	0	0	1	0	0
A3GALT2_+_33786659.23-ENST00000442999.3	0	0	1	1	0
A4GALT_-_43116431.23-P1P2	2	0	0	3	1
A4GALT_-_43116434.23-P1P2	8	0	7	0	1
A4GALT_+_43116425.23-P1P2	16	3	0	5	5
AAAS_-_53715371.23-P1P2	2	16	0	1	8
AAAS_-_53715438.23-P1P2	0	0	4	0	0
AACS_-_125550169.23-P1P2	1	0	0	0	0
AACS_+_125549983.23-P1P2	0	1	0	0	0
AACS_+_125549999.23-P1P2	0	0	1	0	0
AACS_+_125550002.23-P1P2	0	1	0	0	0
AADAC_-_151531939.23-P1P2	0	1	0	0	0
AADAC_+_151532371.23-P1P2	0	1	0	0	0
AADACL2_-_151451828.23-P1P2	15	2	17	18	13
AADACL2_+_151451926.23-P1P2	13	6	5	46	3
AADACL2_+_151452121.23-P1P2	0	0	0	1	0
AADACL4_-_12704768.23-P1P2	0	0	0	1	0
AADACL4_+_12704573.23-P1P2	1	0	0	0	0
AADACL4_+_12704601.23-P1P2	10	7	1	30	9
AADACL4_+_12704653.23-P1P2	21	1	2	13	3
AADAT_-_171011368.23-P1P2	0	1	0	0	0
AADAT_+_171010929.23-P1P2	0	0	1	0	0
AAED1_-_99417574.23-P1P2	2	1	0	2	4
AAED1_+_99417525.23-P1P2	0	1	0	0	0
AAK1_-_69870541.23-P1P2	0	0	0	1	0
AAK1_-_69870791.23-P1P2	1	0	0	2	0
AAK1_+_69870701.23-P1P2	5	11	0	7	17
AAMDC_-_77532187.23-P1P2	0	0	0	1	0
AAMP_-_219134415.23-P1P2	1	1	0	0	0
AAMP_-_219134424.23-P1P2	18	18	21	7	46
AAMP_-_219134469.23-P1P2	21	9	3	97	29
AANAT_-_74464175.23-P1P2	35	64	62	90	112
AANAT_+_74463735.23-P1P2	22	29	21	9	17
AANAT_+_74464088.23-P1P2	0	0	1	0	0
AAR2_+_34824681.23-P1P2	0	0	1	1	0
AARD_-_117950494.23-P1P2	6	16	9	4	14
AARD_+_117950477.23-P1P2	0	1	1	0	0
AARD_+_117950882.23-P1P2	1	0	0	0	1
AARD_+_117950890.23-P1P2	0	0	1	2	1
