gene	rho	combined.z	pv
1	A1BG	1.19960711199421	1.28921364267326	0.197323823395252
2	A1CF	-1.68708738921383	-0.297440296604046	0.766130382718695
3	A2M	-0.458778839482294	0.441799743344312	0.658634124311795
4	AADACL2	-1.71790100080378	-0.446789600968326	0.655026980346266
5	AADACL4	-2.16513701470166	-1.54465048013696	0.12243082888009
6	AAMP	-1.02492611247664	-0.09559415113752	0.923842910643192
7	AANAT	-1.3391634505131	-0.790024345964751	0.429513550236559
8	AARD	-1.37755946462427	-0.0991352997490535	0.921030844976479
9	AARSD1	-2.09774405164345	-0.576418180570382	0.564332558690208
10	AASDH	-2.40457781524058	-0.798983441822856	0.42430001325545
11	ABAT	-0.776123444807027	-0.403816894964355	0.686347371702803
12	ABCA2	-0.655804713499283	0.331023569392373	0.740626682441646
13	ABCA3	-3.22599473907517	-1.47734518832843	0.139583130735292
14	ABCB10	0.109362966857324	0.747876538514138	0.454534630202119
15	ABCB11	-1.73142177445408	-0.326636267570411	0.74394300926988
16	ABCB4	-0.908473121818256	0.185039040263681	0.853198414573146
17	ABCB6	-0.849560785839363	0.306603049760286	0.759145532011185
18	ABCB9	-1.8168421282661	-0.383488820884293	0.701357357532742
19	ABCC12	-2.00048644240972	-0.508534112213501	0.611078822581275
20	ABCC4	-1.00866265022783	0.125845928614368	0.899853884973773
21	ABCC5	-0.65587808082242	0.330981835075516	0.740658206499301
22	ABCC8	-5.16733937535023	NA	NA
23	ABCD1	-1.04754334921805	0.102664718788624	0.91822907596627
24	ABCD3	3.04729420324234	2.10441088317427	0.035342620886457
25	ABCF1	-0.101507281625232	0.636449294492065	0.524483620122238
26	ABCG2	1.62360556527169	1.486287847469	0.137202999746583
27	ABCG4	0.0949973632379692	0.74036234208197	0.459080162398375
28	ABHD11	-1.63555708857375	-0.263765118989376	0.791960913983605
29	ABHD14A	-1.41099799653113	-0.171173470787962	0.864087366852583
30	ABHD14B	-1.08148036785602	0.0823327909431375	0.934382079526068
31	ABHD17C	0.113845607326928	0.750219018464037	0.453122806272455
32	ABHD5	-0.76616741691028	-0.583346841938812	0.559659835219072
33	ABI1	-1.25645312000725	0.0175101663511373	0.986029622515072
34	ABI2	-0.853764980171061	0.31801732778183	0.750471793045881
35	ABI3BP	-1.30235563760024	-0.896355726919317	0.370062804921772
36	ABLIM1	-1.42331253458558	-0.127866718703053	0.898254449425826
37	ABO	-2.29635623773795	-0.718943080749201	0.472175990950897
38	ABRA	0.00763640246769498	0.69442745946362	0.487414178159383
39	ABTB1	-3.31132927544111	-1.55711729445405	0.119442639663404
40	ABTB2	-1.42599659536786	-0.129558237114984	0.896915946629294
41	ACAA1	-0.597056842926445	0.364324152771661	0.71561596609996
42	ACAA2	-1.28963798201624	-0.157367296803448	0.87495538566325
43	ACACA	-1.76874284921598	-0.351377311910839	0.72530530107621
44	ACAD9	-0.991609997466856	0.135975499343151	0.891840649739823
45	ACADL	-1.18115092205329	0.00886538303800203	0.992926540404941
46	ACADM	-2.22095590287277	-0.664193422310912	0.506566522846098
47	ACADS	0.354772375484738	0.874586171407598	0.381799114744302
48	ACADSB	-2.73567690110263	-1.0557739732548	0.291071491719881
49	ACBD3	-0.106110244046963	0.633989453135059	0.526087705168465
50	ACBD4	-1.67662900064741	-0.290583339392403	0.771370003738486
51	ACBD6	-0.224211137804141	0.570458725841792	0.568366608604102
52	ACCS	-2.96710693664113	-1.24770002036757	0.212140933847854
53	ACE	-1.15458362909719	0.0382189479918785	0.969513113619212
54	ACER3	-2.30226895543634	-0.723270987374067	0.469513413654567
55	ACKR3	-1.05507506485191	0.0956154792306749	0.923825970881215
56	ACN9	0.0751747956453921	0.729975671594393	0.465405055589037
57	ACOT1	-2.15503727297471	-0.694028786640494	0.487664156278088
58	ACOT7	1.42628004523452	1.39540626183277	0.162893364109975
59	ACOT9	-0.610039356373245	0.356985266123048	0.721102835926219
60	ACOX2	0.545524215254357	1.17906763171632	0.23837124625319
61	ACOX3	0.203686373687792	0.796943773899037	0.425483686635329
62	ACPL2	-1.02436087790552	0.116500781628484	0.907255666666964
63	ACR	-2.84888220619106	-1.14823566881866	0.250871288165566
64	ACSF2	0.718843450727689	1.96730223633149	0.0491483773951602
65	ACSL4	-1.08134842208641	0.0824120196503097	0.934319078265326
66	ACSL6	-1.94918419979254	-0.473200027052641	0.636070478474934
67	ACSM3	-0.928651990626325	0.173178887316902	0.862510818373325
68	ACSS3	-1.50387498737737	-0.178933734885617	0.857989733628127
69	ACTA1	-1.80629274047991	-0.37642396024512	0.706601735969518
70	ACTA2	-2.20231676608053	-0.650782757584353	0.515186732140736
71	ACTG1	1.27067494887761	1.32272021382914	0.185928438799857
72	ACTG2	-0.526557312263003	0.403980690501457	0.686226918604188
73	ACTL6B	-0.978356409447508	0.143832729473324	0.885632557205991
74	ACTL8	-1.4736934233163	-0.276795105608574	0.781937439557925
75	ACTN3	-2.23856054007061	-0.676904253305075	0.498466705313232
76	ACTN4	-0.954620291310335	0.157870475920585	0.874558863084421
77	ACTR1B	-1.64902061255479	-0.130658051608012	0.896045817752383
78	ACTR2	0.422555105450617	1.18633037102351	0.235491857213704
79	ACTR5	-3.12990676609581	-2.20044485875201	0.0277753481016712
80	ACTRT1	-1.13655136512047	0.0491411698158898	0.960806794253927
81	ACTRT3	0.0198722485099045	0.700886096185173	0.483374102064645
82	ACVR1B	-3.98555496040745	-2.29144413622824	0.0219377393552128
83	ACVRL1	-0.356088890405207	0.498541297419654	0.618102568944433
84	ADA	-1.73630889846147	-0.329867481866948	0.741500095188482
85	ADAD1	-1.00578584285357	0.127556394636676	0.898500041186857
86	ADAM11	-1.53469785892704	-0.0408392253281556	0.967424068140109
87	ADAM12	-2.35548439709749	-2.2493905952085	0.0244876564330346
88	ADAM15	-2.71752851028734	-1.04118850443547	0.297788069864951
89	ADAM22	-0.626134507558025	0.492029829603458	0.62269825624873
90	ADAM23	-2.2558391510888	-0.689422142432725	0.490557653209253
91	ADAM30	-2.74497438953538	-1.06327093552912	0.287659101714424
92	ADAM32	-2.27162711016326	-1.71615129345468	0.0861343551665744
93	ADAM7	-0.693838626562352	0.309338625860059	0.757063951637796
94	ADAM9	0.568111587114323	0.982309635236297	0.325947329154768
95	ADAMTS1	-1.3296128580157	-0.0692314205682806	0.944805413103946
96	ADAMTS12	-2.4835539951287	-0.858538810733029	0.390595009358043
97	ADAMTS13	-0.80857799225038	-0.118528152758152	0.905649189643486
98	ADAMTS14	1.13410145562182	1.2581534469944	0.208336267219634
99	ADAMTS15	0.209314478931047	0.799856860096776	0.423793734756745
100	ADAMTS16	0.104586163236967	1.47805212445772	0.139393827086389
101	ADAMTS17	-2.18601882069082	-0.639095847685956	0.522760581005758
102	ADAMTS18	-1.99823380420016	-0.506975873228825	0.612171747302841
103	ADAMTS2	-2.20068170254019	-0.649608640353403	0.515945050458771
104	ADAMTS3	-0.672816882408892	0.426144169236921	0.670002796915645
105	ADAMTS5	-2.10523909079276	-1.09751518069836	0.272416248313782
106	ADAMTS7	-0.665385929897058	0.0863277853064494	0.931205851439045
107	ADAMTSL1	-0.911581296568996	0.183214211030277	0.85462994430934
108	ADAP1	-3.8371909497434	-2.10947244205131	0.0349038222911931
109	ADARB1	-0.653713848443653	0.332212783422092	0.739728591642242
110	ADARB2	-2.3055921862859	-0.725705722330076	0.468019193037064
111	ADCK1	0.77041819141204	1.08250380498605	0.279028725591015
112	ADCY1	1.42467358243842	2.06461182073428	0.0389597438995054
113	ADCY10	2.38931460380288	1.82637941622894	0.0677931302027483
114	ADCY7	-1.63555708857375	-0.263765118989376	0.791960913983605
115	ADCY8	-1.54924643999231	-0.207968322572517	0.835253701489209
116	ADCYAP1	0.660256026927336	1.02817477086238	0.303867623804999
117	ADD2	-2.76871185750707	-1.08248854578875	0.279035502303403
118	ADD3	1.13877538813638	1.26037529788099	0.207534008420341
119	ADH4	-2.48902914490897	-0.86270485373656	0.388299763062572
120	ADIPOQ	0.405786054817425	0.90054455118534	0.367830527633237
121	ADK	-0.812076515718003	0.241277163135972	0.809340309296753
122	ADM	1.78219748024565	1.55832365229267	0.119156544857285
123	ADNP2	-0.202654854834595	0.582115189014009	0.56048909483603
124	ADORA2A	-0.901236961570189	-0.0625979120067163	0.950086692135778
125	ADORA3	-2.54498236902146	-0.905565222110234	0.365166023525027
126	ADRA1B	-3.28814629632193	-1.53522492700577	0.124728587369028
127	ADRA2B	-0.106110244046963	0.633989453135059	0.526087705168465
128	ADRA2C	1.51265670069123	2.15617585102337	0.0310699364595491
129	ADRB1	-1.86864453568397	-0.418362943890887	0.675681775368005
130	ADSL	-1.13811486400785	0.0481952159021601	0.961560662915951
131	ADSS	-0.985257295850319	0.139743322761008	0.888862795610015
132	ADSSL1	-3.22252402968281	-1.47414689952586	0.140442043320042
133	AEBP2	-1.66255753982785	-0.8317885935419	0.40552828339114
134	AES	-0.688672251636207	0.312290091399559	0.754820069693615
135	AFF1	-3.04832040144937	-1.31789155686096	0.187539952498061
136	AFF3	-2.68510293811236	-1.01528570420033	0.309969656953649
137	AFM	-2.56834606524765	-0.923618736473678	0.355684855200057
138	AGAP1	-1.20094203641225	0.0100150087659666	0.992009312707743
139	AGBL1	-1.55208337642598	-0.824022291172884	0.409926892201968
140	AGBL2	-0.79327398294881	-0.244236033306351	0.807048021361076
141	AGBL3	-0.974840037940574	0.145915083412957	0.883988424192753
142	AGBL5	0.183396373148022	0.786428137120475	0.431616704674754
143	AGER	-0.558399466555747	0.0493356548879327	0.960651805610682
144	AGGF1	-0.20849562803022	0.578959517947827	0.562616488791415
145	AGMO	-1.48462186730069	-0.166673393981586	0.867627041195416
146	AGO3	-2.1023943582204	-1.27969013258255	0.200654136300322
147	AGO4	-1.30420298381164	-0.0534671043895262	0.957359740037968
148	AGPAT1	-1.59714708316217	-0.326274328616081	0.744216809204703
149	AGPAT5	0.159147114302427	0.773832457838933	0.439029875507991
150	AGPAT9	-1.55977129343969	-0.588136745919476	0.556440510380112
151	AGPS	-0.74165720816441	0.281932155535372	0.777995532681302
152	AGR2	0.390472660408883	0.892765707621943	0.371982654195014
153	AGRN	-2.71507865896269	-1.03922447562032	0.298700349946656
154	AGRP	0.85532726100293	1.12401339869414	0.261007341858969
155	AGTPBP1	0.064713857206615	0.724485824001876	0.46876752709106
156	AGTRAP	1.32011116174611	1.34591262480534	0.17833069681808
157	AHCYL1	-0.293835929387683	0.532620884233766	0.594296042427739
158	AHCYL2	-0.765789083480443	0.268040127965253	0.788668430826367
159	AHDC1	0.21827856133058	0.487289396472292	0.626053260966549
160	AHNAK2	-0.0688501452708767	0.653866949144285	0.513197528992749
161	AHR	-0.087281181017699	0.644044180847623	0.519546785014393
162	AHSA2	-0.651874462084297	0.333258717223313	0.738938998800724
163	AHSP	-2.67622690229972	-1.00822977228945	0.313344168223179
164	AIFM3	0.132509353585367	0.863740028465064	0.387730719121727
165	AIM1	-1.92596893702223	-0.775046722419647	0.438312051681067
166	AIM2	0.206856896841768	0.798585025972159	0.424531073119714
167	AIP	-1.96237476658551	-0.482254430885755	0.629625214400255
168	AK1	-0.986790417388047	0.138834306637662	0.889581083721557
169	AK4	1.62360556527169	1.486287847469	0.137202999746583
170	AK5	-2.66827812367345	-1.00192342803868	0.31638057649915
171	AKAP1	-1.32523349164596	-0.0490749349662008	0.96085957833242
172	AKAP12	-1.69202188637933	-0.300679551704292	0.763658863014791
173	AKAP13	-2.60512948588032	-0.952234022881692	0.340978309791167
174	AKAP14	0.125901610359482	0.756513797823074	0.449341202955511
175	AKAP17A	-1.11427014574734	0.0625999969674694	0.950085031834026
176	AKAP3	-1.07715446475483	0.084929609855929	0.932317351563729
177	AKAP4	0.653541473649088	1.02484570767212	0.305435995550895
178	AKAP5	0.135040965309941	0.761280587045717	0.446489493193705
179	AKAP7	-1.0798765340999	0.083295740512004	0.933616387105534
180	AKAP8L	-0.00618995437366332	0.687119391188198	0.492007495532877
181	AKIP1	-0.380915690448256	0.484883730797772	0.627758823593058
182	AKNA	-1.54664841244752	-0.599961026552325	0.548532209627079
