	logFC	SE	t.value	p.value
A1BG_-_58858788.23-P1	1.19960711199421	0.284931433759762	4.21016065572341	0.0520505512386324
A1CF_+_52645339.23-P1P2	-1.68708738921383	1.54092403783377	-1.09485435218827	0.387834030962606
A2M_-_9268273.23-P1P2	-0.458778839482294	0.845546315133069	-0.542582743572235	0.641794882889794
AADACL2_-_151451828.23-P1P2	-1.66309862125879	1.59746299794801	-1.04108741385252	0.407157052649965
AADACL2_+_151451926.23-P1P2	-1.77270338034877	1.86294758528006	-0.95155837681943	0.441751279356876
AADACL4_+_12704601.23-P1P2	-0.994057742043644	1.65951387178078	-0.599005382809452	0.609982153657872
AADACL4_+_12704653.23-P1P2	-3.33621628735968	0.815366958502654	-4.09167461664909	0.0548615600411428
AAMP_-_219134424.23-P1P2	-1.67750140703879	2.05506397220435	-0.816276977129541	0.50010086965745
AAMP_-_219134469.23-P1P2	-0.372350817914491	1.18350541931588	-0.314616909933312	0.782841157612291
AANAT_-_74464175.23-P1P2	-0.184006325122679	0.654737261369882	-0.28103841949928	0.80508724150991
AANAT_+_74463735.23-P1P2	-2.49432057590352	1.06481602874138	-2.34248969641435	0.143916176625833
AARD_-_117950494.23-P1P2	-1.37755946462427	1.60091912262435	-0.860480361035397	0.480205251697711
AARSD1_-_41116425.23-P1	-2.09774405164345	0.766401550736349	-2.7371344037965	0.111577727110646
AASDH_-_57253356.23-P1P2	-2.40457781524058	1.86955813522886	-1.28617440128238	0.327176649721245
ABAT_-_8768523.23-P1	-2.29635623773795	0.59951865923023	-3.83033322213261	0.061898486956573
ABAT_+_8807450.23-P2	-1.09791116145365	1.01923404313322	-1.0771923964378	0.394064862409841
ABAT_+_8807464.23-P2	1.06589706477052	1.26427710185727	0.843088167305	0.487935765618261
ABCA2_+_139922272.23-P1P2	-0.655804713499283	0.443453066598142	-1.47885934926587	0.277273306279378
ABCA3_-_2390323.23-P1P2	-3.22599473907517	2.26104754658389	-1.42676996949895	0.289774927813045
ABCB10_-_229694467.23-P1P2	0.109362966857324	1.65921883730767	0.0659123223521144	0.953443487897372
ABCB11_-_169887784.23-P1P2	-1.73142177445408	3.27360989232826	-0.528902902728783	0.649705390190667
ABCB4_+_87105008.23-P1P2	-0.908473121818256	1.35420553959862	-0.670853201566079	0.571411461076011
ABCB6_-_220083181.23-P1P2	-0.767959452306565	0.455164764407755	-1.68721199960592	0.233614484418339
ABCB6_-_220083604.23-P1P2	-0.931162119372161	0.5028676615455	-1.85170411736232	0.205270479060529
ABCB9_-_123465738.23-P2	-1.8168421282661	0.689672433375375	-2.63435515230638	0.118931315978575
ABCC12_-_48180679.23-ENST00000311303.3	-2.00048644240972	1.93466212271767	-1.03402367727114	0.409775086256416
ABCC4_+_95953641.23-P1P2	-1.00866265022783	1.42138065191737	-0.709635838131882	0.551508164662193
ABCC5_-_183735467.23-P1P2	-0.65587808082242	0.232743605170191	-2.81802836362707	0.106233396647303
ABCC8_+_17498387.23-P1P2	-5.16733937535023	0.525368488008739	-9.83564772781782	0.0101794216356172
ABCD1_+_152990711.23-P1P2	-1.04754334921805	1.01914213317146	-1.02786776752935	0.412071945258148
ABCD3_+_94884032.23-P1P2	3.04729420324234	0.446770618674687	6.82071308154041	0.0208260157435136
ABCF1_+_30546315.23-P2	-0.101507281625232	0.816413877239365	-0.124333116394923	0.912421023559904
ABCG2_-_89079989.23-P1P2	1.62360556527169	0.296020723871633	5.48476993109357	0.0316709704845633
ABCG4_-_119019811.23-P1P2	0.0949973632379692	0.12365896723397	0.76822057763291	0.522665966280835
ABHD11_+_73152656.23-P1P2	-1.63555708857375	0.754081056823077	-2.16894069115634	0.162334100336792
ABHD14A_-_52009122.23-P1P2	-1.25350295376132	1.43332978477906	-0.874539109612193	0.474048242692067
ABHD14A_+_52009194.23-P1P2	-1.56849303930094	1.80171186005093	-0.870557092995214	0.475783857357183
ABHD14B_+_52016945.23-P2	-1.08148036785602	1.04118628633482	-1.03870016542672	0.408039746273985
ABHD17C_+_80987703.23-P1P2	0.113845607326928	0.769661706296175	0.147916424054386	0.895974744917678
ABHD5_+_43732395.23-P1P2	-0.106998876768453	1.52798434268476	-0.07002616046474	0.950544618091372
ABHD5_+_43732521.23-P1P2	-2.24631573132385	2.14958630182327	-1.04499909094998	0.40571530224786
ABHD5_+_43732806.23-P1P2	0.0548123573614611	0.701456989338539	0.0781407245127718	0.94483031577862
ABI1_-_27149855.23-P1P2	-1.0645469088315	0.561892027353589	-1.89457557147647	0.198638094960858
ABI1_+_27149800.23-P1P2	-1.448359331183	1.50759598811227	-0.960707870413317	0.438072946544379
ABI2_-_204193058.23-P1P2	-0.583046825150702	0.180947070439261	-3.22219543944711	0.084313211295182
ABI2_-_204193288.23-P1P2	-1.12448313519142	0.401719875498596	-2.7991722684763	0.107446253017262
ABI3BP_-_100712320.23-P1P2	-2.54358833946097	0.251036104254048	-10.1323606300346	0.00960040058151615
ABI3BP_+_100712307.23-P1P2	-0.0611229357395181	0.491978766784538	-0.124238971000728	0.912486830544934
ABLIM1_+_116418018.23-ENST00000277895.5	-1.42331253458558	1.36479840793392	-1.0428738239373	0.40649791568969
ABO_-_136150600.23-P1	-2.29635623773795	1.32662273755214	-1.73097910410848	0.225595149705103
ABRA_-_107782347.23-P1P2	0.00763640246769498	1.32208893628902	0.00577601268574988	0.995915776326342
ABTB1_+_127391828.23-P1P2	-3.31132927544111	1.91901671739274	-1.72553435591745	0.226572986094499
ABTB2_-_34379310.23-P1P2	-1.42599659536786	1.11603572396389	-1.27773382585197	0.329604053185065
ACAA1_+_38178517.23-P1P2	-0.597056842926445	0.957731747023932	-0.623407175111139	0.59663634485953
ACAA2_-_47339855.23-P1P2	-1.01453827932358	1.13052001893579	-0.897408504343525	0.464206707918112
ACAA2_-_47339858.23-P1P2	-1.81006090304557	1.53173317650075	-1.18170770915902	0.358792585206502
ACAA2_-_47339876.23-P1P2	-1.04431476367955	1.41483624521587	-0.738117055744651	0.537302684102323
ACACA_+_35715534.23-P1P2	-1.76874284921598	0.37864574242367	-4.67123395576679	0.0429010251368678
ACAD9_-_128598528.23-P1P2	-0.991609997466856	0.554933396329175	-1.78689911983357	0.215865576734247
ACADL_-_211090030.23-P1P2	-1.31410340838316	0.752369012980946	-1.74662085454128	0.222816583628988
ACADL_-_211090095.23-P1P2	-1.04819843572343	0.872287134455484	-1.20166673830143	0.352481348147339
ACADM_+_76190432.23-P1P2	-2.22095590287277	0.992035633953024	-2.23878641740196	0.154552563342441
ACADS_-_121163671.23-P1P2	0.354772375484738	0.293019736414561	1.21074566452688	0.349653823530825
ACADSB_-_124768552.23-P1P2	-2.73567690110263	0.623977160723431	-4.38425806792499	0.0482873717622588
ACBD3_-_226373992.23-P1P2	-0.106110244046963	0.461866581148609	-0.229742199106674	0.839649834093165
ACBD4_+_43210042.23-P2	-1.67662900064741	1.42593235659315	-1.175812438013	0.3606820362882
ACBD6_+_180471354.23-P1P2	-0.224211137804141	0.701585501518617	-0.319577781067062	0.779582132575821
ACCS_-_44088090.23-P1P2	-2.96710693664113	2.14287640134658	-1.38463745962045	0.300404438424096
ACE_-_61562443.23-P2	-1.15458362909719	0.832960221025269	-1.38612096946963	0.300022043804074
ACER3_-_76572003.23-P1P2	-2.30226895543634	0.881390826588106	-2.61208635940597	0.120614073409561
ACKR3_-_237476493.23-P2	-0.787560182018797	0.754081056823076	-1.04439724999427	0.405936754521295
ACKR3_+_237478950.23-P1	-1.32258994768502	0.903858639221204	-1.46327079290253	0.280942492892983
ACN9_+_96747240.23-P1P2	0.0751747956453921	0.738607559190641	0.101779077007779	0.928216984085652
ACOT1_-_74004076.23-P1P2	-1.88003176662719	0.913789654075183	-2.0574010202927	0.175911397738449
ACOT1_+_74003818.23-P1P2	-2.43004277932223	3.03096795654332	-0.801738195244262	0.506824232956717
ACOT7_-_6453388.23-P1P2	1.42628004523452	0.0699850968756503	20.3797681064689	0.0023990345463871
ACOT9_+_23761360.23-P1P2	-0.610039356373245	0.535676451297102	-1.13882056023945	0.372806420364244
ACOX2_+_58512441.23-P2	-2.52024058829381	0.39456077118568	-6.38745859280517	0.0236442138784351
ACOX2_+_58522520.23-P1	3.61128901880252	0.491687942000917	7.34467679664145	0.0180376069222323
ACOX3_-_8442435.23-P2	0.203686373687792	0.361260982910641	0.563820571063925	0.629665505838584
ACPL2_-_140950647.23-P1P2	-1.02436087790552	0.622118849704452	-1.64656781962508	0.241397067646856
ACR_-_51176666.23-P1P2	-2.84888220619106	2.80414199847203	-1.01595504355464	0.416557447602249
ACSF2_-_48503638.23-P1P2	-0.654659588099503	2.54343221079607	-0.257392190489953	0.820937825224219
ACSF2_+_48503620.23-P1P2	1.05485380339672	1.00000193160681	1.05485176583786	0.40210909515164
ACSF2_+_48503695.23-P1P2	1.75633613688585	0.906844779324086	1.93675497387208	0.192388959292888
ACSL4_-_108976456.23-P1P2	-1.08134842208641	0.361020728843387	-2.99525300264822	0.0957267040046488
ACSL6_+_131346969.23-P1	-1.94918419979254	1.72621247204727	-1.12916818257073	0.376047395428283
ACSM3_-_20775771.23-P1P2	-0.928651990626325	2.00736293060565	-0.462622865286318	0.689088824644019
ACSS3_-_81472074.23-P1P2	-1.50387498737737	0.860728946980017	-1.74721088753192	0.222712651929543
ACTA1_+_229568301.23-P2	-1.80629274047991	1.10606265646904	-1.63308355988282	0.244053120765888
ACTA2_-_90751066.23-P2	-2.20231676608053	0.293846510864224	-7.49478617119991	0.0173408059203599
ACTG1_-_79479785.23-P1P2	1.27067494887761	0.103882547504082	12.2318423970849	0.00661741945257063
ACTG2_+_74120202.23-P1	-0.526557312263003	0.410252993025231	-1.28349413950679	0.327945117106969
ACTL6B_+_100253969.23-P1P2	-0.978356409447508	1.95774102418323	-0.499737400076027	0.666822295056844
ACTL8_-_18081836.23-P1P2	-2.25095886182348	1.80088520602503	-1.24991801492549	0.33775820806562
ACTL8_-_18081895.23-P1P2	-0.69642798480912	0.572479622728623	-1.21651139561915	0.347872069990815
ACTN3_+_66313730.23-P1P2	-2.23856054007061	0.493764367322796	-4.53366157669122	0.0453669412403785
ACTN4_-_39138687.23-P1P2	-0.954620291310335	1.0181732103312	-0.937581426837782	0.44743456052825
ACTR1B_-_98280407.23-P1P2	-0.995772269673248	0.294264926909617	-3.38393120828531	0.0773342619194352
ACTR1B_+_98280464.23-P1P2	-2.30226895543634	1.8013569446876	-1.2780748214428	0.329505567391464
ACTR2_-_65454971.23-P1P2	-0.106110244046963	0.461866581148609	-0.229742199106674	0.839649834093165
ACTR2_+_65455294.23-P1P2	0.951220454948197	0.105778983553731	8.99252784429544	0.01214144740637
ACTR5_-_37377127.23-P1P2	-3.87453751323857	0.206181263089504	-18.7918992016099	0.00281980247161236
ACTR5_+_37377138.23-P1P2	-2.38527601895306	1.9431325230127	-1.22754160650599	0.344493343463826
ACTRT1_+_127185986.23-P1P2	-1.13655136512047	0.793487089583959	-1.43235016680157	0.288402400035561
ACTRT3_+_169487342.23-P1P2	0.0198722485099045	0.734618055271282	0.0270511299951183	0.980875460882288
ACVR1B_-_52345917.23-P1P2	-3.98555496040745	1.14760245284891	-3.47294043378293	0.0738435365604663
ACVRL1_-_52301119.23-P1P2	-0.356088890405207	0.495578748869571	-0.718531396306754	0.547033972849066
ADA_+_43280282.23-P1P2	-1.73630889846147	0.443585994329859	-3.9142554558887	0.0595023318225485
ADAD1_-_123300755.23-P1P2	-1.00578584285357	0.659780621216959	-1.52442465042155	0.266889190803677
ADAM11_-_42836572.23-P1P2	-1.01367713994556	0.231266185433654	-4.38316193110887	0.0483098039415188
ADAM11_+_42836963.23-P1P2	-2.05571857790851	1.54964948116221	-1.32657004238582	0.315854456500489
ADAM12_-_128077031.23-P1P2	-4.12869753772026	1.09861627457294	-3.75808881888736	0.0640751161172984
ADAM12_+_128076607.23-P1P2	-0.582271256474723	0.480786349909613	-1.21108108951968	0.34954987362747
ADAM15_+_155023202.23-P1P2	-2.71752851028734	2.44847451220274	-1.1098863789448	0.382619265233172
ADAM22_-_87563632.23-P1P2	-0.602303651992024	1.6650333984333	-0.361736679011217	0.752191751179245
ADAM22_+_87563621.23-P1P2	-0.649965363124026	1.81566732444746	-0.357976020371365	0.754612101522796
ADAM23_+_207308716.23-P1P2	-2.2558391510888	0.834880128291721	-2.70199166879747	0.114018179765524
ADAM30_+_120439103.23-P1P2	-2.74497438953538	1.12237734286893	-2.44567872558697	0.134312036165186
ADAM32_+_38965125.23-P1P2	-1.01567277370224	2.22755519611637	-0.455958521464702	0.693143154177045
ADAM32_+_38965299.23-P1P2	-3.52758144662428	1.47269929075109	-2.39531686392352	0.138884438207932
ADAM7_+_24298519.23-P1P2	-0.693838626562352	0.178935213818192	-3.87759687854024	0.0605321299364298
ADAM9_+_38854902.23-P1P2	0.568111587114323	0.693272597859697	0.8194634965643	0.498639213214394
ADAMTS1_+_28216594.23-P2	-1.3296128580157	1.1376809313983	-1.16870452982059	0.362975639857687
ADAMTS12_+_33891838.23-P1P2	-2.4835539951287	2.55105330296766	-0.973540612514666	0.432969471157361
ADAMTS13_-_136287551.23-P1P2	-1.44773215854071	0.589794408163067	-2.45463866476747	0.133520565667404
ADAMTS13_+_136287462.23-P1P2	-0.169423825960045	1.67994015640974	-0.100851107888347	0.928868137934304
ADAMTS14_-_72432290.23-P1P2	1.13410145562182	0.69534786327561	1.6309843109021	0.244470010512438
ADAMTS15_+_130318981.23-P1P2	0.209314478931047	0.475267192050214	0.44041432363152	0.702664605863371
ADAMTS16_+_5140912.23-P2	1.77671056030528	0.220853401660572	8.04475071222086	0.0151024984665773
ADAMTS16_+_5146334.23-P1	-1.56753823383135	0.932874743109291	-1.68033087551144	0.234908930823466
ADAMTS17_-_100882079.23-P1P2	-2.18601882069082	0.538474859674821	-4.059648805166	0.0556593439840273
