GO	[-19.75 -4.14]	[-4.14 -3.21]	[-3.21 -2.54]	[-2.54 -2.03]	[-2.03 -1.47]	[-1.47 -0.62]	[-0.62 1.08]	[1.08 1.93]	[1.93 2.78]	[2.78 4.09]	[4.09 6.75]
GSE27241_WT_VS_RORGT_KO_TH17_POLARIZED_CD4_TCELL_TREATED_WITH_DIGOXIN_UP GSE27241_WT_VS_RORGT_KO_TH17_POLARIZED_CD4_TCELL_TREATED_WITH_DIGOXIN_UP	3.555	1.334	-0.301	-2.466	2.159	-1.988	-3.741	-1.589	0.416	-0.301	0.883
GSE2405_0H_VS_24H_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_UP GSE2405_0H_VS_24H_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_UP	-0.668	-2.038	-0.438	-0.275	-0.987	0.969	5.525	1.265	-0.275	-0.668	-2.052
GSE17721_0.5H_VS_24H_POLYIC_BMDC_UP GSE17721_0.5H_VS_24H_POLYIC_BMDC_UP	-0.461	0.427	-0.920	1.912	-0.920	-0.312	1.912	2.647	-0.312	-2.965	-2.253
GSE2405_S_AUREUS_VS_A_PHAGOCYTOPHILUM_NEUTROPHIL_UP GSE2405_S_AUREUS_VS_A_PHAGOCYTOPHILUM_NEUTROPHIL_UP	1.283	3.221	-1.678	0.540	-3.284	-0.577	-0.382	0.367	-1.678	0.750	0.362
GSE17974_0.5H_VS_72H_IL4_AND_ANTI_IL12_ACT_CD4_TCELL_UP GSE17974_0.5H_VS_72H_IL4_AND_ANTI_IL12_ACT_CD4_TCELL_UP	1.468	1.033	-1.431	-0.409	-2.612	-0.909	-2.155	-0.709	1.241	1.033	2.242
GSE40655_FOXO1_KO_VS_WT_NTREG_DN GSE40655_FOXO1_KO_VS_WT_NTREG_DN	-0.834	-0.834	0.337	0.674	-1.567	0.489	1.427	3.753	-2.103	-1.567	0.482
GSE15139_GMCSF_TREATED_VS_UNTREATED_NEUTROPHILS_DN GSE15139_GMCSF_TREATED_VS_UNTREATED_NEUTROPHILS_DN	2.000	0.466	-1.492	0.341	-2.345	-1.171	-0.688	3.767	-0.373	0.786	-0.918
GSE2770_TGFB_AND_IL4_VS_IL12_TREATED_ACT_CD4_TCELL_2H_DN GSE2770_TGFB_AND_IL4_VS_IL12_TREATED_ACT_CD4_TCELL_2H_DN	0.460	2.062	0.332	-0.272	-0.728	-0.728	-5.211	-0.272	0.792	0.996	-0.278
GSE3982_DC_VS_NEUTROPHIL_DN GSE3982_DC_VS_NEUTROPHIL_DN	1.680	-0.704	-0.384	1.680	-1.516	-1.906	-0.924	0.598	-1.906	1.680	0.946
GSE2706_UNSTIM_VS_2H_LPS_AND_R848_DC_UP GSE2706_UNSTIM_VS_2H_LPS_AND_R848_DC_UP	-0.581	1.469	-0.436	2.293	-0.761	-0.761	-4.215	-0.761	0.663	0.832	0.651
GSE17721_LPS_VS_POLYIC_1H_BMDC_DN GSE17721_LPS_VS_POLYIC_1H_BMDC_DN	0.929	0.421	1.950	-0.424	-1.025	-0.780	-1.025	-3.347	-0.581	1.148	1.639
