GO	[-19.75 -4.15]	[-4.15 -3.21]	[-3.21 -2.55]	[-2.55 -2.03]	[-2.03 -1.49]	[-1.49 -0.64]	[-0.64 1.05]	[1.05 1.91]	[1.91 2.77]	[2.77 4.07]	[4.07 19.62]
HOSHIDA_LIVER_CANCER_SUBCLASS_S2 HOSHIDA_LIVER_CANCER_SUBCLASS_S2	6.388	0.766	-0.626	-0.626	-1.965	-0.251	-0.936	1.341	-0.405	-1.965	-0.635
REACTOME_CELLULAR_RESPONSE_TO_STARVATION REACTOME_CELLULAR_RESPONSE_TO_STARVATION	-1.035	-0.668	-1.573	-0.416	-2.408	0.817	1.116	1.462	1.852	1.116	-1.586
GAZDA_DIAMOND_BLACKFAN_ANEMIA_ERYTHROID_UP GAZDA_DIAMOND_BLACKFAN_ANEMIA_ERYTHROID_UP	-0.870	0.527	0.527	-0.378	-0.870	-0.870	2.040	0.236	2.040	-0.870	-0.876
WP_PATHWAYS_AFFECTED_IN_ADENOID_CYSTIC_CARCINOMA WP_PATHWAYS_AFFECTED_IN_ADENOID_CYSTIC_CARCINOMA	2.494	-0.451	-0.256	-1.226	0.572	-1.226	-0.756	-1.226	-0.756	0.352	3.003
WP_APOPTOSISRELATED_NETWORK_DUE_TO_ALTERED_NOTCH3_IN_OVARIAN_CANCER WP_APOPTOSISRELATED_NETWORK_DUE_TO_ALTERED_NOTCH3_IN_OVARIAN_CANCER	-1.409	0.717	2.016	-0.407	2.579	-0.765	0.428	-0.407	-0.407	-0.765	-1.419
REACTOME_PRC2_METHYLATES_HISTONES_AND_DNA REACTOME_PRC2_METHYLATES_HISTONES_AND_DNA	-0.870	-0.870	-0.378	-0.870	-0.378	0.931	3.506	0.236	0.931	-0.378	-0.876
MANNE_COVID19_NONICU_VS_HEALTHY_DONOR_PLATELETS_UP MANNE_COVID19_NONICU_VS_HEALTHY_DONOR_PLATELETS_UP	-0.314	2.423	-1.750	-2.616	-0.508	0.288	0.678	1.599	-0.508	0.460	-0.515
RIZKI_TUMOR_INVASIVENESS_2D_DN RIZKI_TUMOR_INVASIVENESS_2D_DN	1.724	-0.671	0.837	-1.285	-1.285	-1.285	0.509	1.724	0.264	-0.341	-0.345
REACTOME_ASSEMBLY_OF_THE_PRE_REPLICATIVE_COMPLEX REACTOME_ASSEMBLY_OF_THE_PRE_REPLICATIVE_COMPLEX	-1.368	-0.733	1.133	-0.385	0.453	1.582	0.453	0.231	1.133	-1.368	-1.377
BROWNE_HCMV_INFECTION_30MIN_DN BROWNE_HCMV_INFECTION_30MIN_DN	2.361	-0.527	0.909	-0.329	-1.786	0.441	-0.811	-0.811	-1.786	1.210	0.643
GINESTIER_BREAST_CANCER_ZNF217_AMPLIFIED_UP GINESTIER_BREAST_CANCER_ZNF217_AMPLIFIED_UP	0.287	1.020	-2.158	2.212	-0.316	-0.865	0.477	-1.363	-0.865	0.722	0.470
REACTOME_TRNA_AMINOACYLATION REACTOME_TRNA_AMINOACYLATION	-1.119	-0.259	0.347	-0.550	0.347	-0.259	0.645	4.138	-1.119	-0.550	-0.555
KYNG_DNA_DAMAGE_BY_UV KYNG_DNA_DAMAGE_BY_UV	-0.610	-1.202	-0.610	-0.610	0.573	-0.299	0.573	0.930	3.119	-1.202	-0.303
VALK_AML_WITH_FLT3_ITD VALK_AML_WITH_FLT3_ITD	-0.704	-0.704	-0.272	-0.704	2.546	-0.704	0.707	1.208	-0.272	0.332	-0.709
AMIT_EGF_RESPONSE_480_MCF10A AMIT_EGF_RESPONSE_480_MCF10A	-0.911	1.936	1.359	-0.911	1.359	-0.911	-0.405	0.217	-0.405	-0.405	-0.409
BONOME_OVARIAN_CANCER_POOR_SURVIVAL_UP BONOME_OVARIAN_CANCER_POOR_SURVIVAL_UP	-0.199	-0.199	-0.199	1.490	-0.199	-0.580	-0.580	-0.580	-0.580	-0.580	3.043
DAVIES_MULTIPLE_MYELOMA_VS_MGUS_DN DAVIES_MULTIPLE_MYELOMA_VS_MGUS_DN	0.477	-0.538	-0.176	-0.538	-0.538	4.281	-0.176	-0.538	-0.538	-0.176	-0.178
TURASHVILI_BREAST_CARCINOMA_DUCTAL_VS_LOBULAR_UP TURASHVILI_BREAST_CARCINOMA_DUCTAL_VS_LOBULAR_UP	1.605	-0.538	-0.538	-0.538	-0.538	-0.538	-0.538	2.373	-0.176	-0.176	0.473
MULLIGAN_NTF3_SIGNALING_VIA_INSR_AND_IGF1R_UP MULLIGAN_NTF3_SIGNALING_VIA_INSR_AND_IGF1R_UP	-0.580	0.893	-0.580	2.215	0.893	-0.580	0.434	-0.580	-0.580	-0.580	-0.201
RAHMAN_TP53_TARGETS_PHOSPHORYLATED RAHMAN_TP53_TARGETS_PHOSPHORYLATED	-0.372	-0.372	0.240	-0.372	-0.372	-0.372	4.438	0.240	0.240	-0.372	-0.375
BIOCARTA_IL12_PATHWAY BIOCARTA_IL12_PATHWAY	-0.372	2.231	-0.372	-0.372	0.712	-0.372	-0.372	1.383	-0.372	-0.372	-0.375
REACTOME_INHIBITION_OF_REPLICATION_INITIATION_OF_DAMAGED_DNA_BY_RB1_E2F1 REACTOME_INHIBITION_OF_REPLICATION_INITIATION_OF_DAMAGED_DNA_BY_RB1_E2F1	-0.372	-0.372	-0.372	-0.372	2.231	1.383	-0.372	0.712	-0.372	-0.372	-0.375
KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM	-0.290	-0.290	-0.290	-0.290	-0.290	0.313	-0.290	3.959	0.313	-0.290	-0.292
