GO	[-8.26 -0.85]	[-0.85 -0.27]	[-0.27 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.04]	[0.04 0.37]	[0.37 1.02]	[1.02 10.22]
GO:0008652 cellular amino acid biosynthetic process	4.670	1.369	2.804	-0.650	-1.089	-1.822	-1.822	-1.089	-0.373	-0.650	-0.649
GO:0006814 sodium ion transport	2.124	-0.331	0.859	-0.829	-4.279	-1.761	-1.388	-0.829	1.296	1.826	1.067
GO:0009953 dorsal/ventral pattern formation	2.984	-0.336	-0.336	-0.599	-0.599	-1.739	-1.739	-1.023	1.927	1.083	0.269
GO:0006865 amino acid transport	5.163	0.302	-0.300	-0.513	-0.513	-2.112	-1.326	-0.836	0.302	1.055	-0.300
GO:0070059 intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress	2.876	-0.341	0.836	-0.671	-1.284	-1.284	-1.284	-0.341	0.836	1.241	-0.670
GO:0015293 symporter activity	2.912	0.344	0.837	-0.536	-2.189	-2.189	-0.990	-1.306	1.056	0.837	0.646
GO:0006520 cellular amino acid metabolic process	2.203	1.319	0.409	-1.123	-1.863	-0.675	-1.123	-0.392	0.226	1.735	-0.675
GO:0015171 amino acid transmembrane transporter activity	4.311	-0.242	-0.242	-0.242	-0.431	-1.946	-1.190	-1.190	-0.242	0.597	0.598
GO:0003333 amino acid transmembrane transport	4.360	-0.573	0.285	0.285	-0.318	-1.698	-0.990	-0.990	-0.318	0.501	0.502
GO:1902475 L-alpha-amino acid transmembrane transport	3.494	-0.497	0.524	-0.497	0.167	-0.497	-0.497	-0.497	-0.497	0.524	0.167
