	[-0.71 -0.56]	[-0.56 -0.44]	[-0.44 -0.20]	[-0.20 -0.08]	[-0.08 0.00]	[0.00 0.00]	[0.00 0.04]	[0.04 0.14]	[0.14 0.31]	[0.31 0.83]	[0.83 0.98]
GOMF_CHEMOREPELLENT_ACTIVITY	0.34700000000000003	0.644	-0.55	-0.55	-1.119	-1.119	-1.119	-0.55	-0.26	0.34700000000000003	5.849
GOBP_AMINOGLYCAN_METABOLIC_PROCESS	0.413	0.413	-0.521	-0.521	-2.0	-2.4130000000000003	-0.86	-1.341	-0.39399999999999996	3.465	4.974
GOBP_CREATINE_METABOLIC_PROCESS	-0.331	0.273	-0.331	-0.331	-0.331	-0.331	0.273	-0.331	-0.331	-0.331	4.881
GOMF_CHLORIDE_ION_BINDING	-0.5379999999999999	-0.5379999999999999	-0.17600000000000002	-0.5379999999999999	0.47600000000000003	-0.17600000000000002	0.9670000000000001	-0.5379999999999999	-0.5379999999999999	-0.5379999999999999	3.2680000000000002
GOBP_DIACYLGLYCEROL_METABOLIC_PROCESS	0.727	-1.035	0.39799999999999996	-0.491	-1.035	-1.035	-0.222	-0.491	-0.222	0.727	2.911
GOBP_POSITIVE_REGULATION_OF_VOLTAGE_GATED_POTASSIUM_CHANNEL_ACTIVITY	-0.621	-0.621	-0.223	0.396	-0.621	-0.621	0.823	0.396	-0.223	-0.621	2.872
GOBP_CHLORIDE_TRANSPORT	1.4280000000000002	1.165	-0.33399999999999996	-0.667	-1.213	-1.213	-1.213	-1.594	-1.594	2.376	2.7310000000000003
GOBP_PERIPHERAL_NERVOUS_SYSTEM_DEVELOPMENT	1.153	0.878	-0.488	-1.065	-1.518	-0.314	-0.732	-1.518	-2.144	2.6189999999999998	2.6319999999999997
GOBP_SEMAPHORIN_PLEXIN_SIGNALING_PATHWAY	1.177	-0.9570000000000001	-0.3	0.528	-1.6569999999999998	-1.6569999999999998	-1.6569999999999998	0.302	0.302	0.82	2.593
GOBP_BENZENE_CONTAINING_COMPOUND_METABOLIC_PROCESS	1.15	-1.035	-0.222	-0.491	-1.035	-0.491	-1.035	0.727	-1.035	1.15	2.245
GOBP_L_ARGININE_TRANSPORT	-0.373	-0.373	-0.373	-0.373	-0.373	-0.373	0.7120000000000001	1.382	-0.373	2.229	-0.373
