GO	[-6.29 -0.68]	[-0.68 -0.17]	[-0.17 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.35]	[0.35 1.00]	[1.00 4.75]
GSE360_LOW_DOSE_B_MALAYI_VS_M_TUBERCULOSIS_MAC_DN GSE360_LOW_DOSE_B_MALAYI_VS_M_TUBERCULOSIS_MAC_DN	-0.760	-0.760	1.584	-1.234	0.573	-1.234	0.351	-0.760	3.653	0.854	-2.013
GSE21380_NON_TFH_VS_TFH_CD4_TCELL_DN GSE21380_NON_TFH_VS_TFH_CD4_TCELL_DN	-0.550	-0.550	-1.839	-2.724	-0.550	0.423	1.909	0.261	1.525	-0.550	1.895
GSE13547_WT_VS_ZFX_KO_BCELL_DN GSE13547_WT_VS_ZFX_KO_BCELL_DN	-0.256	0.854	-0.256	-0.453	-0.256	4.960	-0.453	0.351	-0.760	-2.005	-1.241
GSE7568_IL4_TGFB_DEXAMETHASONE_VS_IL4_TGFB_TREATED_MACROPHAGE_UP GSE7568_IL4_TGFB_DEXAMETHASONE_VS_IL4_TGFB_TREATED_MACROPHAGE_UP	2.375	2.895	-0.815	-0.815	-0.494	0.523	-2.089	0.523	-0.815	-0.494	-0.499
GSE18281_SUBCAPSULAR_CORTICAL_REGION_VS_WHOLE_MEDULLA_THYMUS_UP GSE18281_SUBCAPSULAR_CORTICAL_REGION_VS_WHOLE_MEDULLA_THYMUS_UP	0.953	1.289	-0.349	-1.444	-0.581	0.258	-1.444	0.953	-0.349	2.108	-2.268
GSE19941_UNSTIM_VS_LPS_AND_IL10_STIM_IL10_KO_MACROPHAGE_UP GSE19941_UNSTIM_VS_LPS_AND_IL10_STIM_IL10_KO_MACROPHAGE_UP	-0.789	-0.789	0.610	-0.789	-0.789	-0.789	0.279	1.061	1.621	1.621	-0.792
GSE17721_0.5H_VS_12H_LPS_BMDC_UP GSE17721_0.5H_VS_12H_LPS_BMDC_UP	1.191	0.854	0.573	-1.234	0.573	0.351	-2.005	-0.453	-0.453	-2.005	1.573
GSE45837_WT_VS_GFI1_KO_PDC_DN GSE45837_WT_VS_GFI1_KO_PDC_DN	1.952	-0.218	0.403	-1.458	-1.458	0.403	-1.458	-0.800	0.403	1.461	0.400
GSE32423_IL7_VS_IL4_MEMORY_CD8_TCELL_DN GSE32423_IL7_VS_IL4_MEMORY_CD8_TCELL_DN	0.199	-0.956	2.491	-0.956	-0.956	-0.435	-0.435	0.458	0.823	1.289	-0.960
GSE21360_SECONDARY_VS_QUATERNARY_MEMORY_CD8_TCELL_DN GSE21360_SECONDARY_VS_QUATERNARY_MEMORY_CD8_TCELL_DN	1.384	-0.374	-1.836	-1.836	1.006	-0.374	0.239	-0.653	2.308	0.239	-0.377
GSE21774_CD62L_POS_CD56_BRIGHT_VS_CD62L_NEG_CD56_DIM_NK_CELL_DN GSE21774_CD62L_POS_CD56_BRIGHT_VS_CD62L_NEG_CD56_DIM_NK_CELL_DN	-1.710	-1.710	0.502	0.284	1.138	0.502	2.547	-0.997	-0.318	-0.576	0.282
GSE14308_TH17_VS_NAIVE_CD4_TCELL_DN GSE14308_TH17_VS_NAIVE_CD4_TCELL_DN	-0.760	0.351	0.351	-2.005	0.854	-0.453	-1.234	0.573	-1.234	0.854	2.508
GSE3982_CENT_MEMORY_CD4_TCELL_VS_NKCELL_UP GSE3982_CENT_MEMORY_CD4_TCELL_VS_NKCELL_UP	1.343	1.343	0.359	-1.542	0.946	-0.478	-1.542	-1.542	-0.250	0.359	0.356
GSE29164_UNTREATED_VS_CD8_TCELL_TREATED_MELANOMA_DAY7_UP GSE29164_UNTREATED_VS_CD8_TCELL_TREATED_MELANOMA_DAY7_UP	1.524	-1.416	0.215	1.086	2.031	-0.768	-0.408	-0.408	0.428	-1.416	-0.773
GSE19923_WT_VS_HEB_KO_DP_THYMOCYTE_UP GSE19923_WT_VS_HEB_KO_DP_THYMOCYTE_UP	-0.998	-0.998	-0.998	3.076	-0.998	-0.204	0.774	-0.204	0.427	0.427	-0.206
GSE25088_CTRL_VS_IL4_STIM_STAT6_KO_MACROPHAGE_UP GSE25088_CTRL_VS_IL4_STIM_STAT6_KO_MACROPHAGE_UP	0.840	-1.290	-0.342	0.840	2.289	-1.290	-1.290	0.264	0.510	0.264	-0.678
GSE8515_CTRL_VS_IL1_4H_STIM_MAC_UP GSE8515_CTRL_VS_IL1_4H_STIM_MAC_UP	-0.393	-0.680	-1.878	0.965	0.410	0.965	1.757	-1.878	0.657	-0.680	0.223
GSE9960_HEALTHY_VS_GRAM_POS_SEPSIS_PBMC_UP GSE9960_HEALTHY_VS_GRAM_POS_SEPSIS_PBMC_UP	-0.674	-0.674	-0.674	-0.674	0.840	-1.290	1.734	-0.342	2.910	0.264	-0.678
GSE17186_CD21LOW_VS_CD21HIGH_TRANSITIONAL_BCELL_UP GSE17186_CD21LOW_VS_CD21HIGH_TRANSITIONAL_BCELL_UP	-1.224	0.441	-1.224	-0.817	3.923	-0.530	-0.817	-0.330	1.570	0.441	-0.535
GSE42724_NAIVE_VS_B1_BCELL_UP GSE42724_NAIVE_VS_B1_BCELL_UP	1.204	-0.626	-0.626	-2.343	-0.985	0.398	1.572	0.884	-0.383	1.204	-0.992
GSE13522_CTRL_VS_T_CRUZI_BRAZIL_STRAIN_INF_SKIN_DN GSE13522_CTRL_VS_T_CRUZI_BRAZIL_STRAIN_INF_SKIN_DN	0.302	-0.612	0.573	-1.207	0.302	1.892	0.932	-1.207	0.932	-1.207	-0.616
GSE29618_PRE_VS_DAY7_POST_TIV_FLU_VACCINE_BCELL_DN GSE29618_PRE_VS_DAY7_POST_TIV_FLU_VACCINE_BCELL_DN	0.370	-0.242	2.094	0.370	0.890	-1.963	-0.242	1.237	-1.200	-1.200	-0.738
GSE8921_UNSTIM_VS_TLR1_2_STIM_MONOCYTE_6H_DN GSE8921_UNSTIM_VS_TLR1_2_STIM_MONOCYTE_6H_DN	-1.374	0.453	-1.374	0.230	-0.386	2.112	0.757	0.453	-0.386	-1.374	0.752
