GO	[-1.00 -0.56]	[-0.56 -0.16]	[-0.16 0.15]	[0.15 0.35]	[0.35 0.51]	[0.51 0.66]	[0.66 0.79]	[0.79 0.92]	[0.92 0.98]	[0.98 1.00]	[1.00 1.00]
GSE1740_MCSF_VS_MCSF_AND_IFNG_DAY2_DERIVED_MACROPHAGE_DN GSE1740_MCSF_VS_MCSF_AND_IFNG_DAY2_DERIVED_MACROPHAGE_DN	-0.625	-3.176	-2.590	0.818	0.265	-1.059	1.230	0.497	2.319	0.265	1.009
GSE27786_CD8_TCELL_VS_NEUTROPHIL_UP GSE27786_CD8_TCELL_VS_NEUTROPHIL_UP	-0.763	1.419	-1.305	0.433	2.304	0.311	0.752	-2.110	-2.649	1.172	-0.414
GSE31082_DN_VS_DP_THYMOCYTE_DN GSE31082_DN_VS_DP_THYMOCYTE_DN	-1.324	-1.039	-1.324	-0.610	-1.324	-0.454	0.510	0.837	-0.454	1.763	4.188
GSE15139_GMCSF_TREATED_VS_UNTREATED_NEUTROPHILS_DN GSE15139_GMCSF_TREATED_VS_UNTREATED_NEUTROPHILS_DN	-0.513	-1.881	-2.347	-1.493	1.999	-0.265	2.310	0.465	0.785	0.785	-0.692
GSE27241_WT_VS_RORGT_KO_TH17_POLARIZED_CD4_TCELL_TREATED_WITH_DIGOXIN_UP GSE27241_WT_VS_RORGT_KO_TH17_POLARIZED_CD4_TCELL_TREATED_WITH_DIGOXIN_UP	-3.043	-1.591	-0.568	0.301	0.897	-0.419	0.552	-1.258	0.415	3.174	1.099
GSE17974_0.5H_VS_72H_IL4_AND_ANTI_IL12_ACT_CD4_TCELL_UP GSE17974_0.5H_VS_72H_IL4_AND_ANTI_IL12_ACT_CD4_TCELL_UP	-0.910	-1.766	-0.710	-0.409	-0.710	-1.149	-0.409	-0.544	1.715	1.467	3.969
GSE20754_WT_VS_TCF1_KO_MEMORY_CD8_TCELL_UP GSE20754_WT_VS_TCF1_KO_MEMORY_CD8_TCELL_UP	-0.610	-1.039	-0.803	-1.324	1.498	-2.559	-0.454	3.403	0.510	0.510	0.834
GSE13485_DAY3_VS_DAY21_YF17D_VACCINE_PBMC_UP GSE13485_DAY3_VS_DAY21_YF17D_VACCINE_PBMC_UP	-0.669	-3.998	-0.371	-0.669	0.458	0.458	1.912	0.339	1.912	-1.413	0.760
GSE3982_CENT_MEMORY_CD4_TCELL_VS_TH1_UP GSE3982_CENT_MEMORY_CD4_TCELL_VS_TH1_UP	-2.544	-1.492	-0.290	-0.425	0.807	0.312	2.577	1.877	-0.831	-1.123	0.610
GSE24634_TREG_VS_TCONV_POST_DAY7_IL4_CONVERSION_UP GSE24634_TREG_VS_TCONV_POST_DAY7_IL4_CONVERSION_UP	0.841	2.566	1.586	-0.262	-0.538	-1.314	1.062	-2.203	-0.262	-0.995	-1.318
GSE14699_NAIVE_VS_ACT_CD8_TCELL_DN GSE14699_NAIVE_VS_ACT_CD8_TCELL_DN	-2.647	-0.466	-0.466	0.280	-0.652	-1.194	0.406	-0.323	1.466	4.080	-0.324
GSE21360_TERTIARY_VS_QUATERNARY_MEMORY_CD8_TCELL_DN GSE21360_TERTIARY_VS_QUATERNARY_MEMORY_CD8_TCELL_DN	-0.257	-0.257	0.505	-0.572	1.781	-2.778	1.781	1.173	-0.257	-1.129	-1.542
GSE42021_CD24HI_VS_CD24INT_TCONV_THYMUS_DN GSE42021_CD24HI_VS_CD24INT_TCONV_THYMUS_DN	1.269	3.552	-1.972	-0.351	1.269	-0.522	-0.351	-1.056	0.256	-1.056	-0.754
GSE21927_GMCSF_IL6_VS_GMCSF_GCSF_TREATED_BONE_MARROW_UP GSE21927_GMCSF_IL6_VS_GMCSF_GCSF_TREATED_BONE_MARROW_UP	-1.539	-0.572	-0.391	-0.572	-2.778	2.511	1.462	0.918	0.349	0.505	-0.575
GSE2706_R848_VS_R848_AND_LPS_2H_STIM_DC_DN GSE2706_R848_VS_R848_AND_LPS_2H_STIM_DC_DN	-0.341	0.265	-1.584	1.393	0.600	1.732	-3.160	-0.341	0.600	-0.776	0.411
GSE24972_MARGINAL_ZONE_BCELL_VS_FOLLICULAR_BCELL_IRF8_KO_UP GSE24972_MARGINAL_ZONE_BCELL_VS_FOLLICULAR_BCELL_IRF8_KO_UP	-0.260	1.998	0.876	0.493	2.350	-1.412	0.347	-1.412	-0.553	-0.773	-1.869
GSE10239_NAIVE_VS_MEMORY_CD8_TCELL_UP GSE10239_NAIVE_VS_MEMORY_CD8_TCELL_UP	-0.625	-2.590	-1.690	2.319	-0.340	0.646	-0.625	0.370	-0.625	2.014	0.643
GSE43955_10H_VS_30H_ACT_CD4_TCELL_WITH_TGFB_IL6_UP GSE43955_10H_VS_30H_ACT_CD4_TCELL_WITH_TGFB_IL6_UP	-1.597	0.653	-0.279	0.324	-0.607	-2.137	0.324	-1.597	2.409	0.653	1.388
GSE17974_0H_VS_48H_IN_VITRO_ACT_CD4_TCELL_UP GSE17974_0H_VS_48H_IN_VITRO_ACT_CD4_TCELL_UP	-1.600	-0.912	0.270	-1.600	0.724	-0.480	-0.334	-1.218	1.169	0.932	3.147
GSE45739_NRAS_KO_VS_WT_ACD3_ACD28_STIM_CD4_TCELL_DN GSE45739_NRAS_KO_VS_WT_ACD3_ACD28_STIM_CD4_TCELL_DN	-0.431	-1.823	3.960	-0.431	-0.599	-0.301	-1.080	0.578	0.964	0.758	-1.417
GSE24142_DN2_VS_DN3_THYMOCYTE_ADULT_UP GSE24142_DN2_VS_DN3_THYMOCYTE_ADULT_UP	-0.472	2.265	1.513	0.301	-2.112	-0.711	0.666	-0.301	-0.472	-2.112	0.664
GSE5503_LIVER_DC_VS_PLN_DC_ACTIVATED_ALLOGENIC_TCELL_DN GSE5503_LIVER_DC_VS_PLN_DC_ACTIVATED_ALLOGENIC_TCELL_DN	0.524	-3.110	-0.596	-2.045	-0.442	0.283	0.679	0.283	1.527	0.283	2.079
GSE25088_WT_VS_STAT6_KO_MACROPHAGE_ROSIGLITAZONE_STIM_DN GSE25088_WT_VS_STAT6_KO_MACROPHAGE_ROSIGLITAZONE_STIM_DN	1.863	1.863	0.501	-0.679	0.501	-2.488	0.253	-0.907	-1.539	1.067	-0.681
GSE43955_TGFB_IL6_VS_TGFB_IL6_IL23_TH17_ACT_CD4_TCELL_52H_UP GSE43955_TGFB_IL6_VS_TGFB_IL6_IL23_TH17_ACT_CD4_TCELL_52H_UP	1.084	0.843	-1.205	2.752	-0.290	-0.625	-1.205	-0.433	1.358	-0.877	-1.630
GSE8921_UNSTIM_VS_TLR1_2_STIM_MONOCYTE_3H_DN GSE8921_UNSTIM_VS_TLR1_2_STIM_MONOCYTE_3H_DN	-2.751	-0.953	2.300	0.885	-1.266	0.368	1.114	-0.357	0.685	-0.953	0.366
GSE36078_UNTREATED_VS_AD5_INF_IL1R_KO_MOUSE_LUNG_DC_UP GSE36078_UNTREATED_VS_AD5_INF_IL1R_KO_MOUSE_LUNG_DC_UP	-2.203	-0.262	1.062	0.344	0.482	0.648	3.343	-0.538	-1.711	-0.538	-0.742
GSE41978_ID2_KO_AND_BIM_KO_VS_BIM_KO_KLRG1_LOW_EFFECTOR_CD8_TCELL_UP GSE41978_ID2_KO_AND_BIM_KO_VS_BIM_KO_KLRG1_LOW_EFFECTOR_CD8_TCELL_UP	0.885	-0.289	1.148	-0.289	-0.442	-0.289	2.141	-2.480	0.885	-1.311	-1.314
GSE17721_LPS_VS_PAM3CSK4_8H_BMDC_DN GSE17721_LPS_VS_PAM3CSK4_8H_BMDC_DN	3.687	0.408	-0.436	-1.721	-1.721	-0.798	0.715	0.408	0.408	-1.047	0.712
GSE40666_WT_VS_STAT4_KO_CD8_TCELL_UP GSE40666_WT_VS_STAT4_KO_CD8_TCELL_UP	0.717	0.254	1.426	-1.784	-0.625	-1.058	-1.058	1.426	-0.354	1.426	-0.626
GSE17721_POLYIC_VS_PAM3CSK4_1H_BMDC_UP GSE17721_POLYIC_VS_PAM3CSK4_1H_BMDC_UP	0.373	0.663	-0.474	-0.642	-0.851	-0.474	-2.812	3.526	-0.642	0.373	1.046
GSE24634_IL4_VS_CTRL_TREATED_NAIVE_CD4_TCELL_DAY7_UP GSE24634_IL4_VS_CTRL_TREATED_NAIVE_CD4_TCELL_DAY7_UP	1.445	1.750	0.249	-1.359	0.372	0.709	0.525	-1.009	0.372	-0.522	-3.123
GSE2585_THYMIC_MACROPHAGE_VS_MTEC_UP GSE2585_THYMIC_MACROPHAGE_VS_MTEC_UP	-0.643	4.021	1.056	-1.230	-0.899	1.325	-0.899	-0.447	-0.643	-0.447	-0.449
GSE25846_IL10_POS_VS_NEG_CD8_TCELL_DAY7_POST_CORONAVIRUS_BRAIN_UP GSE25846_IL10_POS_VS_NEG_CD8_TCELL_DAY7_POST_CORONAVIRUS_BRAIN_UP	-0.427	5.624	-0.634	-0.634	0.485	-0.277	-0.427	-1.283	0.326	-0.913	-0.279
GSE22601_IMMATURE_CD4_SINGLE_POSITIVE_VS_CD8_SINGLE_POSITIVE_THYMOCYTE_DN GSE22601_IMMATURE_CD4_SINGLE_POSITIVE_VS_CD8_SINGLE_POSITIVE_THYMOCYTE_DN	-1.740	-1.391	-0.258	0.781	-0.258	-0.491	-1.098	-0.360	4.031	0.970	-0.362
GSE12845_NAIVE_VS_PRE_GC_TONSIL_BCELL_DN GSE12845_NAIVE_VS_PRE_GC_TONSIL_BCELL_DN	2.613	0.356	-2.172	0.497	-0.369	1.925	0.497	-1.290	-0.369	-0.722	-0.977
GSE14000_UNSTIM_VS_16H_LPS_DC_UP GSE14000_UNSTIM_VS_16H_LPS_DC_UP	1.828	0.538	0.292	-0.582	1.828	-0.770	0.538	-1.280	-1.000	0.876	-2.504
GSE36476_CTRL_VS_TSST_ACT_40H_MEMORY_CD4_TCELL_YOUNG_DN GSE36476_CTRL_VS_TSST_ACT_40H_MEMORY_CD4_TCELL_YOUNG_DN	2.061	0.331	0.459	-1.616	-1.259	-0.729	2.061	-0.539	-0.539	1.225	-1.262
