GO	[-6.80 -4.15]	[-4.15 -3.21]	[-3.21 -2.54]	[-2.54 -2.03]	[-2.03 -1.47]	[-1.47 -0.62]	[-0.62 1.11]	[1.11 1.94]	[1.94 2.79]	[2.79 4.09]	[4.09 6.64]
GOCC_RIBOSOMAL_SUBUNIT GOCC_RIBOSOMAL_SUBUNIT	-3.497	0.301	-0.961	-0.459	-0.459	0.859	1.734	2.903	0.859	-0.961	-1.334
GOMF_EXONUCLEASE_ACTIVITY GOMF_EXONUCLEASE_ACTIVITY	-0.435	-2.452	0.346	1.077	-0.435	-1.066	-1.610	-0.693	1.415	3.192	0.349
GOBP_TRNA_METABOLIC_PROCESS GOBP_TRNA_METABOLIC_PROCESS	-1.472	-0.889	-0.257	-0.257	-0.889	-0.257	3.045	4.241	-0.501	-0.674	-1.463
GOBP_CELLULAR_CARBOHYDRATE_CATABOLIC_PROCESS GOBP_CELLULAR_CARBOHYDRATE_CATABOLIC_PROCESS	-0.463	-0.995	-0.463	-0.995	1.215	1.746	2.361	-0.463	-0.995	-0.995	0.428
GOMF_LYASE_ACTIVITY GOMF_LYASE_ACTIVITY	-1.649	-0.369	0.558	-0.560	0.381	-1.175	2.006	3.779	0.242	-1.175	-1.169
GOCC_OXIDOREDUCTASE_COMPLEX GOCC_OXIDOREDUCTASE_COMPLEX	-0.283	-1.619	0.320	-0.927	0.555	-0.283	3.295	0.555	0.859	-1.619	-0.923
GOBP_NUCLEUS_ORGANIZATION GOBP_NUCLEUS_ORGANIZATION	-0.455	-0.690	-0.690	2.756	1.554	-1.015	-2.078	-1.015	0.938	1.227	-0.686
GOBP_AMINE_METABOLIC_PROCESS GOBP_AMINE_METABOLIC_PROCESS	-1.785	-0.625	1.426	-0.625	-0.355	1.426	-0.625	1.426	1.041	-0.355	-1.780
GOCC_GOLGI_ASSOCIATED_VESICLE GOCC_GOLGI_ASSOCIATED_VESICLE	0.286	-0.535	-0.316	0.476	-1.365	-2.160	2.701	1.766	-0.866	0.476	-0.532
GOBP_GENITALIA_DEVELOPMENT GOBP_GENITALIA_DEVELOPMENT	1.292	-0.663	-0.663	-0.663	-0.663	2.699	0.362	-0.248	-0.663	-0.663	0.765
GOCC_CULLIN_RING_UBIQUITIN_LIGASE_COMPLEX GOCC_CULLIN_RING_UBIQUITIN_LIGASE_COMPLEX	-1.243	0.260	-2.719	-0.495	1.141	-1.630	0.703	-0.346	2.345	0.908	0.384
GOBP_REGULATION_OF_T_CELL_RECEPTOR_SIGNALING_PATHWAY GOBP_REGULATION_OF_T_CELL_RECEPTOR_SIGNALING_PATHWAY	0.930	-0.871	-0.378	3.505	0.235	0.235	-0.871	0.235	-0.871	0.235	-0.868
GOCC_CATALYTIC_STEP_2_SPLICEOSOME GOCC_CATALYTIC_STEP_2_SPLICEOSOME	-0.811	-2.077	-0.493	-0.286	0.317	2.347	0.317	1.882	0.522	-1.296	-0.490
GOBP_ANTIMICROBIAL_HUMORAL_RESPONSE GOBP_ANTIMICROBIAL_HUMORAL_RESPONSE	0.824	-0.622	-0.622	0.824	-0.622	0.396	2.869	-0.223	-0.622	-0.622	-0.620
