120h_DMSO_rep1	120h_DMSO_rep2	120h_treated_rep1	120h_treated_rep2	6h_DMSO_rep1	6h_DMSO_rep2	6h_treated_rep1	6h_treated_rep2	72h_DMSO_rep1	72h_DMSO_rep2	72h_treated_rep1	72h_treated_rep2
uc001aaa.3	0	0	0	0	0	0	0	0	0	0	0	0
uc010nxq.1	0	0	0	0	0	0	2.57667453771708	0	9.80092035687412	0	0	0
uc010nxr.1	0	0	0	0	0	0	0	10.0272120837485	0	0	10.4397138100991	0
uc009vis.3	0	0	0	0	0	0	0	0	0	0	0	0
uc001aae.4	0	0	0	0	0	0	0	0	0	109.494028750658	0	0
uc009vit.3	295.852453325192	329.960477550176	214.921107991842	296.837266422958	270.704952037153	209.910760675828	295.029234568605	235.012783212857	297.797195458867	123.25244074027	257.860931109448	294.597939190522
uc009viu.3	40.3975237472149	26.6879798018525	0	37.2376499096901	0	0	0	44.4957536216342	67.0986085970613	57.8999837896152	0	0
uc001aac.4	0	0	0	0	0	0	0	0	0	0	0	0
uc001aah.4	0	0	0	0	0	0	0	0	0	0	0	0
uc009viq.3	3.56448738946014	46.0974196577452	20.1488538742352	26.5983213640644	37.4379188987552	20.2812329155389	56.6868398297757	40.1088483349942	33.1723458232662	22.9306866493525	19.8354562391883	13.1419155029229
uc009vir.3	0	0	0	0	0	0	0	0	0	0	0	0
uc009viv.2	159.213770062553	0	0	0	0	0	0	46.375855887337	0	0	69.9460825276639	125.943356903011
uc009viw.2	0	114.03045915337	209.324204137888	182.996450984763	126.71295627271	167.320171553196	212.575649361659	77.0841928938169	145.505971452054	166.247478207806	122.144651578159	0
uc009vix.2	0	0	0	0	0	0	0	0	0	0	0	0
uc009vjd.2	0	0	0	0	0	0	0	0	0	0	0	0
uc009viy.2	0	3.63926997297988	2.23876154158169	0	2.87983991528886	2.02812329155389	0	1.25340151046857	0	0	4.17588552403964	0
uc009viz.2	0	0	0	0	0	0	0	0	0	0	0	0
uc009vjc.1	0	0	0	0	0	0	0	0	0	0	0	0
uc001aai.1	0	0	72.7597501014048	74.4752998193802	0	0	0	79.5909959147541	0	0	106.485080863011	0
uc010nxs.1	0	0	0	0	0	0	0	0	0	0	0	0
uc009vjb.1	0	0	21.268234645026	0	0	0	0	3.13350377617142	0	0	0	0
uc009vje.2	0	4.85235996397318	0	0	2.87983991528886	3.04218493733084	0	8.14710981804569	3.01566780211511	5.15940449610432	0	0
uc009vjf.2	20.1987618736075	16.9832598739061	21.268234645026	45.7491127461907	21.5987993646665	32.4499726648623	24.4784081083122	28.8282347407771	21.1096746148058	30.9564269766259	24.0113417632279	33.9499483825509
uc001aak.3	15.4461120209939	38.8188797117854	16.7907115618627	12.7671942547509	21.5987993646665	5.07030822888473	0	16.9209203913257	0	0	28.1872272872675	12.0467558776793
uc001aal.1	0	0	0	0	0	0	0	0	0	0	0	0
uc021oeg.2	3.56448738946014	21.8356198378793	13.4325692494901	34.0458513460024	25.9185592375998	10.1406164577695	11.5950354197268	9.40051132851426	2.26175085158633	5.15940449610432	3.13191414302973	2.19031925048715
uc001aaq.2	0	0	0	0	0	0	0	0	0	0	0	0
uc001aar.2	2.37632492630676	0	0	4.2557314182503	0	0	0	1.25340151046857	0.753916950528778	0	0	0
uc009vjk.2	0	0	0	0	0	0	0	0	0	0	0	0
uc001aau.3	0	44.8843296667519	0	0	0	32.4499726648623	0	3.7602045314057	38.4497644769677	18.9178164857159	0	0
uc021oeh.1	68.9134228628961	59.4414095586714	36.9395654360979	14.895059963876	0	0	0	10.0272120837485	0	13.1851448233777	0	0
uc021oei.1	0	8.49162993695306	0	8.51146283650059	0	15.2109246866542	15.4600472263025	0	0	11.4653433246763	16.7035420961586	0
uc010nxu.2	0	1.21308999099329	0	1.06393285456257	0	1.01406164577695	0	0	0.753916950528778	0	0	1.09515962524358
uc001aax.1	0	0	0	0	0	0	0	0	0	0	0	0
uc021oej.1	0	0	0	0	0	0	0	0	0	0	0	0
uc021oek.1	0	0	0	0	0	0	0	0	0	0	0	0
uc021oel.1	0	0	0	0	0	0	0	0	0	0	0	0
uc001abb.3	2.37632492630676	0	1.11938077079084	2.12786570912515	0	0	0	0	4.52350170317267	1.14653433246763	0	8.76127700194861
uc001abe.4	46.3383360629818	0	88.4310808924767	0	0	0	7.73002361315123	0	0	0	0	0
uc009vjm.3	0	0	0	42.557314182503	37.4379188987552	0	0	0	0	0	0	0
uc002khh.3	35.6448738946014	40.0319697027787	26.8651384989803	41.4933813279404	0	16.2249863324311	28.3434199148878	51.3894619292113	30.9105949716799	26.3702896467554	26.0992845252477	7.66611737670504
uc001abm.2	0	0	53.7302769979605	15.9589928184386	15.8391195340887	16.2249863324311	6.44168634429269	23.1879279436685	27.141010219036	9.74554182597483	21.9233990012081	28.474150256333
uc001abo.3	67.7252603997427	67.9330394956245	55.9690385395422	74.4752998193802	76.3157577551549	80.1108700163788	87.6069342823806	73.9506891176455	39.9575983780253	53.8871136259785	108.573023625031	68.9950563903453
uc010nxx.2	62.9726105471292	55.8021395856915	49.2527539147971	54.2605755826913	33.1181590258219	56.787452163509	39.9384553346147	42.6156513559313	48.2506848338418	62.4861211194857	54.2865118125153	52.5676620116917
uc031pjj.1	46.3383360629818	63.0806795316513	39.1783269776795	47.8769784553158	51.8371184751995	67.9421302670554	68.2818752495025	73.9506891176455	70.1142763991764	59.6197852883166	49.0666549074657	62.4240986388839
uc001abp.2	91.4885096628103	126.161359063303	0	79.7949640921931	0	109.51865774391	72.1468870560781	40.1088483349942	94.9935357666261	24.0772209818202	90.8255101478621	13.1419155029229
uc009vjn.2	0	0	0	0	0	0	0	0	0	0	0	0
uc009vjo.2	0	0	0	0	0	0	0	0	0	0	0	67.8998967651017
uc021oem.2	0	0	97.3861270588034	0	93.594797246888	0	0	49.5093596635084	0	61.3395867870181	0	0
uc031pjk.1	5.9408123157669	0	0	0	0	4.05624658310779	0	0	11.3087542579317	4.0128701636367	5.21985690504955	0
uc001abt.4	61.7844480839758	64.2937695226446	50.372134685588	36.1737170551275	44.6375186869774	47.6608973515165	50.245153485483	45.1224543768685	50.5124356854282	45.2881061324713	33.4070841923171	16.4273943786536
uc001abu.1	13.0697870946872	21.8356198378793	8.95504616632675	20.2147242366889	8.63951974586659	15.2109246866542	11.5950354197268	8.77381057327998	22.6175085158633	7.45247316103958	13.5716279531288	14.2370751281665
uc010nxy.1	0	0	0	0	0	0	0	0	0	0	0	0
uc010nxz.1	0	0	0	2.12786570912515	0	0	0	0	0	0.573267166233814	1.04397138100991	1.09515962524358
uc001abv.1	0	0	4.47752308316338	9.57539569106317	1.43991995764443	0	1.28833726885854	2.50680302093714	1.50783390105756	2.29306866493525	7.30779966706936	1.09515962524358
uc001abw.1	5.9408123157669	0	0	0	0	0	0	1.88010226570285	0	0	0	0
uc031pjl.1	0	0	0	0	0	0	0	0	0	0	0	0
uc031pjm.1	0	0	0	0	0	0	0	0	0	0	0	0
uc031pjn.1	0	0	0	0	0	0	0	0	0	0	0	0
uc001abx.2	0	0	0	0	0	0	0	0	0	0	0	0
uc031pjo.1	0	0	0	0	0	0	0	0	0	0	0	0
uc031pjp.1	0	0	8.95504616632675	0	0	2.02812329155389	0	0	0	0	0	0
uc031pjq.1	0	0	0	0	0	0	0	0	0	0	0	0
uc031pjr.1	0	2.42617998198659	0	0	0	0	0	0	0	0	0	0
uc031pjs.1	0	0	0	0	0	0	0	0	0	0	0	0
uc031pjt.1	0	0	0	0	0	0	0	0	0	0	0	0
uc031pju.1	0	0	0	0	0	0	0	0	0	0	0	0
uc031pjv.1	0	0	0	0	0	0	0	0	0	0	0	0
uc031pjw.1	0	0	0	0	0	0	0	0	0	0	0	0
uc031pjx.1	0	0	0	0	0	0	0	0	0	0	0	0
uc031pjy.1	0	0	0	0	0	0	0	0	0	0	0	0
uc031pjz.1	0	0	0	0	0	0	0	0	6.785252554759	0	0	0
uc031pka.1	0	0	0	0	0	0	0	0	0	0	16.7035420961585	0
uc031pkb.1	0	0	0	0	0	0	0	0	0	0	0	0
uc031pkc.1	0	0	0	0	0	0	0	0	0	0	0	0
uc031pkd.1	0	0	0	0	0	0	0	0	0	0	0	0
uc031pke.1	0	0	0	0	0	0	0	0	0	0	0	0
uc031pkf.1	0	0	0	0	0	0	0	0	0	0	0	0
uc031pkg.1	0	0	0	0	0	0	0	0	0	0	0	0
uc031pkh.1	0	0	0	0	0	0	0	0	0	0	0	0
uc031pki.1	0	21.8356198378793	0	0	0	10.1406164577695	10.3066981508683	8.77381057327998	12.0626712084605	8.59900749350721	0	0
uc031pkj.1	0	0	0	0	0	0	0	0	0	0	0	0
uc031pkk.1	0	0	0	0	0	0	0	0	0	6.87920599480576	0	0
uc031pkl.1	0	0	0	0	0	0	6.44168634429269	0	0	0	0	0
uc031pkm.1	0	0	0	0	0	0	0	0	0	0	0	0
uc031pkn.1	0	0	0	0	0	0	0	0	0	0	0	0
uc031pko.1	0	0	0	0	0	0	0	0	0	0	0	0
uc031pkp.1	0	0	0	8.51146283650059	14.3991995764443	0	0	0	0	0	0	7.66611737670504
