gene_id	log2FC_6h	pval_6h	log2FC_72h	pval_72h	log2FC_120h	pval_120h
uc003kmr.3-x0-0	-0.444158973520449	0.842831955303605	1.80724153657674	0.842831955303605	-8.79397894348162	0.842831955303605
DAC+SB.146.4-x1-0	0.582345510497028	0.00463990579148794	0.37141316134273	0.00463990579148794	-7.8987800794172	0.00463990579148794
uc010jic.3-x0-0	-0.427436060975297	0.303131235042917	8.48241332325063	0.303131235042917	-7.8198675713167	0.303131235042917
uc003kbq.1-x0-0	-3.28752242927077	0.037190560764745	-3.28855334197726	0.037190560764745	-7.01310504859575	0.037190560764745
uc010ixu.3-x0-0	-0.580060510529773	0.560559582413893	0.701589737200115	0.560559582413893	-6.75018257883761	0.560559582413893
uc011cyr.2-x0-0	-0.789328500822974	0.873468121636487	-0.383983423084802	0.873468121636487	-6.54357622353005	0.873468121636487
uc010jlv.2-x0-0	1.3324651579302	0.675378510251924	0.924519594194889	0.675378510251924	-6.32036855612151	0.675378510251924
uc003kbk.3-x0-0	0.0870629722070658	0.366153730252097	-6.42908377007625	0.366153730252097	-6.27736043200019	0.366153730252097
uc010jbl.2-x0-0	-1.5157089806175	0.92797520402156	0.425149668387766	0.92797520402156	-6.26578642325196	0.92797520402156
uc011dgu.1-x0-0	-0.427554284655918	0.532895098694227	3.98689793394153	0.532895098694227	-6.20909645410957	0.532895098694227
uc021ybt.1-x0-0	-5.44112526904012	0.526636148253069	0.701468296940253	0.526636148253069	-6.04387936339524	0.526636148253069
DAC+SB.725.1-x1-0	5.70842542929782	0.418698822394862	5.01480900004018	0.418698822394862	-5.98717118058129	0.418698822394862
uc021yeh.1-x0-0	-3.62903192480153	0.712691767603176	-2.5523577604703	0.712691767603176	-5.73534965107629	0.712691767603176
uc003mky.2-x0-0	0.966463582930901	0.768185756785446	0.679649848522435	0.768185756785446	-5.59488439118056	0.768185756785446
uc011cne.2-x0-0	7.03041913870739	0.361584564273217	0.43670445348998	0.361584564273217	-5.59479962677602	0.361584564273217
uc021xvz.1-x0-0	1.50487429399168	0.111757270023071	-0.558402962402016	0.111757270023071	-5.28564340959107	0.111757270023071
uc003mhr.3-x0-0	-0.427588771667048	0.766947905624654	0.854922563299374	0.766947905624654	-5.28180586744036	0.766947905624654
uc031sjb.1-x0-0	3.31961015680717	0.665091104751371	0.701796611022618	0.665091104751371	-5.27715067078356	0.665091104751371
DAC+SB.66.2-x1-0	2.90884060595718	0.643153193606442	1.54823350037521	0.643153193606442	-5.16528017404542	0.643153193606442
uc011cmm.2-x0-0	5.0241101470435	0.671578149992269	6.63365943495035	0.671578149992269	-5.05420112886399	0.671578149992269
DAC+SB.122.1-x1-0	0.994606867164893	0.625965569492088	3.15685449105833	0.625965569492088	-4.7486992601229	0.625965569492088
uc010jho.2-x0-0	-5.1184894525434	0.778798920969577	-3.93505608859357	0.778798920969577	-4.59504240631552	0.778798920969577
uc031sme.1-x0-0	-5.13558512250378	0.200781132989505	-3.33687103659646	0.200781132989505	-4.58388783456457	0.200781132989505
uc010iuw.1-x0-0	1.0389723856409	0.698118555174458	1.72083690321848	0.698118555174458	-4.16079010704672	0.698118555174458
uc010ixd.1-x0-0	-0.933105713221525	0.938127391308313	-1.1639226331131	0.938127391308313	-4.15094058225368	0.938127391308313
uc010ivq.3-x0-0	-6.42594407552962	0.465190195978042	6.29137745279871	0.465190195978042	-4.1094551231714	0.465190195978042
uc011czi.1-x0-0	-0.427345413879581	0.684369585095008	5.69516575913834	0.684369585095008	-3.88764570783094	0.684369585095008
DAC+SB.137.3-x1-0	-0.427478098436951	0.852287820627018	0.701687430278717	0.852287820627018	-3.59460193982048	0.852287820627018
uc003ktt.1-x0-0	-0.42747809843695	0.852287820627018	0.701687430278717	0.852287820627018	-3.59460193982048	0.852287820627018
DAC+SB.696.6-x1-0	-0.427390837749483	0.848418158988916	3.69658961585121	0.848418158988916	-3.5946019368466	0.848418158988916
uc003jcv.3-x0-0	3.09956104707676	0.89702676557345	-3.35573960151276	0.89702676557345	-3.58019305512878	0.89702676557345
