[MIR4666B,MIR4666B] was killed by [MIR597_3P,MIR597_3P]
[MIR193A_3P_MIR193B_3P,MIR193A_3P_MIR193B_3P] was killed by [MIR512_5P,MIR512_5P]
[MIR935,MIR935] was killed by [MIR1264,MIR1264]
[MIR3691_3P,MIR3691_3P] was killed by [MIR1264,MIR1264]
[MIR93_3P,MIR93_3P] was killed by [MIR1264,MIR1264]
[MIR6838_3P,MIR6838_3P] was killed by [MIR1264,MIR1264]
[MIR145_3P,MIR145_3P] was killed by [MIR512_5P,MIR512_5P]
[MIR7703,MIR7703] was killed by [MIR1278,MIR1278]
[MIR3194_3P,MIR3194_3P] was killed by [MIR138_2_3P,MIR138_2_3P]
[MIR4764_3P,MIR4764_3P] was killed by [MIR1228_3P,MIR1228_3P]
[MIR302D_5P,MIR302D_5P] was killed by [MIR1264,MIR1264]
[MIR1207_3P,MIR1207_3P] was killed by [MIR4753_5P,MIR4753_5P]
[MIR96_3P,MIR96_3P] was killed by [MIR4753_5P,MIR4753_5P]
[MIR3938,MIR3938] was killed by [MIR1278,MIR1278]
[MIR4762_5P,MIR4762_5P] was killed by [MIR4753_5P,MIR4753_5P]
[MIR4653_5P,MIR4653_5P] was killed by [MIR138_2_3P,MIR138_2_3P]
