GO	[-1.00 -0.98]	[-0.98 -0.89]	[-0.89 -0.80]	[-0.80 -0.66]	[-0.66 -0.52]	[-0.52 -0.25]	[-0.25 0.34]	[0.34 0.67]	[0.67 0.92]	[0.92 1.00]	[1.00 1.00]
HP_CHRONIC_CONSTIPATION HP_CHRONIC_CONSTIPATION	1.668	0.247	0.800	-1.333	-1.333	0.482	-0.705	0.800	-1.333	-1.333	1.632
HP_APLASTIC_HYPOPLASTIC_TOENAIL HP_APLASTIC_HYPOPLASTIC_TOENAIL	1.243	0.602	-1.202	-1.966	-0.241	-0.734	-1.966	0.371	0.894	0.894	0.866
HP_INFANTILE_SPASMS HP_INFANTILE_SPASMS	-0.255	-1.236	0.858	-2.009	0.575	0.575	0.858	1.593	-2.009	0.352	-0.469
HP_ABNORMALITY_OF_SKULL_OSSIFICATION HP_ABNORMALITY_OF_SKULL_OSSIFICATION	1.158	0.730	-1.040	-0.221	1.158	-1.040	-1.040	-0.221	-0.492	-1.040	1.644
HP_STAGE_5_CHRONIC_KIDNEY_DISEASE HP_STAGE_5_CHRONIC_KIDNEY_DISEASE	-0.602	-1.031	-0.336	1.097	-0.336	1.097	0.269	3.674	-1.031	-1.031	-1.055
HP_SEPSIS HP_SEPSIS	0.285	2.563	-0.318	-0.576	-0.318	-1.712	0.285	-0.318	1.558	-1.712	0.274
HP_THYROID_CARCINOMA HP_THYROID_CARCINOMA	0.372	0.688	-0.240	-0.240	-1.082	1.595	-1.082	2.174	-0.521	-1.082	-0.535
HP_EXPRESSIVE_LANGUAGE_DELAY HP_EXPRESSIVE_LANGUAGE_DELAY	1.854	0.199	0.826	-0.956	0.199	-0.434	-0.956	-0.956	-0.956	0.826	0.807
HP_HYPOPARATHYROIDISM HP_HYPOPARATHYROIDISM	2.084	-0.223	-0.622	0.397	-0.223	-0.622	-0.622	-0.223	2.084	-0.622	-0.633
HP_ABNORMAL_SUBSTANTIA_NIGRA_MORPHOLOGY HP_ABNORMAL_SUBSTANTIA_NIGRA_MORPHOLOGY	-0.331	0.797	0.797	-0.331	-0.331	-0.331	-0.331	2.464	-0.331	-0.331	-0.337
