GO	[-6.80 -4.13]	[-4.13 -3.20]	[-3.20 -2.52]	[-2.52 -2.01]	[-2.01 -1.46]	[-1.46 -0.61]	[-0.61 1.09]	[1.09 1.91]	[1.91 2.75]	[2.75 4.05]	[4.05 6.64]
GOBP_CELLULAR_CARBOHYDRATE_CATABOLIC_PROCESS GOBP_CELLULAR_CARBOHYDRATE_CATABOLIC_PROCESS	-0.462	-0.995	-0.462	-0.995	1.216	1.748	2.363	-0.462	-0.995	-0.995	0.423
GOBP_NUCLEUS_ORGANIZATION GOBP_NUCLEUS_ORGANIZATION	-0.455	-0.455	-1.014	2.762	1.557	-1.014	-2.077	-1.014	0.940	0.940	-0.460
GOBP_GENITALIA_DEVELOPMENT GOBP_GENITALIA_DEVELOPMENT	1.294	-0.663	-0.663	-0.663	-0.663	2.701	0.362	-0.247	-0.663	-0.663	0.759
GOBP_TRNA_METABOLIC_PROCESS GOBP_TRNA_METABOLIC_PROCESS	-1.471	-0.673	-0.256	-0.256	-0.888	-0.363	2.357	3.833	-0.256	-0.500	-1.486
GOBP_AMINE_METABOLIC_PROCESS GOBP_AMINE_METABOLIC_PROCESS	-1.785	-0.354	1.043	-0.625	-0.354	1.428	-0.625	1.428	1.043	-0.354	-1.793
GOBP_REGULATION_OF_T_CELL_RECEPTOR_SIGNALING_PATHWAY GOBP_REGULATION_OF_T_CELL_RECEPTOR_SIGNALING_PATHWAY	0.931	-0.870	-0.378	3.508	0.236	0.236	-0.870	0.236	-0.870	0.236	-0.874
GOBP_NUCLEOSIDE_METABOLIC_PROCESS GOBP_NUCLEOSIDE_METABOLIC_PROCESS	-1.909	-0.411	2.143	0.389	0.922	0.389	0.626	-0.703	-0.411	-1.909	0.385
GOBP_VESICLE_MEDIATED_TRANSPORT_BETWEEN_ENDOSOMAL_COMPARTMENTS GOBP_VESICLE_MEDIATED_TRANSPORT_BETWEEN_ENDOSOMAL_COMPARTMENTS	1.091	1.091	-0.240	0.371	-1.078	-0.520	2.154	-1.078	-1.078	-0.240	-0.524
GOBP_VESICLE_FUSION_WITH_GOLGI_APPARATUS GOBP_VESICLE_FUSION_WITH_GOLGI_APPARATUS	-0.290	-0.290	-0.290	-0.290	-0.290	-0.290	3.960	0.895	-0.290	-0.290	-0.291
GOBP_SALIVARY_GLAND_DEVELOPMENT GOBP_SALIVARY_GLAND_DEVELOPMENT	1.383	-0.373	2.231	-0.373	-0.373	0.712	-0.373	-0.373	-0.373	-0.373	-0.374
GOBP_NEGATIVE_REGULATION_OF_CIRCADIAN_RHYTHM GOBP_NEGATIVE_REGULATION_OF_CIRCADIAN_RHYTHM	0.796	-0.331	-0.331	-0.331	3.567	-0.331	0.273	-0.331	-0.331	-0.331	-0.333
GOBP_GLUTAMATE_SECRETION GOBP_GLUTAMATE_SECRETION	-0.414	-0.414	-0.414	-0.414	-0.414	-0.414	0.641	0.211	-0.414	2.981	0.638
