transcript	gene_id	gene_name	Estimate_treatmentDRUG	Pr...z.._treatmentDRUG	fdr_Pr...z.._treatmentDRUG	qvalue_Pr...z.._treatmentDRUG
ENST00000000233	ENSG00000004059	ARF5	-0.30937381135719	0.213722816034098	0.726105140742661	0.602568137076265
ENST00000000412	ENSG00000003056	M6PR	0.329650648633987	0.038588280238522	0.442777709694649	0.367445049895546
ENST00000000442	ENSG00000173153	ESRRA	-0.36779221165875	0.289028168834666	0.772521171490942	0.641087105761516
ENST00000001008	ENSG00000004478	FKBP4	0.356873418480736	0.001931460903574	0.121855868406512	0.101123734701041
ENST00000002125	ENSG00000003509	NDUFAF7	-0.46954853836529	0.1235684759258	0.619216453229446	0.513865119158655
ENST00000002165	ENSG00000001036	FUCA2	-0.279067331034467	0.284929294852478	0.770325398988591	0.63926491435707
ENST00000003100	ENSG00000001630	CYP51A1	0.193693775022583	0.153937929128948	0.654884959456866	0.543465109771264
ENST00000003302	ENSG00000048028	USP28	0.286346665771822	0.273501536024041	0.768332293798948	0.63761090915351
ENST00000004531	ENSG00000003989	SLC7A2	0.238456326026129	0.620055695926433	0.924523397498688	0.767228201613355
ENST00000005257	ENSG00000006451	RALA	0.05079239857889	0.856180571435315	0.970401654150372	0.805300891216732
ENST00000005340	ENSG00000004975	DVL2	-0.052450945004976	0.887993542810858	0.977096848818918	0.81085698874644
ENST00000005386	ENSG00000005175	RPAP3	0.022313496557932	0.915260520823503	0.985890998729574	0.818154932572335
ENST00000005558	ENSG00000006652	IFRD1	0.101923516831161	0.760236280453338	0.953896885324755	0.791604186364933
ENST00000007264	ENSG00000007376	RPUSD1	0.549736771959896	0.132521045947678	0.638086086427441	0.529524338582166
ENST00000007390	ENSG00000007520	TSR3	0.023235231475777	0.948851384413778	0.990548690714027	0.822020181039349
ENST00000007516	ENSG00000004779	NDUFAB1	0.41418533868478	0.010492589045593	0.252663146139868	0.209675917073952
ENST00000008527	ENSG00000008405	CRY1	0.261799708628171	0.514957111069331	0.882756143863941	0.732567083269336
ENST00000009041	ENSG00000010270	STARD3NL	0.340515037007279	0.29476888383664	0.775010050466995	0.643152535523485
ENST00000010404	ENSG00000008394	MGST1	0.196374553778168	0.086090700057708	0.568585944111089	0.47184870879766
ENST00000011473	ENSG00000008282	SYPL1	0.194629034048974	0.239506451642768	0.745875274017927	0.618974648625325
ENST00000011619	ENSG00000010017	RANBP9	0.299218901708782	0.089074191000816	0.569370892628314	0.472500108903768
ENST00000011653	ENSG00000010610	CD4	0.283692542937013	0.022227739081091	0.381072842017938	0.316238433831013
ENST00000011691	ENSG00000008324	SS18L2	-0.504599487845366	0.326829972284908	0.788582822217418	0.65441608308665
ENST00000012049	ENSG00000011478	QPCTL	0.662723848338997	0.05497517535134	0.49484102104806	0.410650490501792
ENST00000012443	ENSG00000011485	PPP5C	0.168610088184499	0.330679735013735	0.790528641793809	0.656030847686764
