6h_DMSO_rep1	6h_DMSO_rep2	6h_treated_rep1	6h_treated_rep2	72h_DMSO_rep1	72h_DMSO_rep2	72h_treated_rep1	72h_treated_rep2	120h_DMSO_rep1	120h_DMSO_rep2	120h_treated_rep1	120h_treated_rep2
ENSG00000000419	-1.33408414261528	-1.14451730345094	-1.07059561914736	-0.465815763477643	-1.34153175332132	-1.67533936033369	0.0346911472399203	0	-1.87373565847158	-0.307446832252731	0.01394960462022	-0.424478082919124
ENSG00000000457	-1.95327381085443	-1.02851257725932	-1.05298894164706	-0.982626360569036	-1.46390418476821	-1.44118925430441	-1.69436141692283	-3.39856117885166	-0.766567022830483	-1.01959137474931	-1.61142284742673	-0.793980566394178
ENSG00000000460	-1.97644467207919	-1.80873985431736	-2.68063904301441	-2.59407759581624	-2.11101628477953	-1.52219853294988	-1.77420107825082	-2.90042768400344	-1.81977760187048	-1.71267834047814	-2.55730576479157	0
ENSG00000001167	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000001629	-1.0675081205631	-1.05536080123593	-0.968026874520049	-1.54156589826978	-0.888618675949579	-0.891437683745446	-0.682268139976911	-2.11461505069344	-0.77396193727285	-1.41031621440054	-0.622335330804879	-0.674273437580688
ENSG00000001631	-0.810175589703505	-0.695184337150106	-2.28789629364996	-1.22530993417566	-1.22536317820241	-1.38652856200382	-0.711089742585168	-0.0854477483988801	-1.32226829629289	-1.23615478396836	-0.565743328617716	-0.626525137934428
ENSG00000002834	-1.50159006575185	-2.71755773257604	0	-2.36931061743031	-1.16082899914144	-1.27056634325076	-0.563077906144625	-1.690036359215	-0.676529472330631	-1.50364698723337	-0.731272792305259	-0.923424602074899
ENSG00000003056	0	-2.42074478101999	-2.29410609610431	0	0	-1.98958848861026	0	0	-2.33864730997303	0	0	0
ENSG00000003756	0	0	0	-2.83098828627254	0	0	-2.13092548788813	-0.290021643079391	0	0	-5.76141910419364	-3.6999836570142
ENSG00000004399	-1.43552591544221	-1.55949402260221	-1.98495206333733	-1.44595981446063	-0.846264806702045	-0.804074606184674	-1.86355614470096	0	-0.898998918199355	-1.04013751645938	-3.80665885295852	0
ENSG00000004455	-0.409662493590824	-0.184620079185491	-0.463127436122714	-0.544109250462075	-0.547372800257933	-0.377510232047869	-0.650510886895161	-0.306207188325336	-0.0939457053608001	-0.316307455755172	-0.370066218814385	-0.267777378851161
ENSG00000004468	-1.03063443460734	-0.784093104472127	-0.552118069292705	-0.879470562358923	-0.682894650091063	-1.20417753300801	-0.5745791421973	-1.77188671222376	-1.31647222576881	-0.732697204244325	-0.993661046127459	-0.883832697931986
ENSG00000004487	-1.39839401998935	-1.28921972100826	0	-1.98122265290867	-1.68470340073809	-4.68005821038795	-1.00558766537682	-2.59616064478654	-3.28410880857269	-3.17535715087187	-2.00298380608698	0
ENSG00000004534	-0.228271979434114	-0.217627739867379	-0.469314962661239	-0.435320050794832	-0.51678248461715	-0.914400982520028	-1.46693376123912	-0.218549644683602	-0.121088649554109	-0.0656077201934647	-1.05916455527845	-1.59821928696469
ENSG00000004700	0	-1.41823292269497	-3.84273577888707	0	0	0	-1.60394601809819	-0.569067263884654	0	-2.81155047490248	0	-3.07217504615081
ENSG00000004766	-1.05354749005499	-1.10849510762637	-0.442946582746395	-1.07981858874678	-0.553677188464772	-0.661857627250437	-0.672684668009451	-0.690532035067327	-0.782803274466351	-2.04310892460678	-0.768059902240611	-0.62832779470573
ENSG00000004897	-1.2207810330587	-1.36419956465001	-2.31497991872878	-1.68717458093084	-1.72631919333602	-2.19900997319469	0	-1.23672144123401	-1.93902457229067	-1.17864812343483	0	0
ENSG00000005007	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000005020	-1.47877890883708	-1.97386260907505	0	-3.10946430111176	-1.18257367037945	-1.11399075184672	-1.06739887808933	-1.27097326420121	-0.760638810541884	-1.62377575463986	-0.977781573755587	-0.895118132691881
ENSG00000005339	0	-1.62804917086837	0	-2.67894216007705	0	-2.53301142648959	0	0	-0.664211693635604	0	0	0
ENSG00000005379	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000005436	-3.81057379846642	-1.21978122221379	-1.79814658371124	0	-2.15918259535294	-1.90948268311575	-1.69036265394821	0	-2.62521083457025	0	0	-4.18892953632183
ENSG00000005483	0	0	0	0	0	0	0	-2.73414727502714	0	0	0	0
ENSG00000005700	-2.20627711233028	-2.34366968279748	-2.70778451510165	-1.62281562993593	-3.04105173592053	0	-1.90998735260998	-0.529999965482081	0	-1.85825377586141	-1.36954944787086	-1.69308672498152
ENSG00000005810	0	0	0	0	0	0	0	0	-1.85409464422422	-3.06665599122604	-1.96390092490726	0
ENSG00000005844	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000005889	0	0	0	0	0	0	0	-3.64114059586509	0	0	0	-2.69150765288881
ENSG00000005893	0	0	-1.16989789160205	0	-1.92491236275293	-1.04906369043939	-1.53657052794185	0	-1.6817357375125	0	-0.65619971351519	-1.06161966100142
ENSG00000006125	0	0	0	0	0	0	0	0	0	0	0	0
