hl60.6h.stbl.log2FoldChange	hl60.6h.stbl.pvalue	hl60.72h.stbl.log2FoldChange	hl60.72h.stbl.pvalue	hl60.120h.stbl.log2FoldChange	hl60.120h.stbl.pvalue	name
ENSG00000000419	0.471095031720612	0.450360630227517	1.48409073903537	0.0404008387572845	0.885327006212705	0.176200448079807	DPM1
ENSG00000000457	0.473085542948824	0.428727564069992	-1.08332982389354	0.182877643074338	-0.309622508120557	0.600372833406272	SCYL3
ENSG00000000460	-0.744766056217048	0.113393695099917	-0.525473763987839	0.378358701986986	-0.79107779361726	0.13274487754396	C1orf112
ENSG00000001167	0	NA	0	NA	0	NA	NFYA
ENSG00000001629	-0.193361925495399	0.689857801616313	-0.485945854207147	0.440508895822565	0.443834691643909	0.36971385236965	ANKIB1
ENSG00000001631	-1.003923150486	0.0290191551126574	0.864254349645246	0.070132381420102	0.68307730685455	0.109066434287994	KRIT1
ENSG00000002834	-0.259736718266355	0.685447836661707	0.0778770889503302	0.87734657827784	0.262739532591921	0.644190518643875	LASP1
ENSG00000003056	0	NA	0	NA	0	NA	M6PR
ENSG00000003756	0	NA	0	NA	0	NA	RBM5
ENSG00000004399	-0.217945969876769	0.543407561955546	-0.999811651264968	0.0802898042540484	-2.83709063562915	0.000216157017737938	PLXND1
ENSG00000004455	-0.206477056904238	0.439855106201849	-0.0122529187702931	0.968609652367305	-0.113795218274787	0.666177409161059	AK2
ENSG00000004468	0.191569453713918	0.667047036010437	-0.224751974644327	0.691675056931831	0.0858378429768462	0.84642553073424	CD38
ENSG00000004487	-0.637415782409865	0.591287390394697	1.3610590408244	0.337265865984897	1.2267491736353	0.316563561393776	KDM1A
ENSG00000004534	-0.229367647077289	0.594231697953643	-0.117156446591896	0.834217881192721	-1.23534373624778	0.0170017902837025	RBM6
ENSG00000004700	0	NA	0	NA	0	NA	RECQL
ENSG00000004766	0.319638713094095	0.462920207395678	-0.0722014093683964	0.796720810215429	0.714762251063393	0.122505892201685	VPS50
ENSG00000004897	0	NA	0.702152956820438	0.213245896199626	0	NA	CDC27
ENSG00000005007	0	NA	0	NA	0	NA	UPF1
ENSG00000005020	-1.3831435421557	0.0105843501135266	-0.0159262326116962	0.955821234316241	0.255757429367136	0.496888657279289	SKAP2
ENSG00000005339	0	NA	0	NA	0	NA	CREBBP
ENSG00000005379	0	NA	0	NA	0	NA	TSPOAP1
ENSG00000005436	0.717030926628861	0.569560435677452	0.334035246155808	0.458737818858824	-1.56371870175158	0.281325018421716	GCFC2
ENSG00000005483	0	NA	0	NA	0	NA	KMT2E
ENSG00000005700	0.109673325045094	0.853132346269055	1.76955773010532	0.116035787997346	0.32693568943522	0.628059293963958	IBTK
ENSG00000005810	0	NA	0	NA	0	NA	MYCBP2
ENSG00000005844	0	NA	0	NA	0	NA	ITGAL
ENSG00000005889	0	NA	0	NA	0	NA	ZFX
ENSG00000005893	0	NA	-0.0428836603418026	0.945842271494641	0	NA	LAMP2
ENSG00000006125	0	NA	0	NA	0	NA	AP2B1
ENSG00000006576	0	NA	0.359591546348332	0.537913087957153	0	NA	PHTF2
ENSG00000006607	0	NA	0	NA	0	NA	FARP2
ENSG00000006634	-1.29642534033478	0.0972365442547106	0.752095429788907	0.25362239021344	-1.66586562572208	0.0348760512487818	DBF4
ENSG00000006652	0	NA	0	NA	0	NA	IFRD1
ENSG00000006695	0	NA	0	NA	0	NA	COX10
ENSG00000006715	-0.584246720333714	0.227494464628175	-0.0770196594207364	0.866835286849013	0.15836920064367	0.732553358347365	VPS41
ENSG00000006831	0	NA	-0.518151819679078	0.464689361036748	0	NA	ADIPOR2
ENSG00000007168	-0.142557517210042	0.830711936625971	-0.789897170924708	0.0521159829325865	-1.12227444002117	0.164991354438084	PAFAH1B1
ENSG00000007202	0	NA	0	NA	0	NA	KIAA0100
ENSG00000007341	-1.01110398986678	0.0277704514650256	0.416781197143113	0.220124364458056	0.695788345951756	0.102583833759572	ST7L
ENSG00000007392	0	NA	0	NA	0	NA	LUC7L
ENSG00000007923	0.36658381139341	0.662275666313568	0.363852577206882	0.756031911930232	-0.00677349856886855	0.99352122579479	DNAJC11
ENSG00000008018	-0.695927562251148	0.252612274043631	0.619782340958128	0.377938280721898	0.636035274606823	0.291540787534744	PSMB1
ENSG00000008083	0.651471139278017	0.318077652652332	-0.458855868583279	0.393978789412461	0.112872279704352	0.856815845647707	JARID2
ENSG00000008128	0	NA	0	NA	0	NA	CDK11A
ENSG00000008294	0.524182019807292	0.444318424449987	0.815993780882952	0.177626738797727	-0.544002804073955	0.390589490384001	SPAG9
ENSG00000008394	0	NA	0	NA	0	NA	MGST1
ENSG00000008710	0	NA	0	NA	0	NA	PKD1
ENSG00000008869	-0.484414441765881	0.625989659021909	0.0757972977630845	0.942727808147601	0.13034516947229	0.894463256326703	HEATR5B
ENSG00000008952	0	NA	0	NA	0	NA	SEC62
ENSG00000008988	0	NA	0	NA	0	NA	RPS20
ENSG00000009307	0.366878650694157	0.646805290730693	-0.8067507494576	0.484715115987142	0.208733967813816	0.793412651283667	CSDE1
ENSG00000009335	0	NA	0	NA	0	NA	UBE3C
ENSG00000009790	0.3747981245272	0.431528781585877	1.41179413849192	0.04250871899376	1.79640998028072	0.00428033227791043	TRAF3IP3
ENSG00000009844	-0.196581916414955	0.539117689627189	-0.257513346691603	0.420127697365436	0.10801569518792	0.733622801479133	VTA1
ENSG00000009954	0	NA	0	NA	0	NA	BAZ1B
ENSG00000010017	0	NA	0	NA	0	NA	RANBP9
ENSG00000010244	0	NA	0	NA	0	NA	ZNF207
ENSG00000010292	0	NA	0	NA	0	NA	NCAPD2
ENSG00000010295	0.575698680589599	0.823867449805192	2.17471161585206	0.383510007335926	-3.2493803113687	0.236494159497388	IFFO1
ENSG00000010671	-0.810047115630281	0.364062767434173	0.496856559107155	0.572135959258563	-0.856395144524965	0.338707674892134	BTK
ENSG00000010803	-2.18292158253899	0.00227354771483952	-0.817112236793771	0.167434843291694	-0.0865734540303374	0.838862650950245	SCMH1
ENSG00000011028	-0.989479947844117	0.216253833121122	0.826245923654953	0.326639695563034	3.07634781049592	0.00701201841736847	MRC2
ENSG00000011243	-0.12038975530155	0.746727132207283	0.687059470706136	0.163975053987961	-0.0407106187481492	0.912778478769438	AKAP8L
ENSG00000011260	0.172837644573994	0.773140471360606	0.172870634642847	0.653508293833223	-0.491422471196024	0.474976977324592	UTP18
ENSG00000011275	0.378753277290233	0.60292350467123	0.955719540100215	0.290237995422775	-3.30215756944349	0.00431483009772236	RNF216
ENSG00000011304	0	NA	0	NA	0	NA	PTBP1
ENSG00000011376	-0.0190708448808408	0.94451895947757	-1.09015495288607	0.0262941297693182	-1.28684282055749	0.00120040659773608	LARS2
ENSG00000011405	0	NA	0.838611845032196	0.478562025414711	0	NA	PIK3C2A
ENSG00000011426	0	NA	0	NA	0	NA	ANLN
ENSG00000011454	0	NA	0	NA	0	NA	RABGAP1
ENSG00000011485	0.379205782655668	0.238324438611668	0.172816089535199	0.558325508307745	-1.34037339182226	0.00124050833386685	PPP5C
ENSG00000011566	1.35004480795202	0.0207361067972308	0.222314978513143	0.4852455022519	1.15539096490278	0.0395637776902542	MAP4K3
ENSG00000012660	-0.235372902411649	0.727326314232591	0.614262764751197	0.326810070014626	0.384738640936308	0.571181944665401	ELOVL5
ENSG00000012983	0.156491156320091	0.691571965886714	-0.502899729853743	0.37710775364024	-0.0190003524979701	0.961390642583283	MAP4K5
ENSG00000013441	0	NA	0	NA	0	NA	CLK1
ENSG00000013573	0	NA	2.48262548402212	0.00987887544119513	0	NA	DDX11
ENSG00000013810	0	NA	0	NA	0	NA	TACC3
ENSG00000014123	0.150448308681349	0.914258506726794	2.26268261751553	0.136834307504083	3.68153421494006	0.0646794588946874	UFL1
ENSG00000014164	0	NA	0	NA	0	NA	ZC3H3
ENSG00000014641	1.36346346731514	0.140502554878064	0.43339146089629	0.511106457172553	-1.24120634826343	0.163970092474345	MDH1
ENSG00000014824	0.197005652812706	0.666087586558956	-0.448649747768994	0.429427523721546	-0.270267387194041	0.555902565196406	SLC30A9
ENSG00000015479	-0.599820711090746	0.418918813037695	0.433093848977908	0.626223543220713	-0.537443513305157	0.47201650833885	MATR3
ENSG00000015568	0	NA	1.90008366385489	0.0838747743725311	0	NA	RGPD5
ENSG00000015676	0	NA	0	NA	0	NA	NUDCD3
ENSG00000017260	-1.52444350684389	0.00492564650920591	-0.103156613006365	0.764855459631771	0.991995339289051	0.0374213749364724	ATP2C1
ENSG00000017797	-0.162708302745322	0.742524438263875	0.329161445160308	0.496868564452061	0.699847107348407	0.147486488141809	RALBP1
ENSG00000018510	0.383062924379448	0.363964350130762	-0.322082557153309	0.532687767352571	-0.184386988534057	0.655645840933587	AGPS
ENSG00000018699	0.387039793021862	0.369506769532742	-0.646870895046118	0.192004586455306	-1.59655851178897	0.00524543518305303	TTC27
ENSG00000020181	-0.787995415422633	0.298108075484466	-0.930886199760797	0.138360727907345	3.32499238379802	0.00277383838609379	ADGRA2
ENSG00000020426	0	NA	0.10370731383781	0.825671804226629	0	NA	MNAT1
ENSG00000020922	-0.336999838123084	0.387606489084611	-0.0365319317314835	0.938602694008177	-0.616907754930701	0.132519161333706	MRE11
ENSG00000021762	0.237093653672668	0.496757877726529	-0.543367999923634	0.114629731640632	0.324670847467427	0.358033610233858	OSBPL5
ENSG00000021776	0	NA	0	NA	0	NA	AQR
ENSG00000022277	0.723705937265928	0.0472055860506565	-0.357914617031665	0.324832218323448	-1.36158247862755	0.00218926212755126	RTFDC1
ENSG00000022840	0	NA	0	NA	0	NA	RNF10
ENSG00000023041	-0.199999066396592	0.729258152349943	-1.873158325431	0.0291216138912131	-0.969526650276954	0.119816377743953	ZDHHC6
ENSG00000023171	0	NA	0	NA	0	NA	GRAMD1B
ENSG00000023228	0	NA	0	NA	0	NA	NDUFS1
ENSG00000023287	0.0519582994159552	0.860968627815176	-0.088797474217832	0.798501144230482	-0.415723495068501	0.185301285652818	RB1CC1
ENSG00000023318	0	NA	0	NA	0	NA	ERP44
ENSG00000023516	0	NA	0	NA	0	NA	AKAP11
