GO	[-3.26 -0.36]	[-0.36 -0.20]	[-0.20 -0.13]	[-0.13 -0.07]	[-0.07 -0.02]	[-0.02 0.03]	[0.03 0.07]	[0.07 0.13]	[0.13 0.20]	[0.20 0.32]	[0.32 2.98]
MIR4753_5P MIR4753_5P	-0.399	-0.399	-0.234	-2.382	1.166	3.986	-0.234	-0.234	0.854	-2.382	-1.040
GSE16451_CTRL_VS_WEST_EQUINE_ENC_VIRUS_IMMATURE_NEURON_CELL_LINE_UP GSE16451_CTRL_VS_WEST_EQUINE_ENC_VIRUS_IMMATURE_NEURON_CELL_LINE_UP	-0.431	-0.241	-1.960	1.642	-0.241	2.603	-1.960	-1.960	0.371	0.601	0.356
GSE14308_NAIVE_CD4_TCELL_VS_INDUCED_TREG_UP GSE14308_NAIVE_CD4_TCELL_VS_INDUCED_TREG_UP	-1.252	-2.720	-0.548	0.887	0.424	-1.252	0.633	-0.840	4.415	0.262	0.406
GOBP_REGULATION_OF_MITOCHONDRION_ORGANIZATION GOBP_REGULATION_OF_MITOCHONDRION_ORGANIZATION	-0.233	-0.454	3.018	-1.498	-1.498	-0.454	-0.233	-0.233	-1.498	0.381	2.372
REACTOME_CLEC7A_DECTIN_1_SIGNALING REACTOME_CLEC7A_DECTIN_1_SIGNALING	2.115	0.758	-0.735	-0.735	-1.372	0.758	-1.372	-1.372	2.115	0.231	-0.397
GSE21380_NON_TFH_VS_TFH_CD4_TCELL_DN GSE21380_NON_TFH_VS_TFH_CD4_TCELL_DN	-1.252	-1.252	-1.252	-0.840	-0.344	-0.344	1.186	0.887	-1.836	2.801	1.859
REACTOME_RHO_GTPASES_ACTIVATE_WASPS_AND_WAVES REACTOME_RHO_GTPASES_ACTIVATE_WASPS_AND_WAVES	0.528	-0.871	-0.871	0.934	2.052	1.445	-0.871	-0.871	-0.871	0.528	-0.886
REACTOME_EUKARYOTIC_TRANSLATION_INITIATION REACTOME_EUKARYOTIC_TRANSLATION_INITIATION	0.288	-1.191	-0.791	-1.191	-1.191	-1.191	0.682	-0.791	0.461	3.460	2.399
GSE411_WT_VS_SOCS3_KO_MACROPHAGE_UP GSE411_WT_VS_SOCS3_KO_MACROPHAGE_UP	1.206	1.990	1.990	-0.625	0.399	-0.625	0.617	-0.625	-1.512	-0.983	-2.380
MIR1278 MIR1278	-0.955	-0.955	-0.434	0.199	1.849	-0.955	-0.955	1.291	1.291	0.825	-0.971
GSE21360_SECONDARY_VS_TERTIARY_MEMORY_CD8_TCELL_UP GSE21360_SECONDARY_VS_TERTIARY_MEMORY_CD8_TCELL_UP	0.727	1.029	2.241	-1.371	0.727	-2.171	0.727	0.479	-1.371	-0.869	-0.894
MIR6776_3P MIR6776_3P	-0.351	-0.830	-0.830	2.164	-0.830	2.891	-0.830	0.256	0.256	0.256	-0.844
PID_AVB3_INTEGRIN_PATHWAY PID_AVB3_INTEGRIN_PATHWAY	0.236	-0.378	-0.871	-0.378	2.749	0.236	-0.871	-0.871	-0.871	2.749	-0.388
GSE12198_LOW_IL2_STIM_NK_CELL_VS_HIGH_IL2_STIM_NK_CELL_DN GSE12198_LOW_IL2_STIM_NK_CELL_VS_HIGH_IL2_STIM_NK_CELL_DN	0.720	-1.414	0.428	0.216	-1.414	-1.414	0.216	0.720	3.235	0.216	-0.785
GOBP_RECEPTOR_SIGNALING_PATHWAY_VIA_STAT GOBP_RECEPTOR_SIGNALING_PATHWAY_VIA_STAT	0.720	-0.767	-1.414	-0.767	2.603	-0.767	-0.767	-0.767	0.428	-0.407	2.554
GSE26030_TH1_VS_TH17_RESTIMULATED_DAY5_POST_POLARIZATION_DN GSE26030_TH1_VS_TH17_RESTIMULATED_DAY5_POST_POLARIZATION_DN	-0.348	-2.255	0.259	0.437	1.292	-0.926	1.292	-2.255	0.669	-0.580	1.254
BROCKE_APOPTOSIS_REVERSED_BY_IL6 BROCKE_APOPTOSIS_REVERSED_BY_IL6	0.372	-1.080	-0.240	-1.080	-0.240	-0.521	-0.240	0.372	-0.240	-1.080	5.136
VANHARANTA_UTERINE_FIBROID_WITH_7Q_DELETION_UP VANHARANTA_UTERINE_FIBROID_WITH_7Q_DELETION_UP	1.672	0.730	1.672	-0.221	1.156	-0.491	-1.038	-1.038	-1.038	-1.038	-0.504
GSE24142_DN2_VS_DN3_THYMOCYTE_DN GSE24142_DN2_VS_DN3_THYMOCYTE_DN	-1.876	-1.130	0.226	0.411	0.411	-1.876	1.335	0.967	1.335	-1.130	0.637
MIR583 MIR583	0.721	-1.792	-0.354	2.388	1.886	-0.626	-0.354	-1.792	0.455	-0.354	-0.645
GSE40274_FOXP3_VS_FOXP3_AND_IRF4_TRANSDUCED_ACTIVATED_CD4_TCELL_DN GSE40274_FOXP3_VS_FOXP3_AND_IRF4_TRANSDUCED_ACTIVATED_CD4_TCELL_DN	-0.299	-0.611	-1.205	-1.205	-1.205	-0.611	1.376	-0.299	0.574	0.934	2.442
GSE14415_NATURAL_TREG_VS_TCONV_DN GSE14415_NATURAL_TREG_VS_TCONV_DN	-0.672	-0.275	0.980	0.503	2.875	-1.438	-0.275	-0.994	1.622	-0.672	-2.101
GSE14415_INDUCED_VS_NATURAL_TREG_UP GSE14415_INDUCED_VS_NATURAL_TREG_UP	-1.163	-1.163	-1.163	-0.581	-1.163	0.984	0.984	0.984	0.324	1.443	0.314
ACOSTA_PROLIFERATION_INDEPENDENT_MYC_TARGETS_UP ACOSTA_PROLIFERATION_INDEPENDENT_MYC_TARGETS_UP	2.891	2.164	-0.351	0.256	-0.830	-0.351	-0.351	-0.830	-0.830	-0.830	0.249
MORF_PHB MORF_PHB	1.376	1.376	-0.611	-0.611	-0.611	0.934	1.895	-1.205	-1.205	-0.611	-0.626
MIR597_3P MIR597_3P	1.134	-0.746	-0.746	-0.298	-0.746	-0.746	0.304	-0.298	-0.746	3.208	0.643
GSE11864_UNTREATED_VS_CSF1_IFNG_PAM3CYS_IN_MAC_UP GSE11864_UNTREATED_VS_CSF1_IFNG_PAM3CYS_IN_MAC_UP	1.166	-0.234	-0.399	-0.399	-1.012	-1.012	2.877	-1.548	1.932	-1.012	-0.416
GSE4984_UNTREATED_VS_VEHICLE_CTRL_TREATED_DC_DN GSE4984_UNTREATED_VS_VEHICLE_CTRL_TREATED_DC_DN	1.612	-1.666	0.826	-0.962	0.826	0.826	-0.300	0.826	-0.962	-1.666	-0.311
GSE3039_CD4_TCELL_VS_ALPHABETA_CD8_TCELL_DN GSE3039_CD4_TCELL_VS_ALPHABETA_CD8_TCELL_DN	1.251	0.511	-1.289	-1.289	-1.289	0.511	0.511	-1.289	0.264	0.841	0.820
GSE360_DC_VS_MAC_L_MAJOR_UP GSE360_DC_VS_MAC_L_MAJOR_UP	-0.962	4.573	-0.962	1.188	0.302	0.302	-0.300	-0.550	-0.962	-0.300	-0.984
GSE5589_LPS_VS_LPS_AND_IL10_STIM_IL10_KO_MACROPHAGE_45MIN_DN GSE5589_LPS_VS_LPS_AND_IL10_STIM_IL10_KO_MACROPHAGE_45MIN_DN	-0.735	0.454	-0.735	0.758	0.758	-1.372	-0.385	-1.372	0.758	-0.735	2.652
MIR4494 MIR4494	-0.705	1.212	-0.705	0.332	-0.705	1.212	-0.705	1.832	-0.705	0.332	-0.717
MODULE_111 MODULE_111	-0.539	1.610	-0.176	-0.539	1.610	-0.539	-0.539	-0.539	-0.539	-0.539	1.587
