GO	[-1.00 -0.98]	[-0.98 -0.88]	[-0.88 -0.78]	[-0.78 -0.64]	[-0.64 -0.48]	[-0.48 -0.19]	[-0.19 0.40]	[0.40 0.72]	[0.72 0.94]	[0.94 1.00]	[1.00 1.00]
MIR562 MIR562	0.359	2.884	-0.477	-1.536	-0.862	-1.536	0.359	0.359	-1.536	0.941	0.947
MIR4273 MIR4273	-1.037	-0.417	-1.037	0.815	1.460	-1.575	1.114	-2.411	-0.417	0.362	2.298
ATGTCAC_MIR489 ATGTCAC_MIR489	1.802	0.684	-1.827	-1.827	0.430	-1.093	-0.373	-0.373	-0.651	0.684	1.813
MIR505_3P MIR505_3P	0.519	0.519	0.519	-0.274	-2.494	-2.494	1.041	0.519	1.745	-0.716	-0.448
MIR3925_3P MIR3925_3P	2.529	0.433	-1.149	0.300	-1.521	-0.853	-1.521	-0.439	-0.853	1.005	2.549
MIR6719_3P MIR6719_3P	-0.822	0.381	2.005	-1.175	0.381	-0.560	-2.298	0.774	-1.649	0.774	1.657
MIR4709_3P MIR4709_3P	0.349	-0.573	0.349	-1.131	-2.073	-0.573	1.461	-0.815	2.920	1.173	-0.807
CAGCCTC_MIR4855P CAGCCTC_MIR4855P	-0.845	0.997	-0.244	-0.579	0.366	-2.335	-0.845	-1.202	0.997	0.749	2.363
MIR3679_3P MIR3679_3P	0.412	2.217	-2.274	-0.477	1.549	-0.680	-0.477	0.412	-1.717	0.773	-0.320
MIR3651 MIR3651	-0.373	-0.373	-0.373	1.382	1.382	-0.373	-0.373	1.382	-0.373	-0.373	-0.371
